,Subsystem,p-Value,recall,target_lenght
6,Alternate Carbon Metabolism,1.3820999458900098e-28,0.3258426966292135,0.3258426966292135
1,"Transport, Inner Membrane",1.1828415702196106e-27,0.2701612903225806,0.2701612903225806
14,Murein Recycling,4.124094717578796e-09,0.4482758620689655,0.4482758620689655
36,Murein Biosynthesis,7.931357184180137e-09,0.8,0.8
17,Lipopolysaccharide Biosynthesis / Recycling,8.346874806811291e-07,0.26785714285714285,0.26785714285714285
25,Cysteine Metabolism,9.984156413138998e-06,0.36,0.36
16,Nitrogen Metabolism,2.287988015333334e-05,0.4375,0.4375
10,Arginine and Proline Metabolism,2.5043094861643105e-05,0.2682926829268293,0.2682926829268293
28,Oxidative Phosphorylation,9.543915954636094e-05,0.1717171717171717,0.1717171717171717
7,Cofactor and Prosthetic Group Biosynthesis,0.00022399434169596236,0.1340782122905028,0.1340782122905028
4,Nucleotide Salvage Pathway,0.0024469661392107333,0.15584415584415584,0.15584415584415584
5,Glycerophospholipid Metabolism,0.0027884552064043194,0.25,0.25
8,Cell Envelope Biosynthesis,0.004679554375556562,0.16981132075471697,0.16981132075471697
20,Inorganic Ion Transport and Metabolism,0.010530100991280926,0.13580246913580246,0.13580246913580246
11,Membrane Lipid Metabolism,0.23734088904211756,0.13333333333333333,0.13333333333333333
12,Pyruvate Metabolism,0.4386876226448492,0.07692307692307693,0.07692307692307693
24,tRNA Charging,0.4436446067123971,0.08333333333333333,0.08333333333333333
29,Glycine and Serine Metabolism,0.61765045717358,0.06666666666666667,0.06666666666666667
21,Methionine Metabolism,0.61765045717358,0.06666666666666667,0.06666666666666667
18,Unassigned,0.6324555359738048,0.058823529411764705,0.058823529411764705
13,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",0.7856140094749862,0.041666666666666664,0.041666666666666664
35,Anaplerotic Reactions,1.0,0.0,0.0
34,Glyoxylate Metabolism,1.0,0.0,0.0
33,Glutamate Metabolism,1.0,0.0,0.0
32,Folate Metabolism,1.0,0.0,0.0
31,Glycolysis/Gluconeogenesis,1.0,0.0,0.0
30,Pentose Phosphate Pathway,1.0,0.0,0.0
2,"Transport, Outer Membrane Porin",1.0,0.0,0.0
3,"Transport, Outer Membrane",1.0,0.0,0.0
27,Histidine Metabolism,1.0,0.0,0.0
26,Threonine and Lysine Metabolism,1.0,0.0,0.0
9,Methylglyoxal Metabolism,1.0,0.0,0.0
23,Alanine and Aspartate Metabolism,1.0,0.0,0.0
22,Purine and Pyrimidine Biosynthesis,1.0,0.0,0.0
15,"Valine, Leucine, and Isoleucine Metabolism",1.0,0.0,0.0
19,Citric Acid Cycle,1.0,0.0,0.0
0,Biomass and maintenance functions,1.0,0.0,0.0
