,iModulon,Gene
0,Sugar Diacid,b2787
1,Sugar Diacid,b2788
2,Sugar Diacid,b2789
3,Sugar Diacid,b3124
4,Sugar Diacid,b3125
5,Sugar Diacid,b3126
6,Sugar Diacid,b3127
7,Sugar Diacid,b3128
8,Translation,b0115
9,Translation,b0169
10,Translation,b0170
11,Translation,b0911
12,Translation,b1089
13,Translation,b1716
14,Translation,b1717
15,Translation,b2185
16,Translation,b2606
17,Translation,b2607
18,Translation,b2608
19,Translation,b2609
20,Translation,b3165
21,Translation,b3166
22,Translation,b3167
23,Translation,b3168
24,Translation,b3230
25,Translation,b3231
26,Translation,b3294
27,Translation,b3295
28,Translation,b3296
29,Translation,b3297
30,Translation,b3298
31,Translation,b3299
32,Translation,b3300
33,Translation,b3301
34,Translation,b3302
35,Translation,b3303
36,Translation,b3304
37,Translation,b3305
38,Translation,b3306
39,Translation,b3307
40,Translation,b3308
41,Translation,b3309
42,Translation,b3310
43,Translation,b3311
44,Translation,b3312
45,Translation,b3313
46,Translation,b3314
47,Translation,b3315
48,Translation,b3316
49,Translation,b3317
50,Translation,b3318
51,Translation,b3319
52,Translation,b3320
53,Translation,b3321
54,Translation,b3340
55,Translation,b3341
56,Translation,b3342
57,Translation,b3983
58,Translation,b3984
59,Translation,b3985
60,Translation,b3986
61,Translation,b3987
62,Translation,b3988
63,Translation,b4200
64,Translation,b4201
65,Translation,b4202
66,Translation,b4203
67,ygdT,b4610
68,OxyR,b0605
69,OxyR,b0606
70,OxyR,b0812
71,OxyR,b0849
72,OxyR,b2582
73,OxyR,b3518
74,OxyR,b3942
75,FlhDC-2,b1073
76,FlhDC-2,b1074
77,FlhDC-2,b1075
78,FlhDC-2,b1076
79,FlhDC-2,b1077
80,FlhDC-2,b1078
81,FlhDC-2,b1922
82,FlhDC-2,b1938
83,FlhDC-2,b1944
84,Osmoprotectant,b2677
85,Osmoprotectant,b2678
86,Osmoprotectant,b2679
87,Glutamine,b0809
88,Glutamine,b0810
89,Glutamine,b0811
90,Glutamine,b3870
91,Sialic Acid,b0002
92,Sialic Acid,b0003
93,Sialic Acid,b0004
94,Sialic Acid,b0113
95,Sialic Acid,b1346
96,Sialic Acid,b2079
97,Sialic Acid,b2599
98,Sialic Acid,b2838
99,Sialic Acid,b3091
100,Sialic Acid,b3161
101,Sialic Acid,b3221
102,Sialic Acid,b3222
103,Sialic Acid,b3223
104,Sialic Acid,b3224
105,Sialic Acid,b3225
106,Sialic Acid,b4002
107,Sialic Acid,b4039
108,Sialic Acid,b4116
109,Sialic Acid,b4279
110,Sialic Acid,b4280
111,Sialic Acid,b4309
112,Sialic Acid,b4310
113,Sialic Acid,b4311
114,Sialic Acid,b4322
115,Sialic Acid,b4524
116,yqhI,b4755
117,ROS TALE Amp,b0541
118,ROS TALE Amp,b0543
119,ROS TALE Amp,b0544
120,ROS TALE Amp,b0545
121,ROS TALE Amp,b0546
122,ROS TALE Amp,b4733
123,Nucleotide Stress,b0005
124,Nucleotide Stress,b0033
125,Nucleotide Stress,b0059
126,Nucleotide Stress,b0099
127,Nucleotide Stress,b0120
128,Nucleotide Stress,b0121
129,Nucleotide Stress,b0144
130,Nucleotide Stress,b0180
131,Nucleotide Stress,b0182
132,Nucleotide Stress,b0183
133,Nucleotide Stress,b0249
134,Nucleotide Stress,b0402
135,Nucleotide Stress,b0442
136,Nucleotide Stress,b0554
137,Nucleotide Stress,b0561
138,Nucleotide Stress,b0606
139,Nucleotide Stress,b0610
140,Nucleotide Stress,b0683
141,Nucleotide Stress,b0689
142,Nucleotide Stress,b0908
143,Nucleotide Stress,b0909
144,Nucleotide Stress,b0929
