medium	description	compound	name	exchange
LB	Lysogeny broth	adn	Adenosine	EX_adn_e
LB	Lysogeny broth	ala__L	L-Alanine	EX_ala__L_e
LB	Lysogeny broth	amp	AMP	EX_amp_e
LB	Lysogeny broth	arg__L	L-Arginine	EX_arg__L_e
LB	Lysogeny broth	aso3	Arsenite 	EX_aso3_e
LB	Lysogeny broth	asp__L	L-Aspartate	EX_asp__L_e
LB	Lysogeny broth	ca2	Ca2+	EX_ca2_e
LB	Lysogeny broth	cbl1	Vitamin B12	EX_cbl1_e
LB	Lysogeny broth	cd2	Cadmium 	EX_cd2_e
LB	Lysogeny broth	cl	Cl-	EX_cl_e
LB	Lysogeny broth	cmp	CMP	EX_cmp_e
LB	Lysogeny broth	cobalt2	Co2+	EX_cobalt2_e
LB	Lysogeny broth	cro4	Chromate 	EX_cro4_e
LB	Lysogeny broth	cu2	Cu2+	EX_cu2_e
LB	Lysogeny broth	cys__L	L-Cysteine	EX_cys__L_e
LB	Lysogeny broth	dad_2	Deoxyadenosine 	EX_dad_2_e
LB	Lysogeny broth	dcyt	Deoxycytidine	EX_dcyt_e
LB	Lysogeny broth	fe2	Fe2+	EX_fe2_e
LB	Lysogeny broth	fe3	Fe3+	EX_fe3_e
LB	Lysogeny broth	fol	Folate	EX_fol_e
LB	Lysogeny broth	glc__D	D-Glucose	EX_glc__D_e
LB	Lysogeny broth	glu__L	L-Glutamate	EX_glu__L_e
LB	Lysogeny broth	gly	Glycine	EX_gly_e
LB	Lysogeny broth	gmp	GMP	EX_gmp_e
LB	Lysogeny broth	gsn	Guanosine	EX_gsn_e
LB	Lysogeny broth	h2o	H2O	EX_h2o_e
LB	Lysogeny broth	h2s	Hydrogen sulfide	EX_h2s_e
LB	Lysogeny broth	h	H+	EX_h_e
LB	Lysogeny broth	hg2	Hg2+ 	EX_hg2_e
LB	Lysogeny broth	his__L	L-Histidine	EX_his__L_e
LB	Lysogeny broth	hxan	Hypoxanthine	EX_hxan_e
LB	Lysogeny broth	ile__L	L-Isoleucine	EX_ile__L_e
LB	Lysogeny broth	ins	Inosine	EX_ins_e
LB	Lysogeny broth	k	K+	EX_k_e
LB	Lysogeny broth	leu__L	L-Leucine	EX_leu__L_e
LB	Lysogeny broth	lipoate	Lipoate	EX_lipoate_e
LB	Lysogeny broth	lys__L	L-Lysine	EX_lys__L_e
LB	Lysogeny broth	met__L	L-Methionine	EX_met__L_e
LB	Lysogeny broth	mg2	Mg	EX_mg2_e
LB	Lysogeny broth	mn2	Mn2+	EX_mn2_e
LB	Lysogeny broth	mobd	Molybdate	EX_mobd_e
LB	Lysogeny broth	na1	Na+	EX_na1_e
LB	Lysogeny broth	nac	Isonicotinic acid	EX_nac_e
LB	Lysogeny broth	nh4	Ammonium	EX_nh4_e
LB	Lysogeny broth	ni2	Ni2+	EX_ni2_e
LB	Lysogeny broth	o2	O2	EX_o2_e
LB	Lysogeny broth	phe__L	L-Phenylalanine	EX_phe__L_e
LB	Lysogeny broth	pheme	Protoheme	EX_pheme_e
LB	Lysogeny broth	pi	Phosphate	EX_pi_e
LB	Lysogeny broth	pnto__R	PAN	EX_pnto__R_e
LB	Lysogeny broth	pro__L	L-Proline	EX_pro__L_e
LB	Lysogeny broth	pydx	Pyridoxal	EX_pydx_e
LB	Lysogeny broth	ribflv	Riboflavin	EX_ribflv_e
LB	Lysogeny broth	ser__L	L-Serine	EX_ser__L_e
LB	Lysogeny broth	so4	Sulfate	EX_so4_e
LB	Lysogeny broth	thm	Thiamin	EX_thm_e
LB	Lysogeny broth	thr__L	L-Threonine	EX_thr__L_e
LB	Lysogeny broth	thymd	Thymidine	EX_thymd_e
LB	Lysogeny broth	trp__L	L-Tryptophan	EX_trp__L_e
LB	Lysogeny broth	tyr__L	L-Tyrosine	EX_tyr__L_e
LB	Lysogeny broth	ump	UMP	EX_ump_e
LB	Lysogeny broth	ura	Uracil	EX_ura_e
LB	Lysogeny broth	uri	Uridine	EX_uri_e
LB	Lysogeny broth	val__L	L-Valine	EX_val__L_e
LB	Lysogeny broth	zn2	Zn2+	EX_zn2_e
LB[-O2]	Lysogeny broth (anaerobic)	adn	Adenosine	EX_adn_e
