,iModulon,Gene
0,Null-1,PP_0009
1,Null-1,PP_0017
2,Null-1,PP_0040
3,Null-1,PP_0050
4,Null-1,PP_0083
5,Null-1,PP_0087
6,Null-1,PP_0112
7,Null-1,PP_0122
8,Null-1,PP_0152
9,Null-1,PP_0153
10,Null-1,PP_5430
11,Null-1,PP_0170
12,Null-1,PP_0181
13,Null-1,PP_0182
14,Null-1,PP_0185
15,Null-1,PP_0235
16,Null-1,PP_0256
17,Null-1,PP_0257
18,Null-1,PP_0258
19,Null-1,PP_0259
20,Null-1,PP_0276
21,Null-1,PP_0307
22,Null-1,PP_0367
23,Null-1,PP_0379
24,Null-1,PP_0412
25,Null-1,PP_0428
26,Null-1,PP_0433
27,Null-1,PP_0446
28,Null-1,PP_0480
29,Null-1,PP_0482
30,Null-1,PP_0538
31,Null-1,PP_0541
32,Null-1,PP_0568
33,Null-1,PP_0608
34,Null-1,PP_0620
35,Null-1,PP_0627
36,Null-1,PP_0655
37,Null-1,PP_0679
38,Null-1,PP_0694
39,Null-1,PP_0734
40,Null-1,PP_0776
41,Null-1,PP_0841
42,Null-1,PP_0849
43,Null-1,PP_0903
44,Null-1,PP_0910
45,Null-1,PP_0911
46,Null-1,PP_0915
47,Null-1,PP_0943
48,Null-1,PP_0951
49,Null-1,PP_0975
50,Null-1,PP_0998
51,Null-1,PP_1081
52,Null-1,PP_1082
53,Null-1,PP_1091
54,Null-1,PP_1100
55,Null-1,PP_1131
56,Null-1,PP_1153
57,Null-1,PP_1165
58,Null-1,PP_1167
59,Null-1,PP_1170
60,Null-1,PP_1171
61,Null-1,PP_1180
62,Null-1,PP_1190
63,Null-1,PP_1223
64,Null-1,PP_1242
65,Null-1,PP_1244
66,Null-1,PP_1268
67,Null-1,PP_1291
68,Null-1,PP_1294
69,Null-1,PP_1352
70,Null-1,PP_1366
71,Null-1,PP_5468
72,Null-1,PP_1368
73,Null-1,PP_1396
74,Null-1,PP_1410
75,Null-1,PP_1419
76,Null-1,PP_1465
77,Null-1,PP_1501
78,Null-1,PP_1559
79,Null-1,PP_1595
80,Null-1,PP_1614
81,Null-1,PP_1625
82,Null-1,PP_1637
83,Null-1,PP_1658
84,Null-1,PP_1686
85,Null-1,PP_1706
86,Null-1,PP_1729
87,Null-1,PP_1766
88,Null-1,PP_1773
89,Null-1,PP_1811
