,iModulon,Gene
0,oxidative_stress_response,SGL_RS02160
1,oxidative_stress_response,SGL_RS04040
2,oxidative_stress_response,SGL_RS04110
3,oxidative_stress_response,SGL_RS04770
4,oxidative_stress_response,SGL_RS06050
5,oxidative_stress_response,SGL_RS06085
6,oxidative_stress_response,SGL_RS06165
7,oxidative_stress_response,SGL_RS06585
8,oxidative_stress_response,SGL_RS08140
9,oxidative_stress_response,SGL_RS08145
10,oxidative_stress_response,SGL_RS08225
11,oxidative_stress_response,SGL_RS08340
12,oxidative_stress_response,SGL_RS08345
13,oxidative_stress_response,SGL_RS08350
14,oxidative_stress_response,SGL_RS08355
15,oxidative_stress_response,SGL_RS09125
16,oxidative_stress_response,SGL_RS09410
17,oxidative_stress_response,SGL_RS10760
18,oxidative_stress_response,SGL_RS11010
19,oxidative_stress_response,SGL_RS11105
20,oxidative_stress_response,SGL_RS11110
21,oxidative_stress_response,SGL_RS11210
22,oxidative_stress_response,SGL_RS11460
23,oxidative_stress_response,SGL_RS11585
24,oxidative_stress_response,SGL_RS11615
25,oxidative_stress_response,SGL_RS18930
26,oxidative_stress_response,SGL_RS20150
27,oxidative_stress_response,SGL_RS11970
28,oxidative_stress_response,SGL_RS19925
29,oxidative_stress_response,SGL_RS13680
30,oxidative_stress_response,SGL_RS19475
31,oxidative_stress_response,SGL_RS19485
32,oxidative_stress_response,SGL_RS15760
33,oxidative_stress_response,SGL_RS19355
34,oxidative_stress_response,SGL_RS20190
35,oxidative_stress_response,SGL_RS16955
36,oxidative_stress_response,SGL_RS17595
37,oxidative_stress_response,SGL_RS17600
38,oxidative_stress_response,SGL_RS18085
39,oxidative_stress_response,SGL_RS01375
40,oxidative_stress_response,SGL_RS00165
41,oxidative_stress_response,SGL_RS00170
42,oxidative_stress_response,SGL_RS19680
43,oxidative_stress_response,SGL_RS00530
44,oxidative_stress_response,SGL_RS01290
45,oxidative_stress_response,SGL_RS00675
46,oxidative_stress_response,SGL_RS00680
47,oxidative_stress_response,SGL_RS00710
48,oxidative_stress_response,SGL_RS00990
49,oxidative_stress_response,SGL_RS00995
50,oxidative_stress_response,SGL_RS01000
51,oxidative_stress_response,SGL_RS01005
52,oxidative_stress_response,SGL_RS01010
53,oxidative_stress_response,SGL_RS01015
54,oxidative_stress_response,SGL_RS01020
55,oxidative_stress_response,SGL_RS01070
56,oxidative_stress_response,SGL_RS01075
57,oxidative_stress_response,SGL_RS01080
58,oxidative_stress_response,SGL_RS01085
59,oxidative_stress_response,SGL_RS01090
60,oxidative_stress_response,SGL_RS01095
61,oxidative_stress_response,SGL_RS01100
62,oxidative_stress_response,SGL_RS01105
63,oxidative_stress_response,SGL_RS01110
64,ribosome_biogenesis,SGL_RS02500
65,ribosome_biogenesis,SGL_RS02640
66,ribosome_biogenesis,SGL_RS19405
67,ribosome_biogenesis,SGL_RS19420
68,ribosome_biogenesis,SGL_RS04135
69,ribosome_biogenesis,SGL_RS05120
70,ribosome_biogenesis,SGL_RS05350
71,ribosome_biogenesis,SGL_RS05710
72,ribosome_biogenesis,SGL_RS05715
73,ribosome_biogenesis,SGL_RS05720
74,ribosome_biogenesis,SGL_RS05725
75,ribosome_biogenesis,SGL_RS05730
76,ribosome_biogenesis,SGL_RS05755
77,ribosome_biogenesis,SGL_RS05765
78,ribosome_biogenesis,SGL_RS05770
79,ribosome_biogenesis,SGL_RS05775
80,ribosome_biogenesis,SGL_RS05780
81,ribosome_biogenesis,SGL_RS05785
82,ribosome_biogenesis,SGL_RS05790
83,ribosome_biogenesis,SGL_RS05795
84,ribosome_biogenesis,SGL_RS05800
85,ribosome_biogenesis,SGL_RS05805
86,ribosome_biogenesis,SGL_RS05810
87,ribosome_biogenesis,SGL_RS05815
88,ribosome_biogenesis,SGL_RS05820
89,ribosome_biogenesis,SGL_RS05825
90,ribosome_biogenesis,SGL_RS05830
91,ribosome_biogenesis,SGL_RS05835
92,ribosome_biogenesis,SGL_RS05840
93,ribosome_biogenesis,SGL_RS05845
94,ribosome_biogenesis,SGL_RS05850
95,ribosome_biogenesis,SGL_RS06050
96,ribosome_biogenesis,SGL_RS06195
97,ribosome_biogenesis,SGL_RS06200
98,ribosome_biogenesis,SGL_RS06210
99,ribosome_biogenesis,SGL_RS06295
100,ribosome_biogenesis,SGL_RS20130
101,ribosome_biogenesis,SGL_RS07260
102,ribosome_biogenesis,SGL_RS08845
103,ribosome_biogenesis,SGL_RS09575
104,ribosome_biogenesis,SGL_RS19870
105,ribosome_biogenesis,SGL_RS10920
106,ribosome_biogenesis,SGL_RS10925
107,ribosome_biogenesis,SGL_RS12685
108,ribosome_biogenesis,SGL_RS12995
109,ribosome_biogenesis,SGL_RS20160
110,ribosome_biogenesis,SGL_RS13350
111,ribosome_biogenesis,SGL_RS13420
112,ribosome_biogenesis,SGL_RS13425
113,ribosome_biogenesis,SGL_RS14515
114,ribosome_biogenesis,SGL_RS16085
115,ribosome_biogenesis,SGL_RS16415
116,ribosome_biogenesis,SGL_RS17590
117,ribosome_biogenesis,SGL_RS17595
118,ribosome_biogenesis,SGL_RS17600
119,ribosome_biogenesis,SGL_RS17705
120,ribosome_biogenesis,SGL_RS19150
121,ribosome_biogenesis,SGL_RS19505
122,ribosome_biogenesis,SGL_RS19720
123,ribosome_biogenesis,SGL_RS01615
124,ribosome_biogenesis,SGL_RS00025
125,ribosome_biogenesis,SGL_RS00165
126,ribosome_biogenesis,SGL_RS19300
