,Subsystem,p-Value,recall,target_lenght
28,S_Purine_Metabolism,1.4199325251795474e-24,0.7222222222222222,0.7222222222222222
29,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,8.90716018192413e-23,1.0,1.0
35,S_Iron_uptake_and_metabolism,3.0296418704835755e-18,0.6346153846153846,0.6346153846153846
40,S_Pyrimidine_Metabolism,2.5611764221380557e-17,0.8,0.8
17,S_TCA_Cycle,4.0294648779080906e-17,0.8214285714285714,0.8214285714285714
5,S_Lysine_Metabolism,5.575658714794012e-17,0.7575757575757576,0.7575757575757576
0,S_Fatty_Acid__Biosynthesis,4.1363157027628516e-16,0.84,0.84
24,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,8.66420606884784e-14,0.7241379310344828,0.7241379310344828
57,S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,1.5042768341622731e-13,1.0,1.0
18,S_Cell_Envelope_Biosynthesis,2.0688986336857187e-13,0.85,0.85
77,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis,1.2500360338974218e-12,1.0,1.0
76,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,1.2500360338974218e-12,1.0,1.0
10,S_Glycerophospholipid_Metabolism,1.504869419989218e-12,0.6896551724137931,0.6896551724137931
25,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,1.0373991121372923e-11,1.0,1.0
46,S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,3.6718355390852595e-11,0.5102040816326531,0.5102040816326531
47,S_Glutamate_Metabolism,4.347988321064734e-11,0.7894736842105263,0.7894736842105263
27,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Thiamine_Metabolism,7.116756357387021e-10,1.0,1.0
55,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis,7.457604976566349e-10,0.8571428571428571,0.8571428571428571
58,S_Formaldehyde_Metabolism,9.176491907452054e-10,0.9166666666666666,0.9166666666666666
51,S_Oxidative_Phosphorylation,1.1357815942892636e-09,0.4791666666666667,0.4791666666666667
53,S_Cysteine_Metabolism,5.8829734472150155e-09,1.0,1.0
