,Subsystem,p-Value,recall,target_lenght
9,S_Transport__Inner_Membrane,4.774699787159784e-44,0.46511627906976744,0.46511627906976744
1,S_Transport__ABC_system,1.2017441896426052e-19,0.267515923566879,0.267515923566879
26,Unassigned,6.935287632269013e-16,0.44,0.44
10,S_Glycerophospholipid_Metabolism,1.6817490634686588e-12,0.5172413793103449,0.5172413793103449
8,S_Fatty_Acid_Metabolism,1.2030401037855791e-11,0.5652173913043478,0.5652173913043478
75,S_Xenobiotic_tolerance,7.332054885361517e-09,0.7272727272727273,0.7272727272727273
23,S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,3.282322607884008e-08,0.7777777777777778,0.7777777777777778
31,S_Transport__solvent_extrusion,8.305754731954131e-08,0.5,0.5
2,S_Transport__Outer_Membrane,1.3509336456826268e-07,0.3333333333333333,0.3333333333333333
52,S_Aromatic_Compounds_Degradation__Phenylacetyl_CoA_Catabolom,2.6138672793046376e-07,0.45,0.45
71,S_Butanoate_Metabolism,1.4303560587056042e-06,0.6666666666666666,0.6666666666666666
34,S_Sulfur_Metabolism,3.693947596899682e-06,0.4,0.4
73,S_Plant_growth_promoting,7.336708371291403e-06,1.0,1.0
46,S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,3.245136193482904e-05,0.22448979591836735,0.22448979591836735
24,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,8.321372793774993e-05,0.27586206896551724,0.27586206896551724
39,S_Heavy_Metal_Tolerance,8.60439926595273e-05,0.3181818181818182,0.3181818181818182
13,S_Valine__Leucine__and_Isoleucine_Metabolism,0.00011820950378589852,0.30434782608695654,0.30434782608695654
14,S_PHAs_Metabolism,0.00013461710964275052,0.45454545454545453,0.45454545454545453
7,S_Alternate_Carbon_and_Nitrogen_source__Hydroxy_proline_metabolism,0.00014166470573872042,1.0,1.0
54,S_Methionine_Metabolism,0.0005120429362021553,0.35714285714285715,0.35714285714285715
64,S_Aromatic_Compounds_Degradation__Gallic_acid_Metabolism,0.0005446486978410074,0.75,0.75
16,S_Alternate_Carbon,0.000749217855935382,0.4444444444444444,0.4444444444444444
21,S_Alginate_biosynthesis,0.0009209265555507425,0.2608695652173913,0.2608695652173913
4,S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,0.004234279064010816,0.42857142857142855,0.42857142857142855
48,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Queuosine_biosynthesis,0.004234279064010816,0.42857142857142855,0.42857142857142855
5,S_Lysine_Metabolism,0.006503658442295356,0.18181818181818182,0.18181818181818182
68,S_Pyruvate_Metabolism,0.012911084498346671,0.3,0.3
85,S_Alternate_Carbon__Levulinate_Metabolism,0.024539570153792066,0.4,0.4
66,S_Cofactor_and_Prosthetic_Group_Biosynthesis,0.024539570153792066,0.4,0.4
60,S_Alternate_Carbon__Fructose_Metabolism,0.024539570153792066,0.4,0.4
3,S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism,0.03555106472662885,0.3333333333333333,0.3333333333333333
43,S_Aromatic_Compounds_Degradation__Toluene_Pathway,0.052300503235082674,1.0,1.0
44,S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway,0.055763264600798036,0.14285714285714285,0.14285714285714285
28,S_Purine_Metabolism,0.06111865528467635,0.1111111111111111,0.1111111111111111
80,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Vitamin_B6_Metabolism,0.07694228788605206,0.2222222222222222,0.2222222222222222
53,S_Cysteine_Metabolism,0.07694228788605206,0.2222222222222222,0.2222222222222222
18,S_Cell_Envelope_Biosynthesis,0.08357403350491567,0.15,0.15
58,S_Formaldehyde_Metabolism,0.12739279251315166,0.16666666666666666,0.16666666666666666
0,S_Fatty_Acid__Biosynthesis,0.13979890643165901,0.12,0.12
76,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,0.1455745151805207,0.15384615384615385,0.15384615384615385
81,S_Phosphonate_and_phosphinate_metabolism,0.14886387586442515,0.3333333333333333,0.3333333333333333
55,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis,0.16424590953565252,0.14285714285714285,0.14285714285714285
79,S_Nucleotide_Salvage_Pathway,0.1934027379617911,0.25,0.25
78,S_Nitrogen_Metabolism,0.1934027379617911,0.25,0.25
87,S_Alternate_Carbon__Butanediol_Metabolism,0.23561852991379095,0.2,0.2
42,S_Alternate_Carbon_and_Nitrogen_source__Ectoine_Metabolism,0.2756320229512233,0.16666666666666666,0.16666666666666666
30,S_Glycine__Serine_and_threonine_metabolism,0.3404619091460027,0.08695652173913043,0.08695652173913043
27,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Thiamine_Metabolism,0.4158660713347686,0.1,0.1
38,S_Alanine_and_Aspartate_Metabolism,0.4464715760595762,0.09090909090909091,0.09090909090909091
22,S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism,0.5029707567851304,0.07692307692307693,0.07692307692307693
37,S_tRNA_Charging,0.7533775948374185,0.038461538461538464,0.038461538461538464
35,S_Iron_uptake_and_metabolism,0.7645284806124767,0.038461538461538464,0.038461538461538464
40,S_Pyrimidine_Metabolism,0.8012812378255486,0.03333333333333333,0.03333333333333333
32,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism,0.8483303074181284,0.02857142857142857,0.02857142857142857
51,S_Oxidative_Phosphorylation,1.0,0.0,0.0
72,S_Cofactor_and_Prosthetic_Group_Biosynthesis__FeS_clusters_metabolism,1.0,0.0,0.0
15,S_Urea_cycleamino_group_metabolism,1.0,0.0,0.0
74,S_Aromatic_Compounds_Degradation__Nicotinic_acid_pathway,1.0,0.0,0.0
12,S_Aromatic_Compounds_Degradation__Homogentisate_pathway,1.0,0.0,0.0
36,S_Arginine_and_Proline_Metabolism,1.0,0.0,0.0
77,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis,1.0,0.0,0.0
86,Aliphatic open-chain ketones metabolism,1.0,0.0,0.0
41,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Nicotinamide_Biosynthesis,1.0,0.0,0.0
11,S_Glycolysis,1.0,0.0,0.0
82,S_Inorganic_polyphosphates_metabolism,1.0,0.0,0.0
83,S_Alternate_Carbon__Ribose_Metabolism,1.0,0.0,0.0
84,Murein Recycling,1.0,0.0,0.0
6,S_Cofactor_and_Prosthetic_Group_Biosynthesis___Pyrroloquinoline_quinone_biosynthesis,1.0,0.0,0.0
17,S_TCA_Cycle,1.0,0.0,0.0
70,S_Cell_Envelope_Biosynthesis__LPS_Biosynthesis,1.0,0.0,0.0
69,S_Cell_Envelope_Biosynthesis__Biosynthesis_of_L_glycero_D_manno_heptose__Hep_,1.0,0.0,0.0
19,S_Gluconeogenesis,1.0,0.0,0.0
49,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Terpenoid_backbone_biosynthesis,1.0,0.0,0.0
29,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,1.0,0.0,0.0
33,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Riboflavin_Metabolism,1.0,0.0,0.0
56,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Ubiquinone_biosynthesis,1.0,0.0,0.0
57,S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,1.0,0.0,0.0
47,S_Glutamate_Metabolism,1.0,0.0,0.0
50,S_Cell_Envelope_Biosynthesis__Cellulose_Metabolism,1.0,0.0,0.0
59,S_Histidine_Metabolism,1.0,0.0,0.0
61,S_Cofactor_and_Prosthetic_Group_Biosynthesis__One_Carbon_pool_by_folate,1.0,0.0,0.0
62,S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis,1.0,0.0,0.0
45,Biomass and maintenance functions,1.0,0.0,0.0
65,S_Starch_and_Sucrose_Metabolism,1.0,0.0,0.0
20,S_Alternate_Carbon__Propanoate_Metabolism,1.0,0.0,0.0
67,S_Glyoxylate_and_dicarboxylate_metabolism,1.0,0.0,0.0
25,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,1.0,0.0,0.0
63,S_Pentose_Phosphate_Pathway,1.0,0.0,0.0
