,Subsystem,p-Value,recall,target_lenght
9,S_Transport__Inner_Membrane,2.0770038975139874e-44,0.5193798449612403,0.5193798449612403
1,S_Transport__ABC_system,2.6395809513460284e-29,0.37579617834394907,0.37579617834394907
2,S_Transport__Outer_Membrane,1.5912113661655923e-18,0.6388888888888888,0.6388888888888888
26,Unassigned,1.1844369041642727e-17,0.52,0.52
31,S_Transport__solvent_extrusion,1.3547736004045141e-13,0.7777777777777778,0.7777777777777778
75,S_Xenobiotic_tolerance,1.8085785927013322e-13,1.0,1.0
10,S_Glycerophospholipid_Metabolism,4.2183671935424223e-13,0.5862068965517241,0.5862068965517241
34,S_Sulfur_Metabolism,1.5054785439403928e-12,0.7,0.7
32,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism,2.4860889286452773e-11,0.4857142857142857,0.4857142857142857
8,S_Fatty_Acid_Metabolism,5.032709547148852e-10,0.5652173913043478,0.5652173913043478
46,S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,6.641471112515993e-07,0.30612244897959184,0.30612244897959184
23,S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,8.12448058065169e-06,0.6666666666666666,0.6666666666666666
39,S_Heavy_Metal_Tolerance,8.33384374987281e-06,0.4090909090909091,0.4090909090909091
21,S_Alginate_biosynthesis,1.284999276942637e-05,0.391304347826087,0.391304347826087
24,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,1.5611691843274547e-05,0.3448275862068966,0.3448275862068966
84,Murein Recycling,2.404045208962345e-05,1.0,1.0
73,S_Plant_growth_promoting,2.404045208962345e-05,1.0,1.0
64,S_Aromatic_Compounds_Degradation__Gallic_acid_Metabolism,2.404045208962345e-05,1.0,1.0
4,S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,3.119377416185651e-05,0.7142857142857143,0.7142857142857143
52,S_Aromatic_Compounds_Degradation__Phenylacetyl_CoA_Catabolom,3.290134031080171e-05,0.4,0.4
16,S_Alternate_Carbon,0.00016621199609367964,0.5555555555555556,0.5555555555555556
54,S_Methionine_Metabolism,0.00021427721322056633,0.42857142857142855,0.42857142857142855
81,S_Phosphonate_and_phosphinate_metabolism,0.00034455915997524744,1.0,1.0
74,S_Aromatic_Compounds_Degradation__Nicotinic_acid_pathway,0.0007088293512352963,0.5714285714285714,0.5714285714285714
48,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Queuosine_biosynthesis,0.0007088293512352963,0.5714285714285714,0.5714285714285714
5,S_Lysine_Metabolism,0.0016120686529959925,0.24242424242424243,0.24242424242424243
53,S_Cysteine_Metabolism,0.0022777219901165273,0.4444444444444444,0.4444444444444444
85,S_Alternate_Carbon__Levulinate_Metabolism,0.0030950247338311625,0.6,0.6
28,S_Purine_Metabolism,0.003824329819632097,0.18518518518518517,0.18518518518518517
14,S_PHAs_Metabolism,0.005327830364891303,0.36363636363636365,0.36363636363636365
37,S_tRNA_Charging,0.007984350231394743,0.23076923076923078,0.23076923076923078
7,S_Alternate_Carbon_and_Nitrogen_source__Hydroxy_proline_metabolism,0.014090609554977472,0.6666666666666666,0.6666666666666666
