,Subsystem,p-Value,recall,target_lenght
29,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,3.7084550717483605e-23,1.0,1.0
28,S_Purine_Metabolism,3.019318298813973e-20,0.6481481481481481,0.6481481481481481
0,S_Fatty_Acid__Biosynthesis,4.592837417331082e-18,0.88,0.88
35,S_Iron_uptake_and_metabolism,1.533315844805054e-16,0.5961538461538461,0.5961538461538461
17,S_TCA_Cycle,5.311231283126799e-16,0.7857142857142857,0.7857142857142857
51,S_Oxidative_Phosphorylation,9.035711776782701e-16,0.6041666666666666,0.6041666666666666
5,S_Lysine_Metabolism,9.393578884269733e-15,0.696969696969697,0.696969696969697
24,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,4.1846337063199935e-14,0.7241379310344828,0.7241379310344828
57,S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,9.058044774089169e-14,1.0,1.0
18,S_Cell_Envelope_Biosynthesis,1.1313915166694465e-13,0.85,0.85
76,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,7.807640767231206e-13,1.0,1.0
77,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis,7.807640767231206e-13,1.0,1.0
40,S_Pyrimidine_Metabolism,2.0244199908109665e-12,0.6666666666666666,0.6666666666666666
25,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,6.7206234945221185e-12,1.0,1.0
10,S_Glycerophospholipid_Metabolism,1.174779528720348e-11,0.6551724137931034,0.6551724137931034
47,S_Glutamate_Metabolism,2.570325471984746e-11,0.7894736842105263,0.7894736842105263
49,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Terpenoid_backbone_biosynthesis,5.7770313103841066e-11,1.0,1.0
14,S_PHAs_Metabolism,5.7770313103841066e-11,1.0,1.0
58,S_Formaldehyde_Metabolism,6.193168988063493e-10,0.9166666666666666,0.9166666666666666
46,S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,9.252889546688003e-10,0.46938775510204084,0.46938775510204084
9,S_Transport__Inner_Membrane,3.246411554397635e-09,0.31007751937984496,0.31007751937984496
