,Subsystem,p-Value,recall,target_lenght
9,S_Transport__Inner_Membrane,4.969138073719115e-31,0.3643410852713178,0.3643410852713178
1,S_Transport__ABC_system,3.4816987473832705e-17,0.2356687898089172,0.2356687898089172
52,S_Aromatic_Compounds_Degradation__Phenylacetyl_CoA_Catabolom,4.546236115287792e-15,0.7,0.7
2,S_Transport__Outer_Membrane,4.9106348247736996e-14,0.4722222222222222,0.4722222222222222
26,Unassigned,2.599792704921132e-12,0.36,0.36
8,S_Fatty_Acid_Metabolism,1.423024285720898e-09,0.4782608695652174,0.4782608695652174
34,S_Sulfur_Metabolism,4.741671338589488e-09,0.5,0.5
10,S_Glycerophospholipid_Metabolism,2.837994332697049e-08,0.3793103448275862,0.3793103448275862
75,S_Xenobiotic_tolerance,1.1971105253338867e-07,0.6363636363636364,0.6363636363636364
21,S_Alginate_biosynthesis,3.9814143225601713e-07,0.391304347826087,0.391304347826087
46,S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,1.5221576528754625e-06,0.24489795918367346,0.24489795918367346
74,S_Aromatic_Compounds_Degradation__Nicotinic_acid_pathway,0.00014154152829167326,0.5714285714285714,0.5714285714285714
4,S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,0.00014154152829167326,0.5714285714285714,0.5714285714285714
39,S_Heavy_Metal_Tolerance,0.0003732766339907693,0.2727272727272727,0.2727272727272727
73,S_Plant_growth_promoting,0.00038082617589118965,0.75,0.75
64,S_Aromatic_Compounds_Degradation__Gallic_acid_Metabolism,0.00038082617589118965,0.75,0.75
28,S_Purine_Metabolism,0.000731440995454834,0.16666666666666666,0.16666666666666666
14,S_PHAs_Metabolism,0.001151024954859933,0.36363636363636365,0.36363636363636365
44,S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway,0.0014908408194077728,0.21428571428571427,0.21428571428571427
36,S_Arginine_and_Proline_Metabolism,0.0018079285992267868,0.20689655172413793,0.20689655172413793
24,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,0.0018079285992267868,0.20689655172413793,0.20689655172413793
5,S_Lysine_Metabolism,0.003608360430368211,0.18181818181818182,0.18181818181818182
71,S_Butanoate_Metabolism,0.00672165172281943,0.3333333333333333,0.3333333333333333
23,S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,0.00672165172281943,0.3333333333333333,0.3333333333333333
16,S_Alternate_Carbon,0.00672165172281943,0.3333333333333333,0.3333333333333333
68,S_Pyruvate_Metabolism,0.009276644654104969,0.3,0.3
40,S_Pyrimidine_Metabolism,0.01133559172767389,0.16666666666666666,0.16666666666666666
60,S_Alternate_Carbon__Fructose_Metabolism,0.019516876868948773,0.4,0.4
66,S_Cofactor_and_Prosthetic_Group_Biosynthesis,0.019516876868948773,0.4,0.4
54,S_Methionine_Metabolism,0.02453181821923522,0.21428571428571427,0.21428571428571427
42,S_Alternate_Carbon_and_Nitrogen_source__Ectoine_Metabolism,0.028387396953246314,0.3333333333333333,0.3333333333333333
3,S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism,0.028387396953246314,0.3333333333333333,0.3333333333333333
43,S_Aromatic_Compounds_Degradation__Toluene_Pathway,0.04636951833213515,1.0,1.0
86,Aliphatic open-chain ketones metabolism,0.04636951833213515,1.0,1.0
53,S_Cysteine_Metabolism,0.06216300224348809,0.2222222222222222,0.2222222222222222
38,S_Alanine_and_Aspartate_Metabolism,0.08939811155183656,0.18181818181818182,0.18181818181818182
67,S_Glyoxylate_and_dicarboxylate_metabolism,0.10410233926036157,0.16666666666666666,0.16666666666666666
37,S_tRNA_Charging,0.11709722966400059,0.11538461538461539,0.11538461538461539
7,S_Alternate_Carbon_and_Nitrogen_source__Hydroxy_proline_metabolism,0.13278060225719818,0.3333333333333333,0.3333333333333333
55,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis,0.13521564927790627,0.14285714285714285,0.14285714285714285
65,S_Starch_and_Sucrose_Metabolism,0.13521564927790627,0.14285714285714285,0.14285714285714285
78,S_Nitrogen_Metabolism,0.1730148415338827,0.25,0.25
31,S_Transport__solvent_extrusion,0.20206563307110814,0.1111111111111111,0.1111111111111111
85,S_Alternate_Carbon__Levulinate_Metabolism,0.21138933270011623,0.2,0.2
87,S_Alternate_Carbon__Butanediol_Metabolism,0.21138933270011623,0.2,0.2
32,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism,0.2198164343833767,0.08571428571428572,0.08571428571428572
18,S_Cell_Envelope_Biosynthesis,0.2367585859375392,0.1,0.1
48,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Queuosine_biosynthesis,0.2828977177406078,0.14285714285714285,0.14285714285714285
0,S_Fatty_Acid__Biosynthesis,0.32401862369433343,0.08,0.08
58,S_Formaldehyde_Metabolism,0.4346587875561452,0.08333333333333333,0.08333333333333333
22,S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism,0.4609300470681253,0.07692307692307693,0.07692307692307693
76,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,0.4609300470681253,0.07692307692307693,0.07692307692307693
62,S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis,0.4859850007442961,0.07142857142857142,0.07142857142857142
13,S_Valine__Leucine__and_Isoleucine_Metabolism,0.665204215590427,0.043478260869565216,0.043478260869565216
35,S_Iron_uptake_and_metabolism,0.7026303254955772,0.038461538461538464,0.038461538461538464
17,S_TCA_Cycle,1.0,0.0,0.0
72,S_Cofactor_and_Prosthetic_Group_Biosynthesis__FeS_clusters_metabolism,1.0,0.0,0.0
