,Subsystem,p-Value,recall,target_lenght
28,S_Purine_Metabolism,2.354291285881682e-24,0.7037037037037037,0.7037037037037037
29,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,1.8103060414383234e-23,1.0,1.0
35,S_Iron_uptake_and_metabolism,5.268074135828876e-18,0.6153846153846154,0.6153846153846154
17,S_TCA_Cycle,9.13581050577641e-18,0.8214285714285714,0.8214285714285714
19,S_Gluconeogenesis,6.724866918145993e-15,1.0,1.0
24,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,2.3042039913314736e-14,0.7241379310344828,0.7241379310344828
51,S_Oxidative_Phosphorylation,5.1547447130414344e-14,0.5625,0.5625
57,S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,5.981251826235622e-14,1.0,1.0
40,S_Pyrimidine_Metabolism,6.865138270164035e-14,0.7,0.7
18,S_Cell_Envelope_Biosynthesis,6.901573935675728e-14,0.85,0.85
0,S_Fatty_Acid__Biosynthesis,9.57753938785682e-14,0.76,0.76
77,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis,5.312308621989428e-13,1.0,1.0
76,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,5.312308621989428e-13,1.0,1.0
25,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,4.7114916085120284e-12,1.0,1.0
10,S_Glycerophospholipid_Metabolism,6.921202077297044e-12,0.6551724137931034,0.6551724137931034
5,S_Lysine_Metabolism,1.5773245613255062e-11,0.6060606060606061,0.6060606060606061
47,S_Glutamate_Metabolism,1.6709165175409797e-11,0.7894736842105263,0.7894736842105263
30,S_Glycine__Serine_and_threonine_metabolism,8.48539287849392e-11,0.6956521739130435,0.6956521739130435
27,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Thiamine_Metabolism,3.6903264523735975e-10,1.0,1.0
58,S_Formaldehyde_Metabolism,4.4889919808756015e-10,0.9166666666666666,0.9166666666666666
36,S_Arginine_and_Proline_Metabolism,1.1509817221701612e-09,0.5862068965517241,0.5862068965517241
33,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Riboflavin_Metabolism,3.2591038859992576e-09,1.0,1.0
61,S_Cofactor_and_Prosthetic_Group_Biosynthesis__One_Carbon_pool_by_folate,3.6420877594599633e-09,0.9090909090909091,0.9090909090909091
56,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Ubiquinone_biosynthesis,3.6420877594599633e-09,0.9090909090909091,0.9090909090909091
49,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Terpenoid_backbone_biosynthesis,3.6420877594599633e-09,0.9090909090909091,0.9090909090909091
55,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis,1.094622454502442e-08,0.7857142857142857,0.7857142857142857
59,S_Histidine_Metabolism,1.6839455249238272e-08,0.7058823529411765,0.7058823529411765
9,S_Transport__Inner_Membrane,5.815671972624585e-08,0.2868217054263566,0.2868217054263566
38,S_Alanine_and_Aspartate_Metabolism,1.4459420287314006e-07,0.8181818181818182,0.8181818181818182
41,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Nicotinamide_Biosynthesis,2.326069002064613e-07,0.8888888888888888,0.8888888888888888
62,S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis,2.395025011912229e-07,0.7142857142857143,0.7142857142857143
70,S_Cell_Envelope_Biosynthesis__LPS_Biosynthesis,2.5312260376884805e-07,1.0,1.0
63,S_Pentose_Phosphate_Pathway,2.5312260376884805e-07,1.0,1.0
32,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism,3.70439012036025e-07,0.45714285714285713,0.45714285714285713
11,S_Glycolysis,3.4221363942028973e-06,0.5,0.5
68,S_Pyruvate_Metabolism,2.220247220283569e-05,0.7,0.7
54,S_Methionine_Metabolism,4.572651347930065e-05,0.5714285714285714,0.5714285714285714
26,Unassigned,8.558086406776609e-05,0.32,0.32
2,S_Transport__Outer_Membrane,9.82591779211458e-05,0.3611111111111111,0.3611111111111111
53,S_Cysteine_Metabolism,0.0001375623964716509,0.6666666666666666,0.6666666666666666
80,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Vitamin_B6_Metabolism,0.0001375623964716509,0.6666666666666666,0.6666666666666666
69,S_Cell_Envelope_Biosynthesis__Biosynthesis_of_L_glycero_D_manno_heptose__Hep_,0.00017143949988429662,1.0,1.0
82,S_Inorganic_polyphosphates_metabolism,0.00017143949988429662,1.0,1.0
6,S_Cofactor_and_Prosthetic_Group_Biosynthesis___Pyrroloquinoline_quinone_biosynthesis,0.00017143949988429662,1.0,1.0
79,S_Nucleotide_Salvage_Pathway,0.00017143949988429662,1.0,1.0
72,S_Cofactor_and_Prosthetic_Group_Biosynthesis__FeS_clusters_metabolism,0.00033641530786185646,0.7142857142857143,0.7142857142857143
83,S_Alternate_Carbon__Ribose_Metabolism,0.0007790013534310917,0.8,0.8
34,S_Sulfur_Metabolism,0.0010218430836404612,0.4,0.4
15,S_Urea_cycleamino_group_metabolism,0.0011366334436272339,0.4375,0.4375
42,S_Alternate_Carbon_and_Nitrogen_source__Ectoine_Metabolism,0.0021246759930775953,0.6666666666666666,0.6666666666666666
13,S_Valine__Leucine__and_Isoleucine_Metabolism,0.0029096688594788447,0.34782608695652173,0.34782608695652173
65,S_Starch_and_Sucrose_Metabolism,0.0029625822354837363,0.42857142857142855,0.42857142857142855
22,S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism,0.011431378860278141,0.38461538461538464,0.38461538461538464
66,S_Cofactor_and_Prosthetic_Group_Biosynthesis,0.012559482175155366,0.6,0.6
71,S_Butanoate_Metabolism,0.013445156740157723,0.4444444444444444,0.4444444444444444
14,S_PHAs_Metabolism,0.029218381718274358,0.36363636363636365,0.36363636363636365
4,S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,0.03685823694513406,0.42857142857142855,0.42857142857142855
8,S_Fatty_Acid_Metabolism,0.040682629695329285,0.2608695652173913,0.2608695652173913
73,S_Plant_growth_promoting,0.06728314969041038,0.5,0.5
1,S_Transport__ABC_system,0.08491538537113791,0.15286624203821655,0.15286624203821655
45,Biomass and maintenance functions,0.11466570812365205,1.0,1.0
67,S_Glyoxylate_and_dicarboxylate_metabolism,0.15077149450290228,0.25,0.25
46,S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,0.19338004165642772,0.16326530612244897,0.16326530612244897
12,S_Aromatic_Compounds_Degradation__Homogentisate_pathway,0.2314079921316091,0.25,0.25
39,S_Heavy_Metal_Tolerance,0.7364988578191953,0.09090909090909091,0.09090909090909091
21,S_Alginate_biosynthesis,0.7589426308650641,0.08695652173913043,0.08695652173913043
37,S_tRNA_Charging,0.8165892968822934,0.07692307692307693,0.07692307692307693
52,S_Aromatic_Compounds_Degradation__Phenylacetyl_CoA_Catabolom,0.912859478574543,0.05,0.05
44,S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway,0.9672531736399065,0.03571428571428571,0.03571428571428571
85,S_Alternate_Carbon__Levulinate_Metabolism,1.0,0.0,0.0
78,S_Nitrogen_Metabolism,1.0,0.0,0.0
81,S_Phosphonate_and_phosphinate_metabolism,1.0,0.0,0.0
75,S_Xenobiotic_tolerance,1.0,0.0,0.0
84,Murein Recycling,1.0,0.0,0.0
43,S_Aromatic_Compounds_Degradation__Toluene_Pathway,1.0,0.0,0.0
64,S_Aromatic_Compounds_Degradation__Gallic_acid_Metabolism,1.0,0.0,0.0
60,S_Alternate_Carbon__Fructose_Metabolism,1.0,0.0,0.0
50,S_Cell_Envelope_Biosynthesis__Cellulose_Metabolism,1.0,0.0,0.0
48,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Queuosine_biosynthesis,1.0,0.0,0.0
86,Aliphatic open-chain ketones metabolism,1.0,0.0,0.0
31,S_Transport__solvent_extrusion,1.0,0.0,0.0
23,S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,1.0,0.0,0.0
20,S_Alternate_Carbon__Propanoate_Metabolism,1.0,0.0,0.0
16,S_Alternate_Carbon,1.0,0.0,0.0
7,S_Alternate_Carbon_and_Nitrogen_source__Hydroxy_proline_metabolism,1.0,0.0,0.0
3,S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism,1.0,0.0,0.0
74,S_Aromatic_Compounds_Degradation__Nicotinic_acid_pathway,1.0,0.0,0.0
87,S_Alternate_Carbon__Butanediol_Metabolism,1.0,0.0,0.0
