,Subsystem,p-Value,recall,target_lenght
9,S_Transport__Inner_Membrane,6.12204034896357e-32,0.3643410852713178,0.3643410852713178
1,S_Transport__ABC_system,1.7012331018650696e-26,0.2929936305732484,0.2929936305732484
2,S_Transport__Outer_Membrane,1.7649353575663264e-09,0.3611111111111111,0.3611111111111111
26,Unassigned,1.879590846695373e-09,0.3,0.3
8,S_Fatty_Acid_Metabolism,1.705198217638682e-08,0.43478260869565216,0.43478260869565216
75,S_Xenobiotic_tolerance,8.855182356491607e-08,0.6363636363636364,0.6363636363636364
44,S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway,1.6058032942246195e-07,0.35714285714285715,0.35714285714285715
34,S_Sulfur_Metabolism,1.0675982867611977e-06,0.4,0.4
84,Murein Recycling,3.794092459956665e-06,1.0,1.0
23,S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,1.802639888103641e-05,0.5555555555555556,0.5555555555555556
24,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,2.5664498204803123e-05,0.27586206896551724,0.27586206896551724
10,S_Glycerophospholipid_Metabolism,2.5664498204803123e-05,0.27586206896551724,0.27586206896551724
39,S_Heavy_Metal_Tolerance,3.001292965711268e-05,0.3181818181818182,0.3181818181818182
21,S_Alginate_biosynthesis,4.1525364239024094e-05,0.30434782608695654,0.30434782608695654
3,S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism,5.3003871009635504e-05,0.6666666666666666,0.6666666666666666
37,S_tRNA_Charging,9.935965203299371e-05,0.2692307692307692,0.2692307692307692
46,S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,0.0012483180728184461,0.16326530612244897,0.16326530612244897
28,S_Purine_Metabolism,0.002378426685822285,0.14814814814814814,0.14814814814814814
54,S_Methionine_Metabolism,0.002666642299036084,0.2857142857142857,0.2857142857142857
71,S_Butanoate_Metabolism,0.005948868797913287,0.3333333333333333,0.3333333333333333
40,S_Pyrimidine_Metabolism,0.009487251038297423,0.16666666666666666,0.16666666666666666
18,S_Cell_Envelope_Biosynthesis,0.010465998237529682,0.2,0.2
83,S_Alternate_Carbon__Ribose_Metabolism,0.01795753032414037,0.4,0.4
85,S_Alternate_Carbon__Levulinate_Metabolism,0.01795753032414037,0.4,0.4
66,S_Cofactor_and_Prosthetic_Group_Biosynthesis,0.01795753032414037,0.4,0.4
65,S_Starch_and_Sucrose_Metabolism,0.021872177409162908,0.21428571428571427,0.21428571428571427
0,S_Fatty_Acid__Biosynthesis,0.0229815486855328,0.16,0.16
48,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Queuosine_biosynthesis,0.03555620341520734,0.2857142857142857,0.2857142857142857
43,S_Aromatic_Compounds_Degradation__Toluene_Pathway,0.04439252336448598,1.0,1.0
52,S_Aromatic_Compounds_Degradation__Phenylacetyl_CoA_Catabolom,0.05638806671755156,0.15,0.15
16,S_Alternate_Carbon,0.05749694876338422,0.2222222222222222,0.2222222222222222
53,S_Cysteine_Metabolism,0.05749694876338422,0.2222222222222222,0.2222222222222222
80,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Vitamin_B6_Metabolism,0.05749694876338422,0.2222222222222222,0.2222222222222222
14,S_PHAs_Metabolism,0.08289919561272333,0.18181818181818182,0.18181818181818182
67,S_Glyoxylate_and_dicarboxylate_metabolism,0.09665617942982004,0.16666666666666666,0.16666666666666666
76,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,0.11100153830799638,0.15384615384615385,0.15384615384615385
57,S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,0.12585643179113537,0.14285714285714285,0.14285714285714285
7,S_Alternate_Carbon_and_Nitrogen_source__Hydroxy_proline_metabolism,0.12737482993186547,0.3333333333333333,0.3333333333333333
73,S_Plant_growth_promoting,0.16613376124041238,0.25,0.25
82,S_Inorganic_polyphosphates_metabolism,0.16613376124041238,0.25,0.25
79,S_Nucleotide_Salvage_Pathway,0.16613376124041238,0.25,0.25
20,S_Alternate_Carbon__Propanoate_Metabolism,0.23858258218490375,0.16666666666666666,0.16666666666666666
30,S_Glycine__Serine_and_threonine_metabolism,0.2720733576771561,0.08695652173913043,0.08695652173913043
4,S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,0.2724203119798532,0.14285714285714285,0.14285714285714285
29,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,0.2888002500627756,0.08333333333333333,0.08333333333333333
68,S_Pyruvate_Metabolism,0.36520714511877683,0.1,0.1
27,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Thiamine_Metabolism,0.36520714511877683,0.1,0.1
22,S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism,0.44620281361248476,0.07692307692307693,0.07692307692307693
62,S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis,0.47084484298335777,0.07142857142857142,0.07142857142857142
13,S_Valine__Leucine__and_Isoleucine_Metabolism,0.6488364093386063,0.043478260869565216,0.043478260869565216
35,S_Iron_uptake_and_metabolism,0.6792734035735765,0.038461538461538464,0.038461538461538464
17,S_TCA_Cycle,0.7204549373357119,0.03571428571428571,0.03571428571428571
36,S_Arginine_and_Proline_Metabolism,0.7329274139394113,0.034482758620689655,0.034482758620689655
5,S_Lysine_Metabolism,0.7775140464677001,0.030303030303030304,0.030303030303030304
32,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism,0.7969433452145652,0.02857142857142857,0.02857142857142857
69,S_Cell_Envelope_Biosynthesis__Biosynthesis_of_L_glycero_D_manno_heptose__Hep_,1.0,0.0,0.0
77,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis,1.0,0.0,0.0
11,S_Glycolysis,1.0,0.0,0.0
72,S_Cofactor_and_Prosthetic_Group_Biosynthesis__FeS_clusters_metabolism,1.0,0.0,0.0
74,S_Aromatic_Compounds_Degradation__Nicotinic_acid_pathway,1.0,0.0,0.0
81,S_Phosphonate_and_phosphinate_metabolism,1.0,0.0,0.0
78,S_Nitrogen_Metabolism,1.0,0.0,0.0
