,Subsystem,p-Value,recall,target_lenght
9,Cofactor and Prosthetic Group Biosynthesis,5.763385953659002e-33,0.6484018264840182,219.0
10,Membrane Lipid Metabolism,1.5177520232084074e-14,0.8536585365853658,41.0
11,Purine and Pyrimidine Biosynthesis,2.201747288417283e-11,0.92,25.0
37,"Valine, Leucine, and Isoleucine Metabolism",1.1766267651333827e-09,1.0,16.0
29,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",4.747366319582836e-09,0.8695652173913043,23.0
32,Citric Acid Cycle,5.909369104789704e-07,0.9285714285714286,14.0
26,Histidine Metabolism,2.706404605850039e-06,1.0,10.0
5,Glycolysis/Gluconeogenesis,1.4706833413466502e-05,0.7272727272727273,22.0
18,Arginine and Proline Metabolism,7.098683165782247e-05,0.575,40.0
13,Threonine and Lysine Metabolism,0.0002640775077364997,0.6842105263157895,19.0
6,Murein Biosynthesis,0.0003192911590668898,0.7333333333333333,15.0
31,Anaplerotic Reactions,0.0007761344949745825,0.875,8.0
23,Pentose Phosphate Pathway,0.00091723746641637,0.75,12.0
0,Lipopolysaccharide Biosynthesis / Recycling,0.0012562331390722982,0.4507042253521127,71.0
20,Methionine Metabolism,0.0019342789371987253,0.6666666666666666,15.0
4,Alanine and Aspartate Metabolism,0.00265075215968973,0.7777777777777778,9.0
33,Glutamate Metabolism,0.007685759988330792,0.8333333333333334,6.0
30,Cysteine Metabolism,0.011273909612588553,0.6153846153846154,13.0
17,Folate Metabolism,0.017309002050592624,0.6666666666666666,9.0
19,Pyruvate Metabolism,0.03319731486940345,0.6,10.0
28,Oxidative Phosphorylation,0.03342999167072826,0.40384615384615385,52.0
7,Intracellular demand,0.05464987766226523,0.6666666666666666,6.0
38,Glycine and Serine Metabolism,0.06530097806325827,0.5,14.0
2,Biomass and maintenance functions,0.06837012477816501,0.75,4.0
25,Inorganic Ion Transport and Metabolism,0.08966707379829851,0.3392857142857143,112.0
36,Cell Envelope Biosynthesis,0.15423501533858824,0.3208955223880597,134.0
3,Nucleotide Salvage Pathway,0.23087119629718866,0.30935251798561153,139.0
35,"Transport, Outer Membrane",0.9953913242706472,0.13043478260869565,46.0
14,Murein Recycling,0.99767292298724,0.10526315789473684,38.0
12,Unassigned,0.9978240486157159,0.07692307692307693,26.0
15,"Transport, Inner Membrane",0.999999999970694,0.13855421686746988,332.0
24,Alternate Carbon Metabolism,0.9999999999925624,0.09230769230769231,195.0
21,Glycerophospholipid Metabolism,0.9999999999999214,0.0975609756097561,246.0
27,tRNA Charging,1.0,0.0,22.0
1,Methylglyoxal Metabolism,1.0,0.0,9.0
34,"Transport, Outer Membrane Porin",1.0,0.07777777777777778,270.0
22,Extracellular exchange,1.0,0.08641975308641975,324.0
16,Nitrogen Metabolism,1.0,0.0,13.0
8,Glyoxylate Metabolism,1.0,0.0,4.0
