,Subsystem,p-Value,recall,target_lenght
7,Cofactor and Prosthetic Group Biosynthesis,5.907468923776321e-86,0.7430167597765364,0.7430167597765364
17,Lipopolysaccharide Biosynthesis / Recycling,1.4183175220266895e-18,0.625,0.625
13,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",2.6165398633485667e-18,0.9166666666666666,0.9166666666666666
22,Purine and Pyrimidine Biosynthesis,1.4644745255798185e-16,0.9090909090909091,0.9090909090909091
8,Cell Envelope Biosynthesis,2.072393452887402e-15,0.5849056603773585,0.5849056603773585
20,Inorganic Ion Transport and Metabolism,8.440042364640312e-13,0.4444444444444444,0.4444444444444444
15,"Valine, Leucine, and Isoleucine Metabolism",3.0919416139324922e-12,0.9333333333333333,0.9333333333333333
28,Oxidative Phosphorylation,9.522048118395283e-12,0.3939393939393939,0.3939393939393939
26,Threonine and Lysine Metabolism,1.0527423432479402e-11,0.8,0.8
36,Murein Biosynthesis,9.79891197250053e-10,1.0,1.0
31,Glycolysis/Gluconeogenesis,8.767145489627048e-09,0.5454545454545454,0.5454545454545454
10,Arginine and Proline Metabolism,1.0672072384055237e-07,0.4634146341463415,0.4634146341463415
2,"Transport, Outer Membrane Porin",5.027819374079906e-07,1.0,1.0
27,Histidine Metabolism,5.033052236287732e-07,0.8888888888888888,0.8888888888888888
30,Pentose Phosphate Pathway,1.6158466485215024e-06,0.6666666666666666,0.6666666666666666
29,Glycine and Serine Metabolism,1.6158466485215024e-06,0.6666666666666666,0.6666666666666666
5,Glycerophospholipid Metabolism,9.573263057278156e-06,0.5,0.5
25,Cysteine Metabolism,1.6317433855751092e-05,0.48,0.48
21,Methionine Metabolism,1.9293299283459384e-05,0.6,0.6
11,Membrane Lipid Metabolism,1.9293299283459384e-05,0.6,0.6
23,Alanine and Aspartate Metabolism,1.94670101575434e-05,0.6666666666666666,0.6666666666666666
12,Pyruvate Metabolism,3.832657348990897e-05,0.38461538461538464,0.38461538461538464
19,Citric Acid Cycle,0.0001510930972196829,0.45454545454545453,0.45454545454545453
4,Nucleotide Salvage Pathway,0.00039194216102757945,0.2727272727272727,0.2727272727272727
0,Biomass and maintenance functions,0.015994530781557863,1.0,1.0
32,Folate Metabolism,0.028470947286565063,0.4,0.4
33,Glutamate Metabolism,0.040367765628204606,0.36363636363636365,0.36363636363636365
18,Unassigned,0.05723805733089119,0.23529411764705882,0.23529411764705882
3,"Transport, Outer Membrane",0.07328211064763204,0.25,0.25
34,Glyoxylate Metabolism,0.08058689579338407,0.5,0.5
6,Alternate Carbon Metabolism,0.12745180679087148,0.15730337078651685,0.15730337078651685
9,Methylglyoxal Metabolism,0.6616292170790343,0.125,0.125
14,Murein Recycling,0.9805253093657135,0.034482758620689655,0.034482758620689655
1,"Transport, Inner Membrane",0.9930663913164725,0.08064516129032258,0.08064516129032258
35,Anaplerotic Reactions,1.0,0.0,0.0
16,Nitrogen Metabolism,1.0,0.0,0.0
24,tRNA Charging,1.0,0.0,0.0
