,Subsystem,p-Value,recall,target_lenght
6,Alternate Carbon Metabolism,2.561573985774738e-39,0.29775280898876405,0.29775280898876405
14,Murein Recycling,1.3035952686500512e-08,0.3448275862068966,0.3448275862068966
1,"Transport, Inner Membrane",7.942812225577476e-08,0.10483870967741936,0.10483870967741936
25,Cysteine Metabolism,1.0727143554072532e-05,0.28,0.28
26,Threonine and Lysine Metabolism,3.07275322188232e-05,0.3,0.3
4,Nucleotide Salvage Pathway,3.524284342703786e-05,0.14285714285714285,0.14285714285714285
36,Murein Biosynthesis,0.00020456879825596399,0.4,0.4
7,Cofactor and Prosthetic Group Biosynthesis,0.0056783194259447025,0.07262569832402235,0.07262569832402235
10,Arginine and Proline Metabolism,0.010503840211524847,0.12195121951219512,0.12195121951219512
2,"Transport, Outer Membrane Porin",0.020373169813527537,0.2857142857142857,0.2857142857142857
8,Cell Envelope Biosynthesis,0.029395386211882573,0.09433962264150944,0.09433962264150944
3,"Transport, Outer Membrane",0.04292022800144014,0.125,0.125
29,Glycine and Serine Metabolism,0.08581125131879859,0.13333333333333333,0.13333333333333333
11,Membrane Lipid Metabolism,0.08581125131879859,0.13333333333333333,0.13333333333333333
18,Unassigned,0.1002934386716716,0.08823529411764706,0.08823529411764706
12,Pyruvate Metabolism,0.13639825664310629,0.07692307692307693,0.07692307692307693
5,Glycerophospholipid Metabolism,0.18685492046928973,0.08333333333333333,0.08333333333333333
9,Methylglyoxal Metabolism,0.23566890239468172,0.125,0.125
20,Inorganic Ion Transport and Metabolism,0.27809513015348486,0.04938271604938271,0.04938271604938271
32,Folate Metabolism,0.28539407425295366,0.1,0.1
16,Nitrogen Metabolism,0.41610208092202144,0.0625,0.0625
13,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",0.554174078941118,0.041666666666666664,0.041666666666666664
17,Lipopolysaccharide Biosynthesis / Recycling,0.5571995971547243,0.03571428571428571,0.03571428571428571
31,Glycolysis/Gluconeogenesis,0.6710917216469903,0.030303030303030304,0.030303030303030304
28,Oxidative Phosphorylation,0.9653680887305242,0.010101010101010102,0.010101010101010102
34,Glyoxylate Metabolism,1.0,0.0,0.0
33,Glutamate Metabolism,1.0,0.0,0.0
30,Pentose Phosphate Pathway,1.0,0.0,0.0
15,"Valine, Leucine, and Isoleucine Metabolism",1.0,0.0,0.0
24,tRNA Charging,1.0,0.0,0.0
23,Alanine and Aspartate Metabolism,1.0,0.0,0.0
22,Purine and Pyrimidine Biosynthesis,1.0,0.0,0.0
21,Methionine Metabolism,1.0,0.0,0.0
19,Citric Acid Cycle,1.0,0.0,0.0
35,Anaplerotic Reactions,1.0,0.0,0.0
27,Histidine Metabolism,1.0,0.0,0.0
0,Biomass and maintenance functions,1.0,0.0,0.0
