,Subsystem,p-Value,recall,target_lenght
23,Cofactor and Prosthetic Group Biosynthesis,8.397463223161973e-39,0.6712328767123288,219.0
8,Membrane Lipid Metabolism,5.084255703312943e-15,0.8536585365853658,41.0
33,"Valine, Leucine, and Isoleucine Metabolism",3.1492177267367335e-08,0.9375,16.0
0,Purine and Pyrimidine Biosynthesis,4.279667244102323e-08,0.8,25.0
1,Glycolysis/Gluconeogenesis,1.1544423557725463e-06,0.7727272727272727,22.0
16,Histidine Metabolism,1.952053683872642e-06,1.0,10.0
36,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",3.3218887063769964e-06,0.7391304347826086,23.0
30,Citric Acid Cycle,8.196864848622916e-05,0.7857142857142857,14.0
21,Arginine and Proline Metabolism,0.00014790123386013436,0.55,40.0
4,Threonine and Lysine Metabolism,0.00018427267641872764,0.6842105263157895,19.0
37,Alanine and Aspartate Metabolism,0.00018722209837681024,0.8888888888888888,9.0
14,Murein Biosynthesis,0.0002326837527688071,0.7333333333333333,15.0
32,Lipopolysaccharide Biosynthesis / Recycling,0.0006821671796114141,0.4507042253521127,71.0
5,Methionine Metabolism,0.0014713118150387272,0.6666666666666666,15.0
25,Folate Metabolism,0.0021532926240703104,0.7777777777777778,9.0
27,Pyruvate Metabolism,0.005511041664842891,0.7,10.0
11,Glutamate Metabolism,0.006594283234769896,0.8333333333333334,6.0
24,Cysteine Metabolism,0.009140324161457125,0.6153846153846154,13.0
9,Pentose Phosphate Pathway,0.021543703804091367,0.5833333333333334,12.0
2,Intracellular demand,0.04885219042860819,0.6666666666666666,6.0
22,Biomass and maintenance functions,0.06254034249946534,0.75,4.0
19,Glyoxylate Metabolism,0.06254034249946534,0.75,4.0
35,Inorganic Ion Transport and Metabolism,0.08771473444339305,0.33035714285714285,112.0
20,Anaplerotic Reactions,0.1427375590985582,0.5,8.0
6,Glycine and Serine Metabolism,0.14922307566009316,0.42857142857142855,14.0
18,Oxidative Phosphorylation,0.2153360309004692,0.3269230769230769,52.0
12,Cell Envelope Biosynthesis,0.38946713196523525,0.2835820895522388,134.0
26,Methylglyoxal Metabolism,0.9413169371446535,0.1111111111111111,9.0
38,Unassigned,0.9484946333251995,0.15384615384615385,26.0
31,Nucleotide Salvage Pathway,0.9778837989023396,0.2014388489208633,139.0
17,"Transport, Outer Membrane",0.9813653221880897,0.15217391304347827,46.0
7,Murein Recycling,0.9967105411220736,0.10526315789473684,38.0
10,Glycerophospholipid Metabolism,0.9999109213769797,0.17479674796747968,246.0
13,Alternate Carbon Metabolism,0.9999999750877148,0.11794871794871795,195.0
29,"Transport, Outer Membrane Porin",1.0,0.07777777777777778,270.0
15,"Transport, Inner Membrane",1.0,0.0783132530120482,332.0
34,tRNA Charging,1.0,0.0,22.0
3,Nitrogen Metabolism,1.0,0.0,13.0
28,Extracellular exchange,1.0,0.08024691358024691,324.0
