,Subsystem,p-Value,recall,target_lenght
7,Cofactor and Prosthetic Group Biosynthesis,8.904151204205073e-87,0.7318435754189944,0.7318435754189944
17,Lipopolysaccharide Biosynthesis / Recycling,2.0545618777641074e-19,0.625,0.625
13,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",7.23413567811364e-19,0.9166666666666666,0.9166666666666666
8,Cell Envelope Biosynthesis,3.382542820741362e-17,0.6037735849056604,0.6037735849056604
22,Purine and Pyrimidine Biosynthesis,2.3486159887848476e-15,0.8636363636363636,0.8636363636363636
11,Membrane Lipid Metabolism,1.1941003264533391e-14,1.0,1.0
28,Oxidative Phosphorylation,2.765480120399624e-13,0.40404040404040403,0.40404040404040403
15,"Valine, Leucine, and Isoleucine Metabolism",1.3701385524942824e-12,0.9333333333333333,0.9333333333333333
36,Murein Biosynthesis,5.462250508621451e-10,1.0,1.0
26,Threonine and Lysine Metabolism,1.9922039432192815e-09,0.7,0.7
31,Glycolysis/Gluconeogenesis,2.275393660029495e-07,0.48484848484848486,0.48484848484848486
10,Arginine and Proline Metabolism,2.628431488930557e-07,0.43902439024390244,0.43902439024390244
27,Histidine Metabolism,3.178866149646171e-07,0.8888888888888888,0.8888888888888888
2,"Transport, Outer Membrane Porin",3.3437664418636563e-07,1.0,1.0
5,Glycerophospholipid Metabolism,5.17881767084905e-06,0.5,0.5
25,Cysteine Metabolism,8.891611554617416e-06,0.48,0.48
21,Methionine Metabolism,1.1908926735191613e-05,0.6,0.6
20,Inorganic Ion Transport and Metabolism,4.2803785908324594e-05,0.2839506172839506,0.2839506172839506
19,Citric Acid Cycle,0.0005453880452223584,0.4090909090909091,0.4090909090909091
30,Pentose Phosphate Pathway,0.0009048711842762941,0.4666666666666667,0.4666666666666667
23,Alanine and Aspartate Metabolism,0.001382314705929559,0.5,0.5
4,Nucleotide Salvage Pathway,0.0033950673765934546,0.23376623376623376,0.23376623376623376
32,Folate Metabolism,0.0035936314771199884,0.5,0.5
29,Glycine and Serine Metabolism,0.005464338269936108,0.4,0.4
0,Biomass and maintenance functions,0.01424309480147854,1.0,1.0
33,Glutamate Metabolism,0.03339871503583611,0.36363636363636365,0.36363636363636365
12,Pyruvate Metabolism,0.03659305487845848,0.23076923076923078,0.23076923076923078
18,Unassigned,0.04278104152009169,0.23529411764705882,0.23529411764705882
3,"Transport, Outer Membrane",0.05805888809825421,0.25,0.25
35,Anaplerotic Reactions,0.3396192185348787,0.2,0.2
6,Alternate Carbon Metabolism,0.560798908234782,0.11797752808988764,0.11797752808988764
1,"Transport, Inner Membrane",0.9716743343330801,0.0846774193548387,0.0846774193548387
14,Murein Recycling,0.9753298121899994,0.034482758620689655,0.034482758620689655
16,Nitrogen Metabolism,1.0,0.0,0.0
9,Methylglyoxal Metabolism,1.0,0.0,0.0
34,Glyoxylate Metabolism,1.0,0.0,0.0
24,tRNA Charging,1.0,0.0,0.0
