,Subsystem,p-Value,recall,target_lenght
6,Alternate Carbon Metabolism,3.81816432501725e-20,0.17415730337078653,0.17415730337078653
1,"Transport, Inner Membrane",6.842534163948589e-15,0.12096774193548387,0.12096774193548387
14,Murein Recycling,1.7087794535391404e-07,0.27586206896551724,0.27586206896551724
2,"Transport, Outer Membrane Porin",8.786300468865919e-06,0.5714285714285714,0.5714285714285714
9,Methylglyoxal Metabolism,1.7262351605423865e-05,0.5,0.5
25,Cysteine Metabolism,0.0023082157159213645,0.16,0.16
10,Arginine and Proline Metabolism,0.013958426348834891,0.0975609756097561,0.0975609756097561
3,"Transport, Outer Membrane",0.016887373525076244,0.125,0.125
5,Glycerophospholipid Metabolism,0.10450880952545631,0.08333333333333333,0.08333333333333333
28,Oxidative Phosphorylation,0.19316100117598878,0.04040404040404041,0.04040404040404041
7,Cofactor and Prosthetic Group Biosynthesis,0.22953328085925276,0.0335195530726257,0.0335195530726257
20,Inorganic Ion Transport and Metabolism,0.2862001462367367,0.037037037037037035,0.037037037037037035
8,Cell Envelope Biosynthesis,0.34626816654733983,0.03773584905660377,0.03773584905660377
4,Nucleotide Salvage Pathway,0.53411488946089,0.025974025974025976,0.025974025974025976
27,Histidine Metabolism,1.0,0.0,0.0
26,Threonine and Lysine Metabolism,1.0,0.0,0.0
0,Biomass and maintenance functions,1.0,0.0,0.0
34,Glyoxylate Metabolism,1.0,0.0,0.0
30,Pentose Phosphate Pathway,1.0,0.0,0.0
31,Glycolysis/Gluconeogenesis,1.0,0.0,0.0
32,Folate Metabolism,1.0,0.0,0.0
33,Glutamate Metabolism,1.0,0.0,0.0
29,Glycine and Serine Metabolism,1.0,0.0,0.0
24,tRNA Charging,1.0,0.0,0.0
18,Unassigned,1.0,0.0,0.0
22,Purine and Pyrimidine Biosynthesis,1.0,0.0,0.0
21,Methionine Metabolism,1.0,0.0,0.0
19,Citric Acid Cycle,1.0,0.0,0.0
35,Anaplerotic Reactions,1.0,0.0,0.0
17,Lipopolysaccharide Biosynthesis / Recycling,1.0,0.0,0.0
16,Nitrogen Metabolism,1.0,0.0,0.0
15,"Valine, Leucine, and Isoleucine Metabolism",1.0,0.0,0.0
13,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",1.0,0.0,0.0
12,Pyruvate Metabolism,1.0,0.0,0.0
11,Membrane Lipid Metabolism,1.0,0.0,0.0
23,Alanine and Aspartate Metabolism,1.0,0.0,0.0
36,Murein Biosynthesis,1.0,0.0,0.0
