,Subsystem,p-Value,recall,target_lenght
15,Cofactor and Prosthetic Group Biosynthesis,4.2261759665817283e-38,0.6621004566210046,219.0
28,Purine and Pyrimidine Biosynthesis,3.0828205748882483e-07,0.76,25.0
10,Cell Envelope Biosynthesis,2.306014195389045e-06,0.44776119402985076,134.0
17,Threonine and Lysine Metabolism,2.598917283153909e-06,0.7894736842105263,19.0
33,"Valine, Leucine, and Isoleucine Metabolism",7.307927213942987e-06,0.8125,16.0
1,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",1.8441370576504475e-05,0.6956521739130435,23.0
20,Histidine Metabolism,4.8267959784811026e-05,0.9,10.0
34,Alanine and Aspartate Metabolism,0.00016556341269699472,0.8888888888888888,9.0
6,Murein Biosynthesis,0.0001991268410704697,0.7333333333333333,15.0
11,Arginine and Proline Metabolism,0.00038813480434320824,0.525,40.0
21,Lipopolysaccharide Biosynthesis / Recycling,0.0005021697818623123,0.4507042253521127,71.0
29,Membrane Lipid Metabolism,0.0017690971987534734,0.4878048780487805,41.0
19,Citric Acid Cycle,0.0033099971488224733,0.6428571428571429,14.0
18,Glycolysis/Gluconeogenesis,0.004763538145314689,0.5454545454545454,22.0
31,Anaplerotic Reactions,0.005799271230811579,0.75,8.0
3,Folate Metabolism,0.013509473367235616,0.6666666666666666,9.0
16,Methionine Metabolism,0.02449454196131161,0.5333333333333333,15.0
7,Pyruvate Metabolism,0.02627444089030128,0.6,10.0
38,Intracellular demand,0.04622779287957895,0.6666666666666666,6.0
0,Glyoxylate Metabolism,0.059860515859148256,0.75,4.0
35,Biomass and maintenance functions,0.059860515859148256,0.75,4.0
26,Pentose Phosphate Pathway,0.0703882383336765,0.5,12.0
37,Glycine and Serine Metabolism,0.1404961485219715,0.42857142857142855,14.0
12,Glutamate Metabolism,0.19461383564973328,0.5,6.0
36,Inorganic Ion Transport and Metabolism,0.20428180631326032,0.30357142857142855,112.0
9,Methylglyoxal Metabolism,0.736028845816164,0.2222222222222222,9.0
8,Nucleotide Salvage Pathway,0.8074557430474731,0.23741007194244604,139.0
5,Cysteine Metabolism,0.8974984684865974,0.15384615384615385,13.0
14,Oxidative Phosphorylation,0.9821108184056285,0.15384615384615385,52.0
4,Murein Recycling,0.9961291440088788,0.10526315789473684,38.0
30,Unassigned,0.9996876794858669,0.038461538461538464,26.0
13,"Transport, Outer Membrane",0.9999893887256988,0.043478260869565216,46.0
23,Alternate Carbon Metabolism,0.9999998496145889,0.12307692307692308,195.0
2,Extracellular exchange,0.9999999899637236,0.14506172839506173,324.0
32,Glycerophospholipid Metabolism,0.9999999923327552,0.12601626016260162,246.0
22,"Transport, Inner Membrane",0.9999999999999826,0.10843373493975904,332.0
24,"Transport, Outer Membrane Porin",1.0,0.07777777777777778,270.0
25,Nitrogen Metabolism,1.0,0.0,13.0
27,tRNA Charging,1.0,0.0,22.0
