,Subsystem,p-Value,recall,target_lenght
24,"Transport, Outer Membrane Porin",1.457298358264099e-59,0.7851851851851852,270.0
23,Alternate Carbon Metabolism,8.105459508807385e-16,0.6,195.0
22,"Transport, Inner Membrane",5.047189677398478e-09,0.47289156626506024,332.0
4,Murein Recycling,1.5355140055648122e-06,0.7105263157894737,38.0
25,Nitrogen Metabolism,1.4490558113086613e-05,0.9230769230769231,13.0
14,Oxidative Phosphorylation,0.0014092859722696523,0.5384615384615384,52.0
21,Lipopolysaccharide Biosynthesis / Recycling,0.011566433241336011,0.4647887323943662,71.0
13,"Transport, Outer Membrane",0.025133210739637382,0.4782608695652174,46.0
27,tRNA Charging,0.029851382742311416,0.5454545454545454,22.0
30,Unassigned,0.3438203109439735,0.38461538461538464,26.0
9,Methylglyoxal Metabolism,0.8529885601797831,0.2222222222222222,9.0
37,Glycine and Serine Metabolism,0.8908946661354636,0.21428571428571427,14.0
12,Glutamate Metabolism,0.9099913074766109,0.16666666666666666,6.0
16,Methionine Metabolism,0.9175711633542498,0.2,15.0
8,Nucleotide Salvage Pathway,0.9421884030140735,0.2733812949640288,139.0
5,Cysteine Metabolism,0.9599212782103959,0.15384615384615385,13.0
19,Citric Acid Cycle,0.9714257135562179,0.14285714285714285,14.0
3,Folate Metabolism,0.9730658900552811,0.1111111111111111,9.0
17,Threonine and Lysine Metabolism,0.9748093662017558,0.15789473684210525,19.0
32,Glycerophospholipid Metabolism,0.9760967583094394,0.2764227642276423,246.0
7,Pyruvate Metabolism,0.9819916071426336,0.1,10.0
36,Inorganic Ion Transport and Metabolism,0.9861719936758264,0.24107142857142858,112.0
18,Glycolysis/Gluconeogenesis,0.9901707089275604,0.13636363636363635,22.0
6,Murein Biosynthesis,0.9976007253611597,0.06666666666666667,15.0
1,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",0.9988210001772466,0.08695652173913043,23.0
11,Arginine and Proline Metabolism,0.9993132291763328,0.125,40.0
10,Cell Envelope Biosynthesis,0.9998879024530622,0.19402985074626866,134.0
29,Membrane Lipid Metabolism,0.9999986502527944,0.04878048780487805,41.0
15,Cofactor and Prosthetic Group Biosynthesis,0.9999999999005964,0.1506849315068493,219.0
35,Biomass and maintenance functions,1.0,0.0,4.0
34,Alanine and Aspartate Metabolism,1.0,0.0,9.0
33,"Valine, Leucine, and Isoleucine Metabolism",1.0,0.0,16.0
0,Glyoxylate Metabolism,1.0,0.0,4.0
28,Purine and Pyrimidine Biosynthesis,1.0,0.0,25.0
26,Pentose Phosphate Pathway,1.0,0.0,12.0
20,Histidine Metabolism,1.0,0.0,10.0
2,Extracellular exchange,1.0,0.0,324.0
31,Anaplerotic Reactions,1.0,0.0,8.0
38,Intracellular demand,1.0,0.0,6.0
