,Subsystem,p-Value,recall,target_lenght
7,Cofactor and Prosthetic Group Biosynthesis,2.8709727580288987e-75,0.6201117318435754,0.6201117318435754
17,Lipopolysaccharide Biosynthesis / Recycling,1.5951260885150932e-23,0.625,0.625
8,Cell Envelope Biosynthesis,2.0539723068728115e-17,0.5471698113207547,0.5471698113207547
13,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",2.7309794727401755e-16,0.7916666666666666,0.7916666666666666
36,Murein Biosynthesis,3.298492483548658e-11,1.0,1.0
26,Threonine and Lysine Metabolism,9.653093789706397e-10,0.65,0.65
27,Histidine Metabolism,3.4804493346969445e-08,0.8888888888888888,0.8888888888888888
2,"Transport, Outer Membrane Porin",4.719220506461774e-08,1.0,1.0
20,Inorganic Ion Transport and Metabolism,3.5958320059312e-07,0.2839506172839506,0.2839506172839506
15,"Valine, Leucine, and Isoleucine Metabolism",1.13411651959882e-06,0.6,0.6
11,Membrane Lipid Metabolism,1.13411651959882e-06,0.6,0.6
12,Pyruvate Metabolism,3.569185337912168e-06,0.358974358974359,0.358974358974359
5,Glycerophospholipid Metabolism,2.01327300622784e-05,0.4166666666666667,0.4166666666666667
23,Alanine and Aspartate Metabolism,0.0003040239730826349,0.5,0.5
31,Glycolysis/Gluconeogenesis,0.0004512027281301498,0.30303030303030304,0.30303030303030304
30,Pentose Phosphate Pathway,0.0013009111826716405,0.4,0.4
29,Glycine and Serine Metabolism,0.008262044210528667,0.3333333333333333,0.3333333333333333
21,Methionine Metabolism,0.008262044210528667,0.3333333333333333,0.3333333333333333
19,Citric Acid Cycle,0.011246036404050249,0.2727272727272727,0.2727272727272727
33,Glutamate Metabolism,0.013015955553626838,0.36363636363636365,0.36363636363636365
3,"Transport, Outer Membrane",0.017386899876726217,0.25,0.25
4,Nucleotide Salvage Pathway,0.019314028172711037,0.16883116883116883,0.16883116883116883
32,Folate Metabolism,0.05454783121400872,0.3,0.3
10,Arginine and Proline Metabolism,0.07200894539141516,0.17073170731707318,0.17073170731707318
6,Alternate Carbon Metabolism,0.18050957305051135,0.11235955056179775,0.11235955056179775
22,Purine and Pyrimidine Biosynthesis,0.32034890418637973,0.13636363636363635,0.13636363636363635
18,Unassigned,0.3704914378672666,0.11764705882352941,0.11764705882352941
1,"Transport, Inner Membrane",0.39434741045621385,0.0967741935483871,0.0967741935483871
28,Oxidative Phosphorylation,0.40636182092067147,0.10101010101010101,0.10101010101010101
25,Cysteine Metabolism,0.9072641022425586,0.04,0.04
14,Murein Recycling,0.9366994824028585,0.034482758620689655,0.034482758620689655
24,tRNA Charging,1.0,0.0,0.0
35,Anaplerotic Reactions,1.0,0.0,0.0
16,Nitrogen Metabolism,1.0,0.0,0.0
9,Methylglyoxal Metabolism,1.0,0.0,0.0
34,Glyoxylate Metabolism,1.0,0.0,0.0
0,Biomass and maintenance functions,1.0,0.0,0.0
