,Subsystem,p-Value,recall,target_lenght
17,Cofactor and Prosthetic Group Biosynthesis,5.524440963546479e-40,0.6940639269406392,219.0
25,Membrane Lipid Metabolism,2.6444527971425225e-14,0.8536585365853658,41.0
0,Purine and Pyrimidine Biosynthesis,3.199906352846833e-11,0.92,25.0
30,"Valine, Leucine, and Isoleucine Metabolism",6.50273489263794e-08,0.9375,16.0
6,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",8.642674502788438e-08,0.8260869565217391,23.0
2,Histidine Metabolism,3.1961522905637597e-06,1.0,10.0
1,Alanine and Aspartate Metabolism,1.1378832636114961e-05,1.0,9.0
37,Glycolysis/Gluconeogenesis,1.8543840985764397e-05,0.7272727272727273,22.0
38,Arginine and Proline Metabolism,2.4947608116763973e-05,0.6,40.0
3,Pentose Phosphate Pathway,0.00011715055747218098,0.8333333333333334,12.0
35,Citric Acid Cycle,0.00013421504567342669,0.7857142857142857,14.0
4,Threonine and Lysine Metabolism,0.0003168068471862367,0.6842105263157895,19.0
27,Murein Biosynthesis,0.0003748206339453732,0.7333333333333333,15.0
10,Lipopolysaccharide Biosynthesis / Recycling,0.0017010225879095526,0.4507042253521127,71.0
36,Methionine Metabolism,0.0022213518868745355,0.6666666666666666,15.0
7,Cysteine Metabolism,0.012534120448909043,0.6153846153846154,13.0
18,Oxidative Phosphorylation,0.020371419463629175,0.4230769230769231,52.0
23,Pyruvate Metabolism,0.035929296441524816,0.6,10.0
11,Anaplerotic Reactions,0.045739210170811354,0.625,8.0
13,Intracellular demand,0.05784426907355551,0.6666666666666666,6.0
8,Glycine and Serine Metabolism,0.07074849726363056,0.5,14.0
24,Biomass and maintenance functions,0.0715342018489301,0.75,4.0
12,Folate Metabolism,0.07937992152064287,0.5555555555555556,9.0
32,Inorganic Ion Transport and Metabolism,0.20868287913895983,0.32142857142857145,112.0
20,Cell Envelope Biosynthesis,0.45380791067883397,0.291044776119403,134.0
9,Glutamate Metabolism,0.5434307258764397,0.3333333333333333,6.0
29,Nucleotide Salvage Pathway,0.5636427617061004,0.2805755395683453,139.0
26,Glyoxylate Metabolism,0.7365315171684785,0.25,4.0
33,Methylglyoxal Metabolism,0.7732789347402826,0.2222222222222222,9.0
14,Unassigned,0.962204201922786,0.15384615384615385,26.0
5,Murein Recycling,0.9980634359497331,0.10526315789473684,38.0
22,"Transport, Outer Membrane",0.9999998124269528,0.021739130434782608,46.0
15,"Transport, Inner Membrane",0.9999999673374935,0.16566265060240964,332.0
31,Alternate Carbon Metabolism,0.9999999992958644,0.11282051282051282,195.0
21,Glycerophospholipid Metabolism,0.999999999998509,0.10975609756097561,246.0
28,"Transport, Outer Membrane Porin",1.0,0.08518518518518518,270.0
16,Extracellular exchange,1.0,0.08333333333333333,324.0
34,Nitrogen Metabolism,1.0,0.0,13.0
19,tRNA Charging,1.0,0.0,22.0
