,Subsystem,p-Value,recall,target_lenght
7,Cofactor and Prosthetic Group Biosynthesis,1.1068629802240041e-81,0.7486033519553073,0.7486033519553073
13,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",1.9041862382786718e-17,0.9166666666666666,0.9166666666666666
8,Cell Envelope Biosynthesis,2.414665920621686e-17,0.6415094339622641,0.6415094339622641
17,Lipopolysaccharide Biosynthesis / Recycling,2.7366292698349334e-17,0.625,0.625
28,Oxidative Phosphorylation,1.123501676979512e-14,0.45454545454545453,0.45454545454545453
22,Purine and Pyrimidine Biosynthesis,3.82530858897011e-14,0.8636363636363636,0.8636363636363636
11,Membrane Lipid Metabolism,1.1251665488664293e-13,1.0,1.0
20,Inorganic Ion Transport and Metabolism,4.1757727114157495e-13,0.4691358024691358,0.4691358024691358
31,Glycolysis/Gluconeogenesis,3.89026086098921e-12,0.6666666666666666,0.6666666666666666
15,"Valine, Leucine, and Isoleucine Metabolism",1.087377563367593e-11,0.9333333333333333,0.9333333333333333
36,Murein Biosynthesis,2.41975937472576e-09,1.0,1.0
27,Histidine Metabolism,1.7713987617765925e-08,1.0,1.0
30,Pentose Phosphate Pathway,2.6445333094430216e-07,0.7333333333333333,0.7333333333333333
10,Arginine and Proline Metabolism,4.5485366670878683e-07,0.4634146341463415,0.4634146341463415
2,"Transport, Outer Membrane Porin",9.450354631075019e-07,1.0,1.0
26,Threonine and Lysine Metabolism,1.941494125051336e-06,0.6,0.6
12,Pyruvate Metabolism,5.280807733804868e-06,0.4358974358974359,0.4358974358974359
19,Citric Acid Cycle,7.634329004503188e-06,0.5454545454545454,0.5454545454545454
5,Glycerophospholipid Metabolism,2.446631795360128e-05,0.5,0.5
21,Methionine Metabolism,4.0460185437294096e-05,0.6,0.6
25,Cysteine Metabolism,4.1196332458943117e-05,0.48,0.48
4,Nucleotide Salvage Pathway,0.00018337236555529988,0.2987012987012987,0.2987012987012987
23,Alanine and Aspartate Metabolism,0.0030197695678316427,0.5,0.5
32,Folate Metabolism,0.0069070672071911525,0.5,0.5
33,Glutamate Metabolism,0.011239582355612211,0.45454545454545453,0.45454545454545453
29,Glycine and Serine Metabolism,0.011325890719227556,0.4,0.4
1,"Transport, Inner Membrane",0.012823400058728514,0.18951612903225806,0.18951612903225806
0,Biomass and maintenance functions,0.019139218571877416,1.0,1.0
18,Unassigned,0.0878676680566148,0.23529411764705882,0.23529411764705882
34,Glyoxylate Metabolism,0.09479229974070116,0.5,0.5
3,"Transport, Outer Membrane",0.1035647314226722,0.25,0.25
6,Alternate Carbon Metabolism,0.25848551293202554,0.15730337078651685,0.15730337078651685
35,Anaplerotic Reactions,0.4126856152311983,0.2,0.2
14,Murein Recycling,0.7865895900396025,0.10344827586206896,0.10344827586206896
16,Nitrogen Metabolism,1.0,0.0,0.0
9,Methylglyoxal Metabolism,1.0,0.0,0.0
24,tRNA Charging,1.0,0.0,0.0
