,Subsystem,p-Value,recall,target_lenght
8,Alternate Carbon Metabolism,8.108524031865546e-33,0.3333333333333333,0.3333333333333333
32,"Transport, Inner Membrane",1.5306373522729143e-27,0.27181208053691275,0.27181208053691275
34,Murein Recycling,1.7261891713189707e-16,0.575,0.575
5,Cofactor and Prosthetic Group Biosynthesis,1.1499286471015352e-05,0.16847826086956522,0.16847826086956522
7,Cysteine Metabolism,1.3098456017564512e-05,0.37037037037037035,0.37037037037037035
15,Lipopolysaccharide Biosynthesis / Recycling,1.850277322112578e-05,0.2542372881355932,0.2542372881355932
31,"Transport, Outer Membrane Porin",0.00010695530381944429,0.625,0.625
3,Arginine and Proline Metabolism,0.00014592665118383306,0.2682926829268293,0.2682926829268293
26,Nitrogen Metabolism,0.00028703778799510994,0.3684210526315789,0.3684210526315789
0,Nucleotide Salvage Pathway,0.0008269044276884448,0.17346938775510204,0.17346938775510204
24,Cell Envelope Biosynthesis,0.0009907675005027372,0.20689655172413793,0.20689655172413793
14,Oxidative Phosphorylation,0.001471009372765997,0.1650485436893204,0.1650485436893204
36,Murein Biosynthesis,0.0019974514545680454,0.3157894736842105,0.3157894736842105
30,Glycerophospholipid Metabolism,0.007198233020382817,0.25,0.25
17,Unassigned,0.04891111458888725,0.16666666666666666,0.16666666666666666
28,Inorganic Ion Transport and Metabolism,0.05118544230431722,0.12941176470588237,0.12941176470588237
11,Glycolysis/Gluconeogenesis,0.12870961676128656,0.1388888888888889,0.1388888888888889
16,Membrane Lipid Metabolism,0.13026406402605958,0.17647058823529413,0.17647058823529413
33,"Transport, Outer Membrane",0.1398294661905582,0.14814814814814814,0.14814814814814814
22,Glycine and Serine Metabolism,0.4749799380200467,0.09523809523809523,0.09523809523809523
18,Methylglyoxal Metabolism,0.542021497351168,0.1,0.1
9,Anaplerotic Reactions,0.542021497351168,0.1,0.1
12,"Valine, Leucine, and Isoleucine Metabolism",0.7136159031263287,0.0625,0.0625
25,Methionine Metabolism,0.7906612996139297,0.05,0.05
1,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",0.8470269325520725,0.041666666666666664,0.041666666666666664
2,Purine and Pyrimidine Biosynthesis,0.858572069717954,0.04,0.04
20,Threonine and Lysine Metabolism,0.8692484256589779,0.038461538461538464,0.038461538461538464
21,Folate Metabolism,1.0,0.0,0.0
35,Biomass and maintenance functions,1.0,0.0,0.0
4,Citric Acid Cycle,1.0,0.0,0.0
6,Pyruvate Metabolism,1.0,0.0,0.0
29,Glutamate Metabolism,1.0,0.0,0.0
27,Histidine Metabolism,1.0,0.0,0.0
13,Pentose Phosphate Pathway,1.0,0.0,0.0
23,Glyoxylate Metabolism,1.0,0.0,0.0
19,tRNA Charging,1.0,0.0,0.0
10,Alanine and Aspartate Metabolism,1.0,0.0,0.0
37,Metabolite Repair,1.0,0.0,0.0
