,Subsystem,p-Value,recall,target_lenght
7,Cofactor and Prosthetic Group Biosynthesis,4.122243193968733e-60,0.6145251396648045,0.6145251396648045
13,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",5.794126088869903e-19,0.9166666666666666,0.9166666666666666
28,Oxidative Phosphorylation,2.3369366520804755e-17,0.45454545454545453,0.45454545454545453
22,Purine and Pyrimidine Biosynthesis,1.9431856017792753e-15,0.8636363636363636,0.8636363636363636
20,Inorganic Ion Transport and Metabolism,2.2205913135023206e-15,0.4691358024691358,0.4691358024691358
11,Membrane Lipid Metabolism,1.0257298442576308e-14,1.0,1.0
15,"Valine, Leucine, and Isoleucine Metabolism",1.1905883661270547e-12,0.9333333333333333,0.9333333333333333
8,Cell Envelope Biosynthesis,2.405122794709211e-12,0.5094339622641509,0.5094339622641509
31,Glycolysis/Gluconeogenesis,2.888844035981517e-09,0.5454545454545454,0.5454545454545454
27,Histidine Metabolism,4.243627723918928e-09,1.0,1.0
30,Pentose Phosphate Pathway,4.997699550957361e-08,0.7333333333333333,0.7333333333333333
2,"Transport, Outer Membrane Porin",3.1166052881892753e-07,1.0,1.0
26,Threonine and Lysine Metabolism,3.399333062359509e-07,0.6,0.6
12,Pyruvate Metabolism,5.5861263671301e-07,0.4358974358974359,0.4358974358974359
19,Citric Acid Cycle,1.3935640771791556e-06,0.5454545454545454,0.5454545454545454
25,Cysteine Metabolism,8.002491332883539e-06,0.48,0.48
21,Methionine Metabolism,1.0954901006085278e-05,0.6,0.6
4,Nucleotide Salvage Pathway,1.469552530112093e-05,0.2987012987012987,0.2987012987012987
10,Arginine and Proline Metabolism,3.382013237767525e-05,0.36585365853658536,0.36585365853658536
17,Lipopolysaccharide Biosynthesis / Recycling,0.00015504676062662513,0.30357142857142855,0.30357142857142855
36,Murein Biosynthesis,0.0003670617872519454,0.6,0.6
33,Glutamate Metabolism,0.0007272595643749946,0.5454545454545454,0.5454545454545454
23,Alanine and Aspartate Metabolism,0.0013102653950613017,0.5,0.5
32,Folate Metabolism,0.003436414447888721,0.5,0.5
5,Glycerophospholipid Metabolism,0.004739469348866338,0.3333333333333333,0.3333333333333333
29,Glycine and Serine Metabolism,0.005196489268230761,0.4,0.4
0,Biomass and maintenance functions,0.01396106002207769,1.0,1.0
18,Unassigned,0.040642750690267626,0.23529411764705882,0.23529411764705882
34,Glyoxylate Metabolism,0.0711852791571854,0.5,0.5
1,"Transport, Inner Membrane",0.19702661406991126,0.13709677419354838,0.13709677419354838
6,Alternate Carbon Metabolism,0.2039375588004793,0.1404494382022472,0.1404494382022472
35,Anaplerotic Reactions,0.334998771559204,0.2,0.2
3,"Transport, Outer Membrane",0.7950792749275943,0.08333333333333333,0.08333333333333333
16,Nitrogen Metabolism,1.0,0.0,0.0
14,Murein Recycling,1.0,0.0,0.0
9,Methylglyoxal Metabolism,1.0,0.0,0.0
24,tRNA Charging,1.0,0.0,0.0
