,Subsystem,p-Value,recall,target_lenght
77,S_PHAs_Metabolism,5.337841339444343e-19,0.6776315789473685,152.0
30,S_Fatty_Acid__Biosynthesis,4.3785005958439597e-16,0.7866666666666666,75.0
24,S_Histidine_Metabolism,7.092793316678232e-09,1.0,17.0
35,S_Glutamate_Metabolism,7.092793316678232e-09,1.0,17.0
84,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,3.4891143320523885e-08,0.8518518518518519,27.0
60,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,6.517128138679778e-08,1.0,15.0
48,S_Purine_Metabolism,1.2512766569856055e-07,0.6233766233766234,77.0
80,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Terpenoid_backbone_biosynthesis,1.9734297575856751e-07,1.0,14.0
6,S_Pyrimidine_Metabolism,4.6380860769107385e-07,0.68,50.0
66,S_Gluconeogenesis,1.8057035763237269e-06,1.0,12.0
69,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis,5.794670119963669e-06,0.9285714285714286,14.0
73,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Nicotinamide_Biosynthesis,1.6308321802358405e-05,0.9230769230769231,13.0
59,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis,1.6476538109730294e-05,1.0,10.0
5,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Ubiquinone_biosynthesis,1.6476538109730294e-05,1.0,10.0
25,S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,3.0149672369465777e-05,0.8666666666666667,15.0
56,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Riboflavin_Metabolism,4.97192742545946e-05,1.0,9.0
81,S_Glycolysis,0.00013893724048012673,0.7777777777777778,18.0
29,S_Inorganic_polyphosphates_metabolism,0.00045179621971568225,1.0,7.0
68,S_Cell_Envelope_Biosynthesis__LPS_Biosynthesis,0.0006739508532559449,0.7857142857142857,14.0
72,S_TCA_Cycle,0.0008484787848827935,0.7,20.0
18,S_Glyoxylate_and_dicarboxylate_metabolism,0.0013489210736111143,0.8181818181818182,11.0
87,S_Cofactor_and_Prosthetic_Group_Biosynthesis___Pyrroloquinoline_quinone_biosynthesis,0.001360512121432482,1.0,6.0
58,S_Aromatic_Compounds_Degradation__Homogentisate_pathway,0.001360512121432482,1.0,6.0
15,S_Cell_Envelope_Biosynthesis,0.0016159979542974513,0.7692307692307693,13.0
65,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Thiamine_Metabolism,0.002564871895283172,0.875,8.0
33,S_Cofactor_and_Prosthetic_Group_Biosynthesis__FeS_clusters_metabolism,0.002564871895283172,0.875,8.0
55,S_Lysine_Metabolism,0.0034568406713024144,0.5757575757575758,33.0
26,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,0.003971115706901215,0.7142857142857143,14.0
43,S_Alternate_Carbon__Ribose_Metabolism,0.0040941466723230825,1.0,5.0
31,S_Cell_Envelope_Biosynthesis__Biosynthesis_of_L_glycero_D_manno_heptose__Hep_,0.0040941466723230825,1.0,5.0
23,S_Glycine__Serine_and_threonine_metabolism,0.008378654306315802,0.6666666666666666,15.0
57,S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis,0.008378654306315802,0.6666666666666666,15.0
9,S_Butanoate_Metabolism,0.017762319426776085,0.8333333333333334,6.0
