,Subsystem,p-Value,recall,target_lenght
40,S_Alginate_biosynthesis,6.747316583627042e-23,1.0,40.0
20,S_Transport__ABC_system,1.8639385297990474e-16,0.6131386861313869,137.0
7,S_Fatty_Acid_Metabolism,1.8252717545626145e-12,0.5047619047619047,210.0
42,S_Transport__solvent_extrusion,1.0327777150940076e-11,0.9230769230769231,26.0
44,S_tRNA_Charging,3.7309295754351786e-10,0.9130434782608695,23.0
74,S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism,2.191307180270402e-09,0.875,24.0
0,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Queuosine_biosynthesis,7.276753373861316e-08,1.0,13.0
71,S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,1.1616431144909901e-05,1.0,9.0
47,S_Aromatic_Compounds_Degradation__Phenylacetyl_CoA_Catabolom,3.960534306778863e-05,0.8461538461538461,13.0
64,S_Alternate_Carbon__Levulinate_Metabolism,4.120092650302793e-05,1.0,8.0
82,S_Xenobiotic_tolerance,0.0003563870387596317,0.8181818181818182,11.0
10,S_Glycerophospholipid_Metabolism,0.0005046827841488459,0.4064516129032258,155.0
46,Aliphatic open-chain ketones metabolism,0.0018286912832574244,1.0,5.0
89,S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,0.002263064186681181,0.6666666666666666,15.0
70,Unassigned,0.002327837795535085,0.5,42.0
86,S_Alternate_Carbon,0.002595960712459436,0.6923076923076923,13.0
83,S_Nitrogen_Metabolism,0.0064634396867732195,1.0,4.0
4,S_Aromatic_Compounds_Degradation__Gallic_acid_Metabolism,0.0064634396867732195,1.0,4.0
88,S_Plant_growth_promoting,0.0064634396867732195,1.0,4.0
32,S_Heavy_Metal_Tolerance,0.01949316940949539,0.46875,32.0
36,S_Alternate_Carbon_and_Nitrogen_source__Hydroxy_proline_metabolism,0.0228249971547402,1.0,3.0
38,S_Alternate_Carbon__Fructose_Metabolism,0.0228249971547402,1.0,3.0
53,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,0.03267733228157492,0.4117647058823529,51.0
1,S_Sulfur_Metabolism,0.03688559746156411,0.4782608695652174,23.0
51,S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,0.038123958066612985,0.425,40.0
19,S_Transport__Inner_Membrane,0.045714692721683,0.33640552995391704,217.0
45,S_Pyruvate_Metabolism,0.05823240559845989,0.6666666666666666,6.0
54,S_Phosphonate_and_phosphinate_metabolism,0.07190966955864113,0.75,4.0
2,Murein Recycling,0.08053451951461409,1.0,2.0
39,S_Alternate_Carbon__Butanediol_Metabolism,0.08053451951461409,1.0,2.0
63,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Vitamin_B6_Metabolism,0.1236767251614692,0.5,10.0
27,S_Methionine_Metabolism,0.1801375957633118,0.42857142857142855,14.0
14,S_Cell_Envelope_Biosynthesis__Cellulose_Metabolism,0.1959535642343619,0.6666666666666666,3.0
41,S_Nucleotide_Salvage_Pathway,0.22630864229223668,0.5,6.0
34,S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway,0.30456736051869954,0.34615384615384615,26.0
50,S_Alternate_Carbon_and_Nitrogen_source__Ectoine_Metabolism,0.3199974589100826,0.5,4.0
17,S_Transport__Outer_Membrane,0.5098403937669773,0.2847682119205298,302.0
85,S_Formaldehyde_Metabolism,0.5445688021837399,0.3333333333333333,6.0
26,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,0.5944641400611983,0.2857142857142857,14.0
12,S_Starch_and_Sucrose_Metabolism,0.6546533474457937,0.26666666666666666,15.0
57,S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis,0.6546533474457937,0.26666666666666666,15.0
76,S_Alanine_and_Aspartate_Metabolism,0.7119142160716169,0.25,8.0
61,S_Cysteine_Metabolism,0.7119142160716169,0.25,8.0
13,S_Cofactor_and_Prosthetic_Group_Biosynthesis,0.7372631865421456,0.25,4.0
15,S_Cell_Envelope_Biosynthesis,0.7608411908052111,0.23076923076923078,13.0
