,Subsystem,p-Value,recall,target_lenght
28,S_Purine_Metabolism,5.11108741029818e-25,0.7222222222222222,0.7222222222222222
29,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,4.6306310006063935e-23,1.0,1.0
35,S_Iron_uptake_and_metabolism,1.3103087868524534e-18,0.6346153846153846,0.6346153846153846
40,S_Pyrimidine_Metabolism,1.3598469192011365e-17,0.8,0.8
5,S_Lysine_Metabolism,2.8996943378264063e-17,0.7575757575757576,0.7575757575757576
59,S_Histidine_Metabolism,1.6403647338407072e-16,1.0,1.0
24,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,5.032961543050959e-14,0.7241379310344828,0.7241379310344828
76,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,8.796673472717161e-13,1.0,1.0
77,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis,8.796673472717161e-13,1.0,1.0
18,S_Cell_Envelope_Biosynthesis,4.28136059000112e-12,0.8,0.8
17,S_TCA_Cycle,5.361799813779951e-12,0.6785714285714286,0.6785714285714286
57,S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,1.0976270787502818e-11,0.9285714285714286,0.9285714285714286
10,S_Glycerophospholipid_Metabolism,1.3836009913614888e-11,0.6551724137931034,0.6551724137931034
46,S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,2.019729205010866e-11,0.5102040816326531,0.5102040816326531
55,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis,5.429478498964533e-10,0.8571428571428571,0.8571428571428571
27,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Thiamine_Metabolism,5.434501491416244e-10,1.0,1.0
51,S_Oxidative_Phosphorylation,6.62444484024043e-10,0.4791666666666667,0.4791666666666667
58,S_Formaldehyde_Metabolism,6.842163761628971e-10,0.9166666666666666,0.9166666666666666
25,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,6.842163761628971e-10,0.9166666666666666,0.9166666666666666
53,S_Cysteine_Metabolism,4.616002413580615e-09,1.0,1.0
33,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Riboflavin_Metabolism,4.616002413580615e-09,1.0,1.0
56,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Ubiquinone_biosynthesis,5.339001429197623e-09,0.9090909090909091,0.9090909090909091
49,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Terpenoid_backbone_biosynthesis,5.339001429197623e-09,0.9090909090909091,0.9090909090909091
54,S_Methionine_Metabolism,1.6531467887042156e-08,0.7857142857142857,0.7857142857142857
36,S_Arginine_and_Proline_Metabolism,2.11146073801863e-08,0.5517241379310345,0.5517241379310345
12,S_Aromatic_Compounds_Degradation__Homogentisate_pathway,3.915497619825023e-08,1.0,1.0
44,S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway,1.0022063746304368e-07,0.5357142857142857,0.5357142857142857
38,S_Alanine_and_Aspartate_Metabolism,2.0295384393303426e-07,0.8181818181818182,0.8181818181818182
71,S_Butanoate_Metabolism,3.154667664756071e-07,0.8888888888888888,0.8888888888888888
30,S_Glycine__Serine_and_threonine_metabolism,3.191595440754139e-07,0.5652173913043478,0.5652173913043478
70,S_Cell_Envelope_Biosynthesis__LPS_Biosynthesis,3.316832358745069e-07,1.0,1.0
62,S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis,3.4632836013870205e-07,0.7142857142857143,0.7142857142857143
32,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism,6.309843539712817e-07,0.45714285714285713,0.45714285714285713
9,S_Transport__Inner_Membrane,1.4819349898416112e-06,0.2713178294573643,0.2713178294573643
47,S_Glutamate_Metabolism,1.946633432583644e-06,0.5789473684210527,0.5789473684210527
61,S_Cofactor_and_Prosthetic_Group_Biosynthesis__One_Carbon_pool_by_folate,4.637068867259577e-06,0.7272727272727273,0.7272727272727273
41,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Nicotinamide_Biosynthesis,9.603081058572743e-06,0.7777777777777778,0.7777777777777778
19,S_Gluconeogenesis,1.1820559468610005e-05,0.6,0.6
63,S_Pentose_Phosphate_Pathway,1.765140435177513e-05,0.8571428571428571,0.8571428571428571
26,Unassigned,3.514922629351366e-05,0.34,0.34
0,S_Fatty_Acid__Biosynthesis,5.8303508268038145e-05,0.44,0.44
67,S_Glyoxylate_and_dicarboxylate_metabolism,0.00015260036697689692,0.5833333333333334,0.5833333333333334
80,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Vitamin_B6_Metabolism,0.00017119626062168133,0.6666666666666666,0.6666666666666666
79,S_Nucleotide_Salvage_Pathway,0.00020000315748715692,1.0,1.0
