,Subsystem,p-Value,recall,target_lenght
9,S_Transport__Inner_Membrane,2.4761532144645305e-44,0.46511627906976744,0.46511627906976744
1,S_Transport__ABC_system,8.01469004537038e-20,0.267515923566879,0.267515923566879
26,Unassigned,5.557418863592627e-16,0.44,0.44
10,S_Glycerophospholipid_Metabolism,1.444745308321534e-12,0.5172413793103449,0.5172413793103449
8,S_Fatty_Acid_Metabolism,4.588939192239577e-09,0.4782608695652174,0.4782608695652174
75,S_Xenobiotic_tolerance,6.752006699111924e-09,0.7272727272727273,0.7272727272727273
23,S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,3.053341806307008e-08,0.7777777777777778,0.7777777777777778
31,S_Transport__solvent_extrusion,7.59079192940543e-08,0.5,0.5
2,S_Transport__Outer_Membrane,1.2050205857714133e-07,0.3333333333333333,0.3333333333333333
52,S_Aromatic_Compounds_Degradation__Phenylacetyl_CoA_Catabolom,2.3912779630144854e-07,0.45,0.45
34,S_Sulfur_Metabolism,3.4170156222051126e-06,0.4,0.4
73,S_Plant_growth_promoting,7.0372862489125954e-06,1.0,1.0
24,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,9.423880792309914e-06,0.3103448275862069,0.3103448275862069
46,S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,2.9465792190779382e-05,0.22448979591836735,0.22448979591836735
71,S_Butanoate_Metabolism,3.8092745719771124e-05,0.5555555555555556,0.5555555555555556
39,S_Heavy_Metal_Tolerance,8.055138370676285e-05,0.3181818181818182,0.3181818181818182
7,S_Alternate_Carbon_and_Nitrogen_source__Hydroxy_proline_metabolism,0.00013731350466737876,1.0,1.0
48,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Queuosine_biosynthesis,0.00021737289768032167,0.5714285714285714,0.5714285714285714
54,S_Methionine_Metabolism,0.00048804951524373863,0.35714285714285715,0.35714285714285715
64,S_Aromatic_Compounds_Degradation__Gallic_acid_Metabolism,0.0005281421599227771,0.75,0.75
16,S_Alternate_Carbon,0.0007202486920088007,0.4444444444444444,0.4444444444444444
21,S_Alginate_biosynthesis,0.000871969949486018,0.2608695652173913,0.2608695652173913
4,S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,0.004111082343153101,0.42857142857142855,0.42857142857142855
13,S_Valine__Leucine__and_Isoleucine_Metabolism,0.005587433821451414,0.21739130434782608,0.21739130434782608
5,S_Lysine_Metabolism,0.006186418079997879,0.18181818181818182,0.18181818181818182
68,S_Pyruvate_Metabolism,0.01255083013758734,0.3,0.3
14,S_PHAs_Metabolism,0.01660612716347953,0.2727272727272727,0.2727272727272727
66,S_Cofactor_and_Prosthetic_Group_Biosynthesis,0.024061967204122018,0.4,0.4
85,S_Alternate_Carbon__Levulinate_Metabolism,0.024061967204122018,0.4,0.4
60,S_Alternate_Carbon__Fructose_Metabolism,0.024061967204122018,0.4,0.4
3,S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism,0.03487177594435064,0.3333333333333333,0.3333333333333333
43,S_Aromatic_Compounds_Degradation__Toluene_Pathway,0.051761322789360166,1.0,1.0
44,S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway,0.05404182232751581,0.14285714285714285,0.14285714285714285
28,S_Purine_Metabolism,0.05867835385548448,0.1111111111111111,0.1111111111111111
53,S_Cysteine_Metabolism,0.07555256351326628,0.2222222222222222,0.2222222222222222
80,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Vitamin_B6_Metabolism,0.07555256351326628,0.2222222222222222,0.2222222222222222
18,S_Cell_Envelope_Biosynthesis,0.08156164093671037,0.15,0.15
58,S_Formaldehyde_Metabolism,0.1252211180470766,0.16666666666666666,0.16666666666666666
76,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,0.14314112512199487,0.15384615384615385,0.15384615384615385
81,S_Phosphonate_and_phosphinate_metabolism,0.14741004712141959,0.3333333333333333,0.3333333333333333
55,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis,0.16155424714569602,0.14285714285714285,0.14285714285714285
78,S_Nitrogen_Metabolism,0.19156503838720473,0.25,0.25
79,S_Nucleotide_Salvage_Pathway,0.19156503838720473,0.25,0.25
87,S_Alternate_Carbon__Butanediol_Metabolism,0.23344080618297547,0.2,0.2
42,S_Alternate_Carbon_and_Nitrogen_source__Ectoine_Metabolism,0.2731546122307005,0.16666666666666666,0.16666666666666666
