,Subsystem,p-Value,recall,target_lenght
47,S_PHAs_Metabolism,3.907632465535533e-29,0.7960526315789473,152.0
90,S_Fatty_Acid__Biosynthesis,8.70429838884766e-20,0.8666666666666667,75.0
31,S_Purine_Metabolism,4.973597835411141e-11,0.7272727272727273,77.0
70,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,1.941440198487499e-08,0.8888888888888888,27.0
38,S_Pyrimidine_Metabolism,5.067073130036995e-08,0.74,50.0
5,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,2.3668384056983652e-07,1.0,15.0
35,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Terpenoid_backbone_biosynthesis,6.572545544136639e-07,1.0,14.0
80,S_TCA_Cycle,9.110615190790536e-07,0.9,20.0
75,S_Glutamate_Metabolism,9.57874605284636e-07,0.9411764705882353,17.0
84,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis,1.699222108010793e-05,0.9285714285714286,14.0
71,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis,3.88462886955886e-05,1.0,10.0
14,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Ubiquinone_biosynthesis,3.88462886955886e-05,1.0,10.0
63,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Nicotinamide_Biosynthesis,4.387930510116199e-05,0.9230769230769231,13.0
4,S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,8.489756853733234e-05,0.8666666666666667,15.0
68,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Riboflavin_Metabolism,0.00010754598710979842,1.0,9.0
45,S_Gluconeogenesis,0.00011262656702337739,0.9166666666666666,12.0
49,S_Glycolysis,0.00039313306640789567,0.7777777777777778,18.0
32,S_Oxidative_Phosphorylation,0.0007258432728376872,0.9,10.0
86,S_Cofactor_and_Prosthetic_Group_Biosynthesis__One_Carbon_pool_by_folate,0.0008228009390803398,1.0,7.0
23,S_Pentose_Phosphate_Pathway,0.0008228009390803398,1.0,7.0
85,S_Cell_Envelope_Biosynthesis__LPS_Biosynthesis,0.0015376970682785076,0.7857142857142857,14.0
66,S_Cofactor_and_Prosthetic_Group_Biosynthesis___Pyrroloquinoline_quinone_biosynthesis,0.0022737952157556034,1.0,6.0
37,S_Aromatic_Compounds_Degradation__Homogentisate_pathway,0.0022737952157556034,1.0,6.0
58,S_Arginine_and_Proline_Metabolism,0.0023252651984965555,0.6428571428571429,28.0
12,S_Glyoxylate_and_dicarboxylate_metabolism,0.0027002824968881786,0.8181818181818182,11.0
43,S_Cell_Envelope_Biosynthesis,0.0033880233773297525,0.7692307692307693,13.0
7,S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis,0.0038787123830771233,0.7333333333333333,15.0
72,S_Histidine_Metabolism,0.00419770102759801,0.7058823529411765,17.0
22,S_Cofactor_and_Prosthetic_Group_Biosynthesis__FeS_clusters_metabolism,0.0044994812997379684,0.875,8.0
55,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Thiamine_Metabolism,0.0044994812997379684,0.875,8.0
18,S_Alternate_Carbon__Ribose_Metabolism,0.006279801153532962,1.0,5.0
69,S_Cell_Envelope_Biosynthesis__Biosynthesis_of_L_glycero_D_manno_heptose__Hep_,0.006279801153532962,1.0,5.0
56,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,0.008013839149957867,0.7142857142857143,14.0
