,Subsystem,p-Value,recall,target_lenght
41,S_Transport__ABC_system,4.4324174004095324e-14,0.5912408759124088,137.0
52,S_Fatty_Acid_Metabolism,7.102021838349783e-12,0.5047619047619047,210.0
48,S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism,3.2165728774478577e-09,0.875,24.0
46,S_Transport__solvent_extrusion,4.91396686140487e-09,0.8461538461538461,26.0
59,S_tRNA_Charging,9.909639294056709e-09,0.8695652173913043,23.0
54,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Queuosine_biosynthesis,9.340851302781846e-08,1.0,13.0
19,S_Alginate_biosynthesis,2.0546311378291753e-06,0.65,40.0
8,S_Alternate_Carbon__Levulinate_Metabolism,4.8022432925662145e-05,1.0,8.0
83,S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway,0.00011700697942224774,0.6538461538461539,26.0
74,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism,0.00016644213712900096,0.5789473684210527,38.0
81,S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,0.00032177826844570945,0.8888888888888888,9.0
9,S_Xenobiotic_tolerance,0.0004179128265861198,0.8181818181818182,11.0
25,S_Aromatic_Compounds_Degradation__Phenylacetyl_CoA_Catabolom,0.00045911610027392667,0.7692307692307693,13.0
88,S_Aromatic_Compounds_Degradation__Nicotinic_acid_pathway,0.0005798067742504794,1.0,6.0
87,S_Glycerophospholipid_Metabolism,0.0008829438076850032,0.4064516129032258,155.0
27,Aliphatic open-chain ketones metabolism,0.0020121085443704284,1.0,5.0
1,S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,0.002652170354984618,0.6666666666666666,15.0
17,S_Alternate_Carbon,0.0030049504088425143,0.6923076923076923,13.0
29,Unassigned,0.0030131483317304224,0.5,42.0
34,S_Plant_growth_promoting,0.0069767417262096825,1.0,4.0
53,S_Aromatic_Compounds_Degradation__Gallic_acid_Metabolism,0.0069767417262096825,1.0,4.0
51,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,0.009730179924177575,0.45098039215686275,51.0
50,S_Transport__Inner_Membrane,0.01771380104080739,0.3548387096774194,217.0
33,S_Alternate_Carbon_and_Nitrogen_source__Hydroxy_proline_metabolism,0.02417060759175013,1.0,3.0
57,S_Sulfur_Metabolism,0.0421327461207245,0.4782608695652174,23.0
82,S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,0.045273348504430586,0.425,40.0
20,S_Pyruvate_Metabolism,0.06215858857075975,0.6666666666666666,6.0
42,S_Phosphonate_and_phosphinate_metabolism,0.07575220518837146,0.75,4.0
