,Subsystem,p-Value,recall,target_lenght
51,S_Oxidative_Phosphorylation,5.011337747091706e-32,0.8958333333333334,0.8958333333333334
28,S_Purine_Metabolism,4.643426733487014e-29,0.8148148148148148,0.8148148148148148
29,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,2.1523601574227805e-21,1.0,1.0
40,S_Pyrimidine_Metabolism,6.207671996062356e-19,0.8666666666666667,0.8666666666666667
5,S_Lysine_Metabolism,2.5687743690175475e-18,0.8181818181818182,0.8181818181818182
35,S_Iron_uptake_and_metabolism,1.7334755931648808e-16,0.6346153846153846,0.6346153846153846
17,S_TCA_Cycle,7.748997483143207e-16,0.8214285714285714,0.8214285714285714
47,S_Glutamate_Metabolism,5.55584991996091e-15,0.9473684210526315,0.9473684210526315
0,S_Fatty_Acid__Biosynthesis,6.194274685604884e-15,0.84,0.84
19,S_Gluconeogenesis,1.3067373227993894e-13,1.0,1.0
30,S_Glycine__Serine_and_threonine_metabolism,2.3327388599008716e-13,0.8260869565217391,0.8260869565217391
57,S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,9.517574988893185e-13,1.0,1.0
24,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,1.204561241438815e-12,0.7241379310344828,0.7241379310344828
18,S_Cell_Envelope_Biosynthesis,1.8480282520157676e-12,0.85,0.85
77,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis,6.9242540974241245e-12,1.0,1.0
76,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,6.9242540974241245e-12,1.0,1.0
25,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,5.0318663283898885e-11,1.0,1.0
55,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis,8.456670987837664e-11,0.9285714285714286,0.9285714285714286
10,S_Glycerophospholipid_Metabolism,2.2958540941868373e-10,0.6551724137931034,0.6551724137931034
61,S_Cofactor_and_Prosthetic_Group_Biosynthesis__One_Carbon_pool_by_folate,3.652542970137131e-10,1.0,1.0
56,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Ubiquinone_biosynthesis,3.652542970137131e-10,1.0,1.0
49,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Terpenoid_backbone_biosynthesis,3.652542970137131e-10,1.0,1.0
27,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Thiamine_Metabolism,2.6483320699923788e-09,1.0,1.0
62,S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis,3.4899607553809133e-09,0.8571428571428571,0.8571428571428571
58,S_Formaldehyde_Metabolism,3.829546268041669e-09,0.9166666666666666,0.9166666666666666
33,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Riboflavin_Metabolism,1.9180553649032158e-08,1.0,1.0
53,S_Cysteine_Metabolism,1.9180553649032158e-08,1.0,1.0
46,S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,2.4694631099670594e-08,0.46938775510204084,0.46938775510204084
14,S_PHAs_Metabolism,2.5479109799779048e-08,0.9090909090909091,0.9090909090909091
9,S_Transport__Inner_Membrane,3.953997584918683e-08,0.32558139534883723,0.32558139534883723
11,S_Glycolysis,4.962727536686166e-08,0.625,0.625
