,Subsystem,p-Value,recall,target_lenght
28,S_Purine_Metabolism,9.019861892431652e-29,0.7962962962962963,0.7962962962962963
51,S_Oxidative_Phosphorylation,8.409091693286917e-27,0.8125,0.8125
29,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,4.853346074816214e-22,1.0,1.0
40,S_Pyrimidine_Metabolism,1.2796483817857632e-19,0.8666666666666667,0.8666666666666667
5,S_Lysine_Metabolism,5.0626991274294565e-19,0.8181818181818182,0.8181818181818182
35,S_Iron_uptake_and_metabolism,3.192097216284676e-15,0.5961538461538461,0.5961538461538461
19,S_Gluconeogenesis,5.180291013911522e-14,1.0,1.0
30,S_Glycine__Serine_and_threonine_metabolism,7.466919926882014e-14,0.8260869565217391,0.8260869565217391
24,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,3.5269972411516236e-13,0.7241379310344828,0.7241379310344828
17,S_TCA_Cycle,1.9968390566977162e-12,0.7142857142857143,0.7142857142857143
77,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis,3.1087528063691975e-12,1.0,1.0
76,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,3.1087528063691975e-12,1.0,1.0
18,S_Cell_Envelope_Biosynthesis,1.930016936112294e-11,0.8,0.8
57,S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,3.83024555370219e-11,0.9285714285714286,0.9285714285714286
55,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis,3.83024555370219e-11,0.9285714285714286,0.9285714285714286
56,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Ubiquinone_biosynthesis,1.8565642636802284e-10,1.0,1.0
49,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Terpenoid_backbone_biosynthesis,1.8565642636802284e-10,1.0,1.0
61,S_Cofactor_and_Prosthetic_Group_Biosynthesis__One_Carbon_pool_by_folate,1.8565642636802284e-10,1.0,1.0
10,S_Glycerophospholipid_Metabolism,9.190269990791295e-10,0.6206896551724138,0.6206896551724138
27,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Thiamine_Metabolism,1.4321330445111093e-09,1.0,1.0
62,S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis,1.6965728692984588e-09,0.8571428571428571,0.8571428571428571
58,S_Formaldehyde_Metabolism,1.9634512788249368e-09,0.9166666666666666,0.9166666666666666
25,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,1.9634512788249368e-09,0.9166666666666666,0.9166666666666666
9,S_Transport__Inner_Membrane,6.336163765378956e-09,0.32558139534883723,0.32558139534883723
46,S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,7.504486677453725e-09,0.46938775510204084,0.46938775510204084
33,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Riboflavin_Metabolism,1.1033979281912911e-08,1.0,1.0
53,S_Cysteine_Metabolism,1.1033979281912911e-08,1.0,1.0
54,S_Methionine_Metabolism,4.6273833727686565e-08,0.7857142857142857,0.7857142857142857
59,S_Histidine_Metabolism,7.885020237127139e-08,0.7058823529411765,0.7058823529411765
32,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism,3.817507327236467e-07,0.4857142857142857,0.4857142857142857
38,S_Alanine_and_Aspartate_Metabolism,4.734422282851715e-07,0.8181818181818182,0.8181818181818182
47,S_Glutamate_Metabolism,4.984230999248213e-07,0.631578947368421,0.631578947368421
70,S_Cell_Envelope_Biosynthesis__LPS_Biosynthesis,6.526183834351372e-07,1.0,1.0
63,S_Pentose_Phosphate_Pathway,6.526183834351372e-07,1.0,1.0
36,S_Arginine_and_Proline_Metabolism,6.659151303874304e-07,0.5172413793103449,0.5172413793103449
41,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Nicotinamide_Biosynthesis,6.759152848759616e-07,0.8888888888888888,0.8888888888888888
67,S_Glyoxylate_and_dicarboxylate_metabolism,1.6730764962561044e-06,0.75,0.75
1,S_Transport__ABC_system,2.77239264905354e-06,0.267515923566879,0.267515923566879
26,Unassigned,7.798627746467855e-06,0.38,0.38
44,S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway,1.726914181380113e-05,0.4642857142857143,0.4642857142857143
4,S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,3.115441514956523e-05,0.8571428571428571,0.8571428571428571
68,S_Pyruvate_Metabolism,5.45368718658189e-05,0.7,0.7
8,S_Fatty_Acid_Metabolism,5.552517146196881e-05,0.4782608695652174,0.4782608695652174
0,S_Fatty_Acid__Biosynthesis,0.00014259988620473867,0.44,0.44
79,S_Nucleotide_Salvage_Pathway,0.0002941955624907542,1.0,1.0
69,S_Cell_Envelope_Biosynthesis__Biosynthesis_of_L_glycero_D_manno_heptose__Hep_,0.0002941955624907542,1.0,1.0
6,S_Cofactor_and_Prosthetic_Group_Biosynthesis___Pyrroloquinoline_quinone_biosynthesis,0.0002941955624907542,1.0,1.0
80,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Vitamin_B6_Metabolism,0.0002953059612420923,0.6666666666666666,0.6666666666666666
13,S_Valine__Leucine__and_Isoleucine_Metabolism,0.0003244522602919873,0.43478260869565216,0.43478260869565216
2,S_Transport__Outer_Membrane,0.00038854285434528947,0.3611111111111111,0.3611111111111111
11,S_Glycolysis,0.0004915826770875011,0.4166666666666667,0.4166666666666667
72,S_Cofactor_and_Prosthetic_Group_Biosynthesis__FeS_clusters_metabolism,0.0006411482790283516,0.7142857142857143,0.7142857142857143
34,S_Sulfur_Metabolism,0.0024859946075692844,0.4,0.4
15,S_Urea_cycleamino_group_metabolism,0.0025391042665561473,0.4375,0.4375
71,S_Butanoate_Metabolism,0.0030624900125907793,0.5555555555555556,0.5555555555555556
42,S_Alternate_Carbon_and_Nitrogen_source__Ectoine_Metabolism,0.003541079753115616,0.6666666666666666,0.6666666666666666
66,S_Cofactor_and_Prosthetic_Group_Biosynthesis,0.01832128987047189,0.6,0.6
22,S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism,0.019931044602038206,0.38461538461538464,0.38461538461538464
14,S_PHAs_Metabolism,0.04539075935937139,0.36363636363636365,0.36363636363636365
82,S_Inorganic_polyphosphates_metabolism,0.08603820309221655,0.5,0.5
73,S_Plant_growth_promoting,0.08603820309221655,0.5,0.5
16,S_Alternate_Carbon,0.10299525664497669,0.3333333333333333,0.3333333333333333
45,Biomass and maintenance functions,0.13120057512580877,1.0,1.0
3,S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism,0.18022346786615545,0.3333333333333333,0.3333333333333333
12,S_Aromatic_Compounds_Degradation__Homogentisate_pathway,0.2832118263272321,0.25,0.25
39,S_Heavy_Metal_Tolerance,0.3249875690555163,0.18181818181818182,0.18181818181818182
52,S_Aromatic_Compounds_Degradation__Phenylacetyl_CoA_Catabolom,0.4987681311806482,0.15,0.15
