,Subsystem,p-Value,recall,target_lenght
9,S_Transport__Inner_Membrane,1.0010987050322642e-45,0.5271317829457365,0.5271317829457365
1,S_Transport__ABC_system,2.283682550605779e-29,0.37579617834394907,0.37579617834394907
2,S_Transport__Outer_Membrane,1.5012091357676218e-18,0.6388888888888888,0.6388888888888888
26,Unassigned,1.110612399803402e-17,0.52,0.52
31,S_Transport__solvent_extrusion,1.307202840585761e-13,0.7777777777777778,0.7777777777777778
75,S_Xenobiotic_tolerance,1.7576978650294282e-13,1.0,1.0
10,S_Glycerophospholipid_Metabolism,4.043759625805348e-13,0.5862068965517241,0.5862068965517241
34,S_Sulfur_Metabolism,1.4531365754680619e-12,0.7,0.7
32,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism,2.385774156810182e-11,0.4857142857142857,0.4857142857142857
8,S_Fatty_Acid_Metabolism,1.0961051442054558e-07,0.4782608695652174,0.4782608695652174
46,S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,6.425673801259223e-07,0.30612244897959184,0.30612244897959184
23,S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,8.003733241362898e-06,0.6666666666666666,0.6666666666666666
39,S_Heavy_Metal_Tolerance,8.160169127988386e-06,0.4090909090909091,0.4090909090909091
21,S_Alginate_biosynthesis,1.2584336944746749e-05,0.391304347826087,0.391304347826087
24,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,1.526244615137645e-05,0.3448275862068966,0.3448275862068966
64,S_Aromatic_Compounds_Degradation__Gallic_acid_Metabolism,2.379451396082935e-05,1.0,1.0
73,S_Plant_growth_promoting,2.379451396082935e-05,1.0,1.0
84,Murein Recycling,2.379451396082935e-05,1.0,1.0
4,S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,3.080465992255803e-05,0.7142857142857143,0.7142857142857143
52,S_Aromatic_Compounds_Degradation__Phenylacetyl_CoA_Catabolom,3.2293536815960455e-05,0.4,0.4
16,S_Alternate_Carbon,0.00016419041661141595,0.5555555555555556,0.5555555555555556
54,S_Methionine_Metabolism,0.00021126332068760313,0.42857142857142855,0.42857142857142855
81,S_Phosphonate_and_phosphinate_metabolism,0.0003419154835560001,1.0,1.0
74,S_Aromatic_Compounds_Degradation__Nicotinic_acid_pathway,0.0007018970179660025,0.5714285714285714,0.5714285714285714
48,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Queuosine_biosynthesis,0.0007018970179660025,0.5714285714285714,0.5714285714285714
28,S_Purine_Metabolism,0.0010693324584292497,0.2037037037037037,0.2037037037037037
5,S_Lysine_Metabolism,0.0015856810654977399,0.24242424242424243,0.24242424242424243
53,S_Cysteine_Metabolism,0.002256120864857982,0.4444444444444444,0.4444444444444444
85,S_Alternate_Carbon__Levulinate_Metabolism,0.0030721486539053446,0.6,0.6
37,S_tRNA_Charging,0.007886923768592293,0.23076923076923078,0.23076923076923078
7,S_Alternate_Carbon_and_Nitrogen_source__Hydroxy_proline_metabolism,0.014020297276742168,0.6666666666666666,0.6666666666666666
40,S_Pyrimidine_Metabolism,0.016049260550194008,0.2,0.2
80,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Vitamin_B6_Metabolism,0.020883491212810596,0.3333333333333333,0.3333333333333333
71,S_Butanoate_Metabolism,0.020883491212810596,0.3333333333333333,0.3333333333333333
44,S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway,0.042511818483893196,0.17857142857142858,0.17857142857142858
66,S_Cofactor_and_Prosthetic_Group_Biosynthesis,0.042525761165967804,0.4,0.4
36,S_Arginine_and_Proline_Metabolism,0.04853073190748167,0.1724137931034483,0.1724137931034483
3,S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism,0.06087570093030268,0.3333333333333333,0.3333333333333333
62,S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis,0.06978411059334096,0.21428571428571427,0.21428571428571427
43,S_Aromatic_Compounds_Degradation__Toluene_Pathway,0.07009345794392523,1.0,1.0
68,S_Pyruvate_Metabolism,0.15194221981276032,0.2,0.2
27,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Thiamine_Metabolism,0.15194221981276032,0.2,0.2
18,S_Cell_Envelope_Biosynthesis,0.16116481745639227,0.15,0.15
14,S_PHAs_Metabolism,0.17749663621846276,0.18181818181818182,0.18181818181818182
38,S_Alanine_and_Aspartate_Metabolism,0.17749663621846276,0.18181818181818182,0.18181818181818182
67,S_Glyoxylate_and_dicarboxylate_metabolism,0.20364239829463748,0.16666666666666666,0.16666666666666666
30,S_Glycine__Serine_and_threonine_metabolism,0.21567218416574502,0.13043478260869565,0.13043478260869565
76,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,0.23017175027813874,0.15384615384615385,0.15384615384615385
22,S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism,0.23017175027813874,0.15384615384615385,0.15384615384615385
79,S_Nucleotide_Salvage_Pathway,0.2523094427082557,0.25,0.25
55,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis,0.25690302355893824,0.14285714285714285,0.14285714285714285
57,S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,0.25690302355893824,0.14285714285714285,0.14285714285714285
35,S_Iron_uptake_and_metabolism,0.29914462185979124,0.09615384615384616,0.09615384615384616
42,S_Alternate_Carbon_and_Nitrogen_source__Ectoine_Metabolism,0.3535312955265326,0.16666666666666666,0.16666666666666666
70,S_Cell_Envelope_Biosynthesis__LPS_Biosynthesis,0.39889343923733733,0.14285714285714285,0.14285714285714285
72,S_Cofactor_and_Prosthetic_Group_Biosynthesis__FeS_clusters_metabolism,0.39889343923733733,0.14285714285714285,0.14285714285714285
41,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Nicotinamide_Biosynthesis,0.48031318599667755,0.1111111111111111,0.1111111111111111
13,S_Valine__Leucine__and_Isoleucine_Metabolism,0.4865104358166393,0.08695652173913043,0.08695652173913043
29,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,0.5094080012504643,0.08333333333333333,0.08333333333333333
58,S_Formaldehyde_Metabolism,0.5822824039820392,0.08333333333333333,0.08333333333333333
15,S_Urea_cycleamino_group_metabolism,0.6878800950273056,0.0625,0.0625
0,S_Fatty_Acid__Biosynthesis,0.8381129411395349,0.04,0.04
60,S_Alternate_Carbon__Fructose_Metabolism,1.0,0.0,0.0
