,Subsystem,p-Value,recall,target_lenght
14,S_Fatty_Acid__Biosynthesis,7.1301612611618e-15,0.7466666666666667,75.0
1,S_PHAs_Metabolism,3.1694775041326443e-10,0.5526315789473685,152.0
38,S_Glutamate_Metabolism,2.481003989680015e-09,1.0,17.0
7,S_Pyrimidine_Metabolism,1.725599442445445e-08,0.7,50.0
12,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,2.5820625031426695e-08,1.0,15.0
53,S_TCA_Cycle,7.295871473184869e-08,0.9,20.0
67,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Terpenoid_backbone_biosynthesis,8.32029653944092e-08,1.0,14.0
77,S_Gluconeogenesis,8.619659982917865e-07,1.0,12.0
62,S_Purine_Metabolism,1.9110750025467686e-06,0.5714285714285714,77.0
20,S_Glycolysis,7.530459135806763e-06,0.8333333333333334,18.0
78,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Nicotinamide_Biosynthesis,7.99070571932725e-06,0.9230769230769231,13.0
9,S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,1.4255055887527252e-05,0.8666666666666667,15.0
81,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Riboflavin_Metabolism,2.8578692279134805e-05,1.0,9.0
40,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis,3.992080552679289e-05,0.8571428571428571,14.0
0,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,0.00016094055245937392,0.6666666666666666,27.0
70,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Ubiquinone_biosynthesis,0.0002056627687352816,0.9,10.0
86,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis,0.0002056627687352816,0.9,10.0
30,S_Oxidative_Phosphorylation,0.0002056627687352816,0.9,10.0
8,S_Inorganic_polyphosphates_metabolism,0.00029383229643473527,1.0,7.0
27,S_Cofactor_and_Prosthetic_Group_Biosynthesis__One_Carbon_pool_by_folate,0.00029383229643473527,1.0,7.0
59,S_Cell_Envelope_Biosynthesis__LPS_Biosynthesis,0.0003696422110358593,0.7857142857142857,14.0
66,S_Valine__Leucine__and_Isoleucine_Metabolism,0.0004077130282635103,0.6,35.0
22,S_Cofactor_and_Prosthetic_Group_Biosynthesis___Pyrroloquinoline_quinone_biosynthesis,0.0009411010283836205,1.0,6.0
79,S_Cell_Envelope_Biosynthesis,0.0009419858653753071,0.7692307692307693,13.0
61,S_Histidine_Metabolism,0.0009923208292817842,0.7058823529411765,17.0
56,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Thiamine_Metabolism,0.0017089568117640778,0.875,8.0
