,Subsystem,p-Value,recall,target_lenght
49,S_Alginate_biosynthesis,4.303912782916014e-19,0.95,40.0
55,S_Fatty_Acid_Metabolism,2.3638645782513855e-12,0.5047619047619047,210.0
32,S_Transport__solvent_extrusion,1.1244000107042107e-11,0.9230769230769231,26.0
85,S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism,2.3562566863589286e-09,0.875,24.0
25,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Queuosine_biosynthesis,7.628358994732341e-08,1.0,13.0
3,S_tRNA_Charging,9.678256505913548e-08,0.8260869565217391,23.0
2,S_Transport__ABC_system,1.12281713257705e-06,0.4744525547445255,137.0
18,S_Alternate_Carbon__Levulinate_Metabolism,4.241116018957013e-05,1.0,8.0
16,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism,0.00012933894236437135,0.5789473684210527,38.0
28,S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,0.0002856905251139147,0.8888888888888888,9.0
47,S_Xenobiotic_tolerance,0.00036728458825737424,0.8181818181818182,11.0
74,S_Aromatic_Compounds_Degradation__Phenylacetyl_CoA_Catabolom,0.0003994424134689129,0.7692307692307693,13.0
34,S_Aromatic_Compounds_Degradation__Nicotinic_acid_pathway,0.0005282733657362684,1.0,6.0
64,Unassigned,0.0008735719179601475,0.5238095238095238,42.0
75,Aliphatic open-chain ketones metabolism,0.0018620202348388136,1.0,5.0
51,S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,0.002332089950495058,0.6666666666666666,15.0
35,S_Alternate_Carbon,0.0026688660783975057,0.6923076923076923,13.0
72,S_Heavy_Metal_Tolerance,0.0027631164407284827,0.53125,32.0
33,S_Nitrogen_Metabolism,0.006557451983655244,1.0,4.0
90,S_Aromatic_Compounds_Degradation__Gallic_acid_Metabolism,0.006557451983655244,1.0,4.0
87,S_Plant_growth_promoting,0.006557451983655244,1.0,4.0
44,S_Transport__Inner_Membrane,0.01198714069797562,0.3548387096774194,217.0
54,S_Glycerophospholipid_Metabolism,0.02069447296219689,0.36129032258064514,155.0
89,S_Cell_Envelope_Biosynthesis__Cellulose_Metabolism,0.023073393020707496,1.0,3.0
31,S_Alternate_Carbon_and_Nitrogen_source__Hydroxy_proline_metabolism,0.023073393020707496,1.0,3.0
41,S_Alternate_Carbon__Fructose_Metabolism,0.023073393020707496,1.0,3.0
