,Subsystem,p-Value,recall,target_lenght
29,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,1.0943810077292271e-23,1.0,1.0
28,S_Purine_Metabolism,8.27700076100954e-20,0.6296296296296297,0.6296296296296297
35,S_Iron_uptake_and_metabolism,3.5833451270643506e-17,0.5961538461538461,0.5961538461538461
51,S_Oxidative_Phosphorylation,2.314734125282441e-16,0.6041666666666666,0.6041666666666666
5,S_Lysine_Metabolism,3.105822739348651e-15,0.696969696969697,0.696969696969697
24,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,1.514984909669725e-14,0.7241379310344828,0.7241379310344828
77,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis,4.054483313629048e-13,1.0,1.0
76,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,4.054483313629048e-13,1.0,1.0
40,S_Pyrimidine_Metabolism,7.810900443760988e-13,0.6666666666666666,0.6666666666666666
18,S_Cell_Envelope_Biosynthesis,1.6947594871639434e-12,0.8,0.8
57,S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,5.095165681717443e-12,0.9285714285714286,0.9285714285714286
17,S_TCA_Cycle,2.8608755187808027e-11,0.6428571428571429,0.6428571428571429
49,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Terpenoid_backbone_biosynthesis,3.321114147512682e-11,1.0,1.0
10,S_Glycerophospholipid_Metabolism,6.761576270424878e-11,0.6206896551724138,0.6206896551724138
46,S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,3.3761993086666915e-10,0.46938775510204084,0.46938775510204084
58,S_Formaldehyde_Metabolism,3.581396675335035e-10,0.9166666666666666,0.9166666666666666
25,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,3.581396675335035e-10,0.9166666666666666,0.9166666666666666
9,S_Transport__Inner_Membrane,7.255787535217043e-10,0.31007751937984496,0.31007751937984496
33,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Riboflavin_Metabolism,2.704692603809276e-09,1.0,1.0
61,S_Cofactor_and_Prosthetic_Group_Biosynthesis__One_Carbon_pool_by_folate,2.967077979202225e-09,0.9090909090909091,0.9090909090909091
56,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Ubiquinone_biosynthesis,2.967077979202225e-09,0.9090909090909091,0.9090909090909091
55,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis,8.774848568773822e-09,0.7857142857142857,0.7857142857142857
59,S_Histidine_Metabolism,1.32834853034431e-08,0.7058823529411765,0.7058823529411765
30,S_Glycine__Serine_and_threonine_metabolism,1.3787993584560054e-08,0.6086956521739131,0.6086956521739131
27,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Thiamine_Metabolism,2.434758926122172e-08,0.9,0.9
36,S_Arginine_and_Proline_Metabolism,8.351771792261165e-08,0.5172413793103449,0.5172413793103449
38,S_Alanine_and_Aspartate_Metabolism,1.2055989003030945e-07,0.8181818181818182,0.8181818181818182
62,S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis,1.9650014384881186e-07,0.7142857142857143,0.7142857142857143
41,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Nicotinamide_Biosynthesis,1.9756091777710931e-07,0.8888888888888888,0.8888888888888888
70,S_Cell_Envelope_Biosynthesis__LPS_Biosynthesis,2.1900140857287696e-07,1.0,1.0
32,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism,2.780408719709553e-07,0.45714285714285713,0.45714285714285713
8,S_Fatty_Acid_Metabolism,1.527107275887259e-06,0.5217391304347826,0.5217391304347826
0,S_Fatty_Acid__Biosynthesis,4.744262376047086e-06,0.48,0.48
19,S_Gluconeogenesis,7.215408255708355e-06,0.6,0.6
47,S_Glutamate_Metabolism,1.0697649726739877e-05,0.5263157894736842,0.5263157894736842
63,S_Pentose_Phosphate_Pathway,1.2450884605002723e-05,0.8571428571428571,0.8571428571428571
4,S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,1.2450884605002723e-05,0.8571428571428571,0.8571428571428571
54,S_Methionine_Metabolism,3.928420087231936e-05,0.5714285714285714,0.5714285714285714
80,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Vitamin_B6_Metabolism,0.00012232611727048433,0.6666666666666666,0.6666666666666666
69,S_Cell_Envelope_Biosynthesis__Biosynthesis_of_L_glycero_D_manno_heptose__Hep_,0.0001578566846932513,1.0,1.0
6,S_Cofactor_and_Prosthetic_Group_Biosynthesis___Pyrroloquinoline_quinone_biosynthesis,0.0001578566846932513,1.0,1.0
26,Unassigned,0.00025214782721945703,0.3,0.3
72,S_Cofactor_and_Prosthetic_Group_Biosynthesis__FeS_clusters_metabolism,0.0003047139776242153,0.7142857142857143,0.7142857142857143
