,Subsystem,p-Value,recall,target_lenght
9,S_Transport__Inner_Membrane,1.2427605469474108e-30,0.3643410852713178,0.3643410852713178
1,S_Transport__ABC_system,2.198780861256501e-21,0.267515923566879,0.267515923566879
52,S_Aromatic_Compounds_Degradation__Phenylacetyl_CoA_Catabolom,5.957842393571448e-15,0.7,0.7
2,S_Transport__Outer_Membrane,1.2366555771383618e-12,0.4444444444444444,0.4444444444444444
26,Unassigned,3.612013263456663e-12,0.36,0.36
10,S_Glycerophospholipid_Metabolism,2.454958451979288e-09,0.41379310344827586,0.41379310344827586
34,S_Sulfur_Metabolism,5.715728090060751e-09,0.5,0.5
75,S_Xenobiotic_tolerance,1.3669356134774513e-07,0.6363636363636364,0.6363636363636364
21,S_Alginate_biosynthesis,4.6895415078292043e-07,0.391304347826087,0.391304347826087
8,S_Fatty_Acid_Metabolism,4.6895415078292043e-07,0.391304347826087,0.391304347826087
46,S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,1.8656939932977091e-06,0.24489795918367346,0.24489795918367346
74,S_Aromatic_Compounds_Degradation__Nicotinic_acid_pathway,0.0001525638526770589,0.5714285714285714,0.5714285714285714
4,S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,0.0001525638526770589,0.5714285714285714,0.5714285714285714
28,S_Purine_Metabolism,0.0001773692621692416,0.18518518518518517,0.18518518518518517
24,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,0.000309866770661238,0.2413793103448276,0.2413793103448276
64,S_Aromatic_Compounds_Degradation__Gallic_acid_Metabolism,0.00040320707681643265,0.75,0.75
73,S_Plant_growth_promoting,0.00040320707681643265,0.75,0.75
39,S_Heavy_Metal_Tolerance,0.00041402696024159496,0.2727272727272727,0.2727272727272727
44,S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway,0.0016459161293559338,0.21428571428571427,0.21428571428571427
36,S_Arginine_and_Proline_Metabolism,0.001994450744667593,0.20689655172413793,0.20689655172413793
40,S_Pyrimidine_Metabolism,0.0023960421726172583,0.2,0.2
5,S_Lysine_Metabolism,0.00396845920368264,0.18181818181818182,0.18181818181818182
16,S_Alternate_Carbon,0.0070922280193032984,0.3333333333333333,0.3333333333333333
23,S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,0.0070922280193032984,0.3333333333333333,0.3333333333333333
71,S_Butanoate_Metabolism,0.0070922280193032984,0.3333333333333333,0.3333333333333333
68,S_Pyruvate_Metabolism,0.009781450561100986,0.3,0.3
66,S_Cofactor_and_Prosthetic_Group_Biosynthesis,0.020244884367631714,0.4,0.4
60,S_Alternate_Carbon__Fructose_Metabolism,0.020244884367631714,0.4,0.4
54,S_Methionine_Metabolism,0.025797679449988033,0.21428571428571427,0.21428571428571427
42,S_Alternate_Carbon_and_Nitrogen_source__Ectoine_Metabolism,0.02942852889247694,0.3333333333333333,0.3333333333333333
3,S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism,0.02942852889247694,0.3333333333333333,0.3333333333333333
86,Aliphatic open-chain ketones metabolism,0.04726815240833933,1.0,1.0
43,S_Aromatic_Compounds_Degradation__Toluene_Pathway,0.04726815240833933,1.0,1.0
53,S_Cysteine_Metabolism,0.06432836296062942,0.2222222222222222,0.2222222222222222
14,S_PHAs_Metabolism,0.09240497459443624,0.18181818181818182,0.18181818181818182
