,Subsystem,p-Value,recall,target_lenght
35,S_Fatty_Acid__Biosynthesis,4.3703417558214133e-17,0.7466666666666667,75.0
47,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,2.9205402993933444e-12,0.9259259259259259,27.0
71,S_Glutamate_Metabolism,4.312538743818242e-10,1.0,17.0
7,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,5.5239741221185014e-09,1.0,15.0
28,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Terpenoid_backbone_biosynthesis,1.9743971310099628e-08,1.0,14.0
82,S_Pyrimidine_Metabolism,2.6278198410883052e-08,0.66,50.0
20,S_Purine_Metabolism,7.626503692007969e-08,0.5714285714285714,77.0
74,S_TCA_Cycle,2.213447094859697e-06,0.8,20.0
53,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Nicotinamide_Biosynthesis,2.4242591483995622e-06,0.9230769230769231,13.0
15,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis,3.194016430324555e-06,1.0,10.0
18,S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,4.055870599632551e-06,0.8666666666666667,15.0
56,S_Gluconeogenesis,7.994111721810566e-06,0.9166666666666666,12.0
8,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Riboflavin_Metabolism,1.1366024321569577e-05,1.0,9.0
81,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis,1.2587233112993354e-05,0.8571428571428571,14.0
87,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Ubiquinone_biosynthesis,8.491409534277479e-05,0.9,10.0
39,S_Cell_Envelope_Biosynthesis__LPS_Biosynthesis,0.0001341122160050228,0.7857142857142857,14.0
50,S_Inorganic_polyphosphates_metabolism,0.00014355243143696322,1.0,7.0
5,S_Cofactor_and_Prosthetic_Group_Biosynthesis__One_Carbon_pool_by_folate,0.00014355243143696322,1.0,7.0
88,S_Glyoxylate_and_dicarboxylate_metabolism,0.00034927869070010644,0.8181818181818182,11.0
45,S_Histidine_Metabolism,0.0003507065573190774,0.7058823529411765,17.0
54,S_Glycine__Serine_and_threonine_metabolism,0.0003744609313111349,0.7333333333333333,15.0
42,S_Cell_Envelope_Biosynthesis,0.00037835983773420605,0.7692307692307693,13.0
85,S_Cofactor_and_Prosthetic_Group_Biosynthesis___Pyrroloquinoline_quinone_biosynthesis,0.0005094977548327697,1.0,6.0
26,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Thiamine_Metabolism,0.0008655425026983473,0.875,8.0
4,S_Cofactor_and_Prosthetic_Group_Biosynthesis__FeS_clusters_metabolism,0.0008655425026983473,0.875,8.0
11,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,0.0009889788920571653,0.7142857142857143,14.0
2,S_Oxidative_Phosphorylation,0.0010241973166062782,0.8,10.0
32,S_Arginine_and_Proline_Metabolism,0.001240477140869254,0.5714285714285714,28.0
75,S_Alternate_Carbon__Ribose_Metabolism,0.0018067383975987293,1.0,5.0
63,S_Cell_Envelope_Biosynthesis__Biosynthesis_of_L_glycero_D_manno_heptose__Hep_,0.0018067383975987293,1.0,5.0
72,S_Urea_cycleamino_group_metabolism,0.0027051696952076093,0.8571428571428571,7.0
0,S_Pentose_Phosphate_Pathway,0.0027051696952076093,0.8571428571428571,7.0
34,S_Glycolysis,0.0036227487780118943,0.6111111111111112,18.0
23,S_Alanine_and_Aspartate_Metabolism,0.00822405127273539,0.75,8.0
9,S_Starch_and_Sucrose_Metabolism,0.010060612934533619,0.6,15.0
78,S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis,0.010060612934533619,0.6,15.0
43,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,0.015868249484819963,0.43137254901960786,51.0
79,S_Heavy_Metal_Tolerance,0.043858513968247206,0.4375,32.0
73,S_Valine__Leucine__and_Isoleucine_Metabolism,0.04540245359159233,0.42857142857142855,35.0
13,S_Cofactor_and_Prosthetic_Group_Biosynthesis,0.07143759047166666,0.75,4.0
55,Biomass and maintenance functions,0.07143759047166666,0.75,4.0
67,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism,0.09045243825089751,0.39473684210526316,38.0
44,S_Lysine_Metabolism,0.11216123327286227,0.3939393939393939,33.0
46,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Vitamin_B6_Metabolism,0.1226262676824776,0.5,10.0
64,S_Methionine_Metabolism,0.17856965453453386,0.42857142857142855,14.0
1,S_Formaldehyde_Metabolism,0.22509569035333865,0.5,6.0
49,S_Alternate_Carbon_and_Nitrogen_source__Ectoine_Metabolism,0.3188034439151609,0.5,4.0
61,S_Glycerophospholipid_Metabolism,0.38063692003816474,0.2967741935483871,155.0
77,S_Cysteine_Metabolism,0.4054854038561353,0.375,8.0
12,Intracellular source/sink,0.48630318847714055,0.5,2.0
19,S_Pyruvate_Metabolism,0.5430363247390296,0.3333333333333333,6.0
17,S_Nucleotide_Salvage_Pathway,0.5430363247390296,0.3333333333333333,6.0
65,S_Butanoate_Metabolism,0.5430363247390296,0.3333333333333333,6.0
57,S_Aromatic_Compounds_Degradation__Homogentisate_pathway,0.5430363247390296,0.3333333333333333,6.0
69,S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism,0.6524786703886324,0.26666666666666666,15.0
52,S_Alternate_Carbon__Propanoate_Metabolism,0.9030727393410188,0.14285714285714285,7.0
14,S_Iron_uptake_and_metabolism,0.9050241669665489,0.2236842105263158,76.0
51,S_PHAs_Metabolism,0.9205607665384371,0.23684210526315788,152.0
3,S_Sulfur_Metabolism,0.9258409305003753,0.17391304347826086,23.0
10,S_Alternate_Carbon,0.9869567084035473,0.07692307692307693,13.0
48,Unassigned,0.9904608381174894,0.14285714285714285,42.0
80,S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,0.995332681184316,0.125,40.0
59,S_tRNA_Charging,0.9953567931913855,0.08695652173913043,23.0
76,Intracellular demand,0.9972836865341794,0.0967741935483871,31.0
68,S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway,0.9981051573764362,0.07692307692307693,26.0
83,S_Transport__ABC_system,0.9995473711719834,0.1678832116788321,137.0
58,S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism,0.9996742381250144,0.041666666666666664,24.0
41,S_Aromatic_Compounds_Degradation__Toluene_Pathway,0.9999567712946503,0.03333333333333333,30.0
60,S_Transport__Inner_Membrane,0.9999999830628598,0.1336405529953917,217.0
66,S_Fatty_Acid_Metabolism,0.9999999999999343,0.08571428571428572,210.0
84,S_Transport__solvent_extrusion,1.0,0.0,26.0
6,S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,1.0,0.0,9.0
86,S_Alternate_Carbon_and_Nitrogen_source__Hydroxy_proline_metabolism,1.0,0.0,3.0
30,S_Alternate_Carbon__Butanediol_Metabolism,1.0,0.0,2.0
70,S_Phosphonate_and_phosphinate_metabolism,1.0,0.0,4.0
33,S_Cell_Envelope_Biosynthesis__Cellulose_Metabolism,1.0,0.0,3.0
29,S_Plant_growth_promoting,1.0,0.0,4.0
36,Murein Recycling,1.0,0.0,2.0
37,S_Alginate_biosynthesis,1.0,0.0,40.0
38,S_Alternate_Carbon__Levulinate_Metabolism,1.0,0.0,8.0
27,S_Aromatic_Compounds_Degradation__Phenylacetyl_CoA_Catabolom,1.0,0.0,13.0
16,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Queuosine_biosynthesis,1.0,0.0,13.0
40,S_Alternate_Carbon__Fructose_Metabolism,1.0,0.0,3.0
89,S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,1.0,0.0,15.0
24,S_Aromatic_Compounds_Degradation__Gallic_acid_Metabolism,1.0,0.0,4.0
22,S_Transport__Outer_Membrane,1.0,0.0695364238410596,302.0
21,S_Xenobiotic_tolerance,1.0,0.0,11.0
31,S_Aromatic_Compounds_Degradation__Nicotinic_acid_pathway,1.0,0.0,6.0
62,S_Nitrogen_Metabolism,1.0,0.0,4.0
25,Extracellular exchange,1.0,0.06321839080459771,348.0
90,Aliphatic open-chain ketones metabolism,1.0,0.0,5.0
