,Subsystem,p-Value,recall,target_lenght
37,S_Alginate_biosynthesis,4.770911158406243e-23,1.0,40.0
83,S_Transport__ABC_system,5.054617406182536e-18,0.6277372262773723,137.0
66,S_Fatty_Acid_Metabolism,9.914628459378702e-13,0.5047619047619047,210.0
59,S_tRNA_Charging,3.136416374169219e-10,0.9130434782608695,23.0
58,S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism,1.8478806524420301e-09,0.875,24.0
84,S_Transport__solvent_extrusion,2.7730673689249376e-09,0.8461538461538461,26.0
16,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Queuosine_biosynthesis,6.513707828165512e-08,1.0,13.0
6,S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,1.0760872393006398e-05,1.0,9.0
38,S_Alternate_Carbon__Levulinate_Metabolism,3.8493856023511846e-05,1.0,8.0
68,S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway,7.98426776568502e-05,0.6538461538461539,26.0
21,S_Xenobiotic_tolerance,0.00033204297677164426,0.8181818181818182,11.0
90,Aliphatic open-chain ketones metabolism,0.0017527774435681348,1.0,5.0
48,Unassigned,0.0020735819734540883,0.5,42.0
89,S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,0.0021087024503218406,0.6666666666666666,15.0
79,S_Heavy_Metal_Tolerance,0.0023960644773465133,0.53125,32.0
10,S_Alternate_Carbon,0.0024323220564979376,0.6923076923076923,13.0
24,S_Aromatic_Compounds_Degradation__Gallic_acid_Metabolism,0.00624801032628007,1.0,4.0
62,S_Nitrogen_Metabolism,0.00624801032628007,1.0,4.0
29,S_Plant_growth_promoting,0.00624801032628007,1.0,4.0
27,S_Aromatic_Compounds_Degradation__Phenylacetyl_CoA_Catabolom,0.012035563416638998,0.6153846153846154,13.0
3,S_Sulfur_Metabolism,0.012496901946535195,0.5217391304347826,23.0
86,S_Alternate_Carbon_and_Nitrogen_source__Hydroxy_proline_metabolism,0.02225235346412049,1.0,3.0
40,S_Alternate_Carbon__Fructose_Metabolism,0.02225235346412049,1.0,3.0
61,S_Glycerophospholipid_Metabolism,0.024803741582952312,0.3548387096774194,155.0
60,S_Transport__Inner_Membrane,0.02724669689470214,0.34101382488479265,217.0
43,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,0.029870506463210145,0.4117647058823529,51.0
19,S_Pyruvate_Metabolism,0.056566311875815345,0.6666666666666666,6.0
70,S_Phosphonate_and_phosphinate_metabolism,0.07026538287764177,0.75,4.0
30,S_Alternate_Carbon__Butanediol_Metabolism,0.07918264462597621,1.0,2.0
36,Murein Recycling,0.07918264462597621,1.0,2.0
46,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Vitamin_B6_Metabolism,0.12002260322668867,0.5,10.0
80,S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,0.12693977548901403,0.375,40.0
64,S_Methionine_Metabolism,0.174680373157665,0.42857142857142855,14.0
