,Subsystem,p-Value,recall,target_lenght
29,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,6.288225094855028e-24,1.0,1.0
28,S_Purine_Metabolism,1.6134355403041382e-22,0.6666666666666666,0.6666666666666666
35,S_Iron_uptake_and_metabolism,1.847255105610384e-17,0.5961538461538461,0.5961538461538461
19,S_Gluconeogenesis,3.4896624966673324e-15,1.0,1.0
24,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,9.54329929122589e-15,0.7241379310344828,0.7241379310344828
51,S_Oxidative_Phosphorylation,1.7461461395157304e-14,0.5625,0.5625
40,S_Pyrimidine_Metabolism,2.858075290960879e-14,0.7,0.7
17,S_TCA_Cycle,6.487620972939288e-14,0.7142857142857143,0.7142857142857143
76,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,3.011425485298623e-13,1.0,1.0
77,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis,3.011425485298623e-13,1.0,1.0
18,S_Cell_Envelope_Biosynthesis,1.1866815739339668e-12,0.8,0.8
57,S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,3.794255061102245e-12,0.9285714285714286,0.9285714285714286
5,S_Lysine_Metabolism,7.008738033106097e-12,0.6060606060606061,0.6060606060606061
30,S_Glycine__Serine_and_threonine_metabolism,4.365392075553684e-11,0.6956521739130435,0.6956521739130435
10,S_Glycerophospholipid_Metabolism,4.604266732806382e-11,0.6206896551724138,0.6206896551724138
27,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Thiamine_Metabolism,2.3872757308961274e-10,1.0,1.0
58,S_Formaldehyde_Metabolism,2.7928991577553555e-10,0.9166666666666666,0.9166666666666666
25,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,2.7928991577553555e-10,0.9166666666666666,0.9166666666666666
36,S_Arginine_and_Proline_Metabolism,5.811367417229785e-10,0.5862068965517241,0.5862068965517241
33,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Riboflavin_Metabolism,2.2028765257687704e-09,1.0,1.0
49,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Terpenoid_backbone_biosynthesis,2.367675483627697e-09,0.9090909090909091,0.9090909090909091
56,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Ubiquinone_biosynthesis,2.367675483627697e-09,0.9090909090909091,0.9090909090909091
61,S_Cofactor_and_Prosthetic_Group_Biosynthesis__One_Carbon_pool_by_folate,2.367675483627697e-09,0.9090909090909091,0.9090909090909091
55,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis,6.878094434746826e-09,0.7857142857142857,0.7857142857142857
59,S_Histidine_Metabolism,1.0227936975379663e-08,0.7058823529411765,0.7058823529411765
9,S_Transport__Inner_Membrane,1.821491526263629e-08,0.2868217054263566,0.2868217054263566
