,Subsystem,p-Value,recall,target_lenght
9,S_Transport__Inner_Membrane,1.327721160550181e-31,0.3643410852713178,0.3643410852713178
1,S_Transport__ABC_system,3.2827101193729466e-27,0.29936305732484075,0.29936305732484075
34,S_Sulfur_Metabolism,1.4866602550140873e-10,0.55,0.55
26,Unassigned,2.2767225032590766e-10,0.32,0.32
2,S_Transport__Outer_Membrane,2.15155387654459e-09,0.3611111111111111,0.3611111111111111
75,S_Xenobiotic_tolerance,9.896878613831022e-08,0.6363636363636364,0.6363636363636364
44,S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway,1.868328623884869e-07,0.35714285714285715,0.35714285714285715
10,S_Glycerophospholipid_Metabolism,3.0375512426625584e-06,0.3103448275862069,0.3103448275862069
84,Murein Recycling,4.0474798674541474e-06,1.0,1.0
8,S_Fatty_Acid_Metabolism,4.1722169680193684e-06,0.34782608695652173,0.34782608695652173
23,S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,1.9498385846950336e-05,0.5555555555555556,0.5555555555555556
24,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,2.8835972998904874e-05,0.27586206896551724,0.27586206896551724
39,S_Heavy_Metal_Tolerance,3.330543528800246e-05,0.3181818181818182,0.3181818181818182
3,S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism,5.647639664556529e-05,0.6666666666666666,0.6666666666666666
37,S_tRNA_Charging,0.00010997727268758944,0.2692307692307692,0.2692307692307692
28,S_Purine_Metabolism,0.00012049442394803713,0.18518518518518517,0.18518518518518517
46,S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,0.0013846255298925615,0.16326530612244897,0.16326530612244897
54,S_Methionine_Metabolism,0.0028280488721042388,0.2857142857142857,0.2857142857142857
21,S_Alginate_biosynthesis,0.00309435516221369,0.21739130434782608,0.21739130434782608
71,S_Butanoate_Metabolism,0.006223178936335985,0.3333333333333333,0.3333333333333333
40,S_Pyrimidine_Metabolism,0.010132991439617984,0.16666666666666666,0.16666666666666666
85,S_Alternate_Carbon__Levulinate_Metabolism,0.018517806803832762,0.4,0.4
