,Subsystem,p-Value,recall,target_lenght
77,S_Fatty_Acid__Biosynthesis,2.8812006533439087e-19,0.76,75.0
54,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,2.373990239136942e-09,1.0,15.0
5,S_Pyrimidine_Metabolism,5.665621298057025e-09,0.66,50.0
55,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Terpenoid_backbone_biosynthesis,8.981082554033649e-09,1.0,14.0
32,S_Purine_Metabolism,1.2039291916682246e-08,0.5714285714285714,77.0
13,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,3.5815794819954264e-07,0.7407407407407407,27.0
83,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis,1.8221688191693574e-06,1.0,10.0
42,S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,2.0288488996622235e-06,0.8666666666666667,15.0
50,S_Glutamate_Metabolism,2.61349204342981e-06,0.8235294117647058,17.0
90,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Riboflavin_Metabolism,6.860759502369269e-06,1.0,9.0
68,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Nicotinamide_Biosynthesis,2.1624762131787565e-05,0.8461538461538461,13.0
22,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Ubiquinone_biosynthesis,5.2208075651168495e-05,0.9,10.0
85,S_Oxidative_Phosphorylation,5.2208075651168495e-05,0.9,10.0
78,S_TCA_Cycle,6.398679943371251e-05,0.7,20.0
75,S_Gluconeogenesis,6.929291717693091e-05,0.8333333333333334,12.0
81,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis,7.649057957221678e-05,0.7857142857142857,14.0
47,S_Cell_Envelope_Biosynthesis__LPS_Biosynthesis,7.649057957221678e-05,0.7857142857142857,14.0
59,S_Inorganic_polyphosphates_metabolism,9.698540912585817e-05,1.0,7.0
36,S_Histidine_Metabolism,0.00019633101284793393,0.7058823529411765,17.0
57,S_Glycine__Serine_and_threonine_metabolism,0.00021756334738162804,0.7333333333333333,15.0
8,S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis,0.00021756334738162804,0.7333333333333333,15.0
4,S_Cell_Envelope_Biosynthesis,0.00022818676732740874,0.7692307692307693,13.0
72,S_Cofactor_and_Prosthetic_Group_Biosynthesis___Pyrroloquinoline_quinone_biosynthesis,0.0003641315939031257,1.0,6.0
51,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Thiamine_Metabolism,0.0005952313414193507,0.875,8.0
43,S_Cofactor_and_Prosthetic_Group_Biosynthesis__FeS_clusters_metabolism,0.0005952313414193507,0.875,8.0
21,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,0.0006074272367153882,0.7142857142857143,14.0
41,S_Cell_Envelope_Biosynthesis__Biosynthesis_of_L_glycero_D_manno_heptose__Hep_,0.0013658440531257158,1.0,5.0
6,S_Cofactor_and_Prosthetic_Group_Biosynthesis__One_Carbon_pool_by_folate,0.0019670087025667306,0.8571428571428571,7.0
34,S_Glycolysis,0.002223174513514895,0.6111111111111112,18.0
28,S_Alanine_and_Aspartate_Metabolism,0.006082340786008866,0.75,8.0
64,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,0.00801330651828978,0.43137254901960786,51.0
29,S_Valine__Leucine__and_Isoleucine_Metabolism,0.011945868255760342,0.45714285714285713,35.0
60,S_Pentose_Phosphate_Pathway,0.017392900465918515,0.7142857142857143,7.0
25,S_Urea_cycleamino_group_metabolism,0.017392900465918515,0.7142857142857143,7.0
46,S_Alternate_Carbon__Ribose_Metabolism,0.020128688962410397,0.8,5.0
40,S_Heavy_Metal_Tolerance,0.027822012935102673,0.4375,32.0
9,S_Glyoxylate_and_dicarboxylate_metabolism,0.04689293810188338,0.5454545454545454,11.0
52,S_Arginine_and_Proline_Metabolism,0.04756753672633246,0.42857142857142855,28.0
65,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism,0.059319476517665275,0.39473684210526316,38.0
73,Biomass and maintenance functions,0.06129643676849262,0.75,4.0
10,S_Glycerophospholipid_Metabolism,0.09789209301144251,0.3161290322580645,155.0
27,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Vitamin_B6_Metabolism,0.10035451798919567,0.5,10.0
