,Subsystem,p-Value,recall,target_lenght
31,S_Alginate_biosynthesis,3.4855647608269127e-22,1.0,40.0
30,S_Transport__ABC_system,6.557414896005772e-16,0.6204379562043796,137.0
3,S_Fatty_Acid_Metabolism,3.0882518709662533e-11,0.5047619047619047,210.0
63,S_tRNA_Charging,8.484202595234061e-10,0.9130434782608695,23.0
76,S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism,4.90750753183673e-09,0.875,24.0
89,S_Transport__solvent_extrusion,7.597988825493089e-09,0.8461538461538461,26.0
12,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Queuosine_biosynthesis,1.2301326916403464e-07,1.0,13.0
79,S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,1.6693714218367846e-05,1.0,9.0
16,S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway,3.1067228626454925e-05,0.6923076923076923,26.0
26,S_Alternate_Carbon__Levulinate_Metabolism,5.685992042405569e-05,1.0,8.0
88,S_Aromatic_Compounds_Degradation__Phenylacetyl_CoA_Catabolom,5.996534770013079e-05,0.8461538461538461,13.0
70,S_Xenobiotic_tolerance,0.000497931346114258,0.8181818181818182,11.0
67,S_Aromatic_Compounds_Degradation__Nicotinic_acid_pathway,0.000658021682488863,1.0,6.0
40,S_Heavy_Metal_Tolerance,0.001383100184316338,0.5625,32.0
17,Unassigned,0.0014963064628368032,0.5238095238095238,42.0
24,Aliphatic open-chain ketones metabolism,0.0022357434374796017,1.0,5.0
65,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism,0.002263804439350354,0.5263157894736842,38.0
80,S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,0.0031560446429529736,0.6666666666666666,15.0
39,S_Alternate_Carbon,0.0035282090014193486,0.6923076923076923,13.0
10,S_Glycerophospholipid_Metabolism,0.004622765984395937,0.3935483870967742,155.0
20,S_Aromatic_Compounds_Degradation__Gallic_acid_Metabolism,0.0075901022854272665,1.0,4.0
84,S_Plant_growth_promoting,0.0075901022854272665,1.0,4.0
14,S_Nitrogen_Metabolism,0.0075901022854272665,1.0,4.0
66,S_Alternate_Carbon__Fructose_Metabolism,0.02574647225358391,1.0,3.0
