,Subsystem,p-Value,recall,target_lenght
29,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,9.534209225411069e-26,1.0,1.0
35,S_Iron_uptake_and_metabolism,1.1756954746754328e-19,0.5961538461538461,0.5961538461538461
24,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,6.8284631450984624e-15,0.6896551724137931,0.6896551724137931
77,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis,3.1859492124126783e-14,1.0,1.0
76,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,3.1859492124126783e-14,1.0,1.0
17,S_TCA_Cycle,5.268041982717527e-14,0.6785714285714286,0.6785714285714286
18,S_Cell_Envelope_Biosynthesis,7.971645118791009e-14,0.8,0.8
40,S_Pyrimidine_Metabolism,3.488940761061263e-13,0.6333333333333333,0.6333333333333333
57,S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,4.085774680836493e-13,0.9285714285714286,0.9285714285714286
51,S_Oxidative_Phosphorylation,3.2756769517420215e-11,0.4583333333333333,0.4583333333333333
25,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,4.262595551882118e-11,0.9166666666666666,0.9166666666666666
5,S_Lysine_Metabolism,5.191715180782815e-11,0.5454545454545454,0.5454545454545454
28,S_Purine_Metabolism,7.403379342699358e-11,0.42592592592592593,0.42592592592592593
56,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Ubiquinone_biosynthesis,4.299868797373157e-10,0.9090909090909091,0.9090909090909091
49,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Terpenoid_backbone_biosynthesis,4.299868797373157e-10,0.9090909090909091,0.9090909090909091
33,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Riboflavin_Metabolism,4.678056917549378e-10,1.0,1.0
10,S_Glycerophospholipid_Metabolism,5.042515279510662e-10,0.5517241379310345,0.5517241379310345
55,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis,1.0869284613310948e-09,0.7857142857142857,0.7857142857142857
59,S_Histidine_Metabolism,1.4066291616514189e-09,0.7058823529411765,0.7058823529411765
58,S_Formaldehyde_Metabolism,2.366791500829789e-09,0.8333333333333334,0.8333333333333334
27,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Thiamine_Metabolism,4.294548885100774e-09,0.9,0.9
32,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism,1.777072185139806e-08,0.45714285714285713,0.45714285714285713
62,S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis,3.021535776621053e-08,0.7142857142857143,0.7142857142857143
70,S_Cell_Envelope_Biosynthesis__LPS_Biosynthesis,5.6078509717423156e-08,1.0,1.0
61,S_Cofactor_and_Prosthetic_Group_Biosynthesis__One_Carbon_pool_by_folate,6.564451040978847e-07,0.7272727272727273,0.7272727272727273
63,S_Pentose_Phosphate_Pathway,3.9499542836720145e-06,0.8571428571428571,0.8571428571428571
54,S_Methionine_Metabolism,9.279000900339987e-06,0.5714285714285714,0.5714285714285714
2,S_Transport__Outer_Membrane,9.87028907454426e-06,0.3611111111111111,0.3611111111111111
38,S_Alanine_and_Aspartate_Metabolism,1.3266677750349537e-05,0.6363636363636364,0.6363636363636364
30,S_Glycine__Serine_and_threonine_metabolism,1.595101080856862e-05,0.43478260869565216,0.43478260869565216
19,S_Gluconeogenesis,1.8280275810323478e-05,0.5333333333333333,0.5333333333333333
36,S_Arginine_and_Proline_Metabolism,2.826962154812622e-05,0.3793103448275862,0.3793103448275862
0,S_Fatty_Acid__Biosynthesis,3.841238877163907e-05,0.4,0.4
80,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Vitamin_B6_Metabolism,4.026685474799091e-05,0.6666666666666666,0.6666666666666666
41,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Nicotinamide_Biosynthesis,4.026685474799091e-05,0.6666666666666666,0.6666666666666666
69,S_Cell_Envelope_Biosynthesis__Biosynthesis_of_L_glycero_D_manno_heptose__Hep_,7.262357322481045e-05,1.0,1.0
6,S_Cofactor_and_Prosthetic_Group_Biosynthesis___Pyrroloquinoline_quinone_biosynthesis,7.262357322481045e-05,1.0,1.0
13,S_Valine__Leucine__and_Isoleucine_Metabolism,0.00011617521996408754,0.391304347826087,0.391304347826087
72,S_Cofactor_and_Prosthetic_Group_Biosynthesis__FeS_clusters_metabolism,0.00011957515961851184,0.7142857142857143,0.7142857142857143
11,S_Glycolysis,0.00017081830530226165,0.375,0.375
34,S_Sulfur_Metabolism,0.00023537320083773293,0.4,0.4
15,S_Urea_cycleamino_group_metabolism,0.00030415087362097216,0.4375,0.4375
9,S_Transport__Inner_Membrane,0.0006310567738222567,0.18604651162790697,0.18604651162790697
22,S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism,0.004570725669752468,0.38461538461538464,0.38461538461538464
53,S_Cysteine_Metabolism,0.006262166777968112,0.4444444444444444,0.4444444444444444
68,S_Pyruvate_Metabolism,0.009682132163452315,0.4,0.4
42,S_Alternate_Carbon_and_Nitrogen_source__Ectoine_Metabolism,0.012741869665943551,0.5,0.5
26,Unassigned,0.014614068041227453,0.2,0.2
4,S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,0.020781094431878772,0.42857142857142855,0.42857142857142855
47,S_Glutamate_Metabolism,0.025949974077136957,0.2631578947368421,0.2631578947368421
1,S_Transport__ABC_system,0.03100585765220197,0.14012738853503184,0.14012738853503184
66,S_Cofactor_and_Prosthetic_Group_Biosynthesis,0.07080816108773427,0.4,0.4
67,S_Glyoxylate_and_dicarboxylate_metabolism,0.09236266656353742,0.25,0.25
