,Subsystem,p-Value,recall,target_lenght
9,S_Transport__Inner_Membrane,2.561183824181501e-07,0.06201550387596899,0.06201550387596899
10,S_Glycerophospholipid_Metabolism,3.4862229666578963e-07,0.1724137931034483,0.1724137931034483
4,S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,4.880695984749059e-06,0.42857142857142855,0.42857142857142855
5,S_Lysine_Metabolism,0.0006920945451879836,0.09090909090909091,0.09090909090909091
31,S_Transport__solvent_extrusion,0.004075729246242642,0.1111111111111111,0.1111111111111111
34,S_Sulfur_Metabolism,0.005027609353228214,0.1,0.1
29,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,0.007206265355209678,0.08333333333333333,0.08333333333333333
1,S_Transport__ABC_system,0.009438664250074094,0.025477707006369428,0.025477707006369428
44,S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway,0.00973852455909101,0.07142857142857142,0.07142857142857142
38,S_Alanine_and_Aspartate_Metabolism,0.05778705542212894,0.09090909090909091,0.09090909090909091
52,S_Aromatic_Compounds_Degradation__Phenylacetyl_CoA_Catabolom,0.1026536820250292,0.05,0.05
0,S_Fatty_Acid__Biosynthesis,1.0,0.0,0.0
63,S_Pentose_Phosphate_Pathway,1.0,0.0,0.0
62,S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis,1.0,0.0,0.0
61,S_Cofactor_and_Prosthetic_Group_Biosynthesis__One_Carbon_pool_by_folate,1.0,0.0,0.0
60,S_Alternate_Carbon__Fructose_Metabolism,1.0,0.0,0.0
56,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Ubiquinone_biosynthesis,1.0,0.0,0.0
58,S_Formaldehyde_Metabolism,1.0,0.0,0.0
57,S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,1.0,0.0,0.0
64,S_Aromatic_Compounds_Degradation__Gallic_acid_Metabolism,1.0,0.0,0.0
55,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis,1.0,0.0,0.0
54,S_Methionine_Metabolism,1.0,0.0,0.0
53,S_Cysteine_Metabolism,1.0,0.0,0.0
51,S_Oxidative_Phosphorylation,1.0,0.0,0.0
59,S_Histidine_Metabolism,1.0,0.0,0.0
65,S_Starch_and_Sucrose_Metabolism,1.0,0.0,0.0
68,S_Pyruvate_Metabolism,1.0,0.0,0.0
67,S_Glyoxylate_and_dicarboxylate_metabolism,1.0,0.0,0.0
85,S_Alternate_Carbon__Levulinate_Metabolism,1.0,0.0,0.0
84,Murein Recycling,1.0,0.0,0.0
83,S_Alternate_Carbon__Ribose_Metabolism,1.0,0.0,0.0
82,S_Inorganic_polyphosphates_metabolism,1.0,0.0,0.0
81,S_Phosphonate_and_phosphinate_metabolism,1.0,0.0,0.0
80,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Vitamin_B6_Metabolism,1.0,0.0,0.0
79,S_Nucleotide_Salvage_Pathway,1.0,0.0,0.0
78,S_Nitrogen_Metabolism,1.0,0.0,0.0
66,S_Cofactor_and_Prosthetic_Group_Biosynthesis,1.0,0.0,0.0
77,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis,1.0,0.0,0.0
75,S_Xenobiotic_tolerance,1.0,0.0,0.0
74,S_Aromatic_Compounds_Degradation__Nicotinic_acid_pathway,1.0,0.0,0.0
73,S_Plant_growth_promoting,1.0,0.0,0.0
72,S_Cofactor_and_Prosthetic_Group_Biosynthesis__FeS_clusters_metabolism,1.0,0.0,0.0
71,S_Butanoate_Metabolism,1.0,0.0,0.0
70,S_Cell_Envelope_Biosynthesis__LPS_Biosynthesis,1.0,0.0,0.0
69,S_Cell_Envelope_Biosynthesis__Biosynthesis_of_L_glycero_D_manno_heptose__Hep_,1.0,0.0,0.0
50,S_Cell_Envelope_Biosynthesis__Cellulose_Metabolism,1.0,0.0,0.0
76,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,1.0,0.0,0.0
49,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Terpenoid_backbone_biosynthesis,1.0,0.0,0.0
43,S_Aromatic_Compounds_Degradation__Toluene_Pathway,1.0,0.0,0.0
47,S_Glutamate_Metabolism,1.0,0.0,0.0
21,S_Alginate_biosynthesis,1.0,0.0,0.0
20,S_Alternate_Carbon__Propanoate_Metabolism,1.0,0.0,0.0
19,S_Gluconeogenesis,1.0,0.0,0.0
18,S_Cell_Envelope_Biosynthesis,1.0,0.0,0.0
17,S_TCA_Cycle,1.0,0.0,0.0
16,S_Alternate_Carbon,1.0,0.0,0.0
15,S_Urea_cycleamino_group_metabolism,1.0,0.0,0.0
22,S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism,1.0,0.0,0.0
14,S_PHAs_Metabolism,1.0,0.0,0.0
12,S_Aromatic_Compounds_Degradation__Homogentisate_pathway,1.0,0.0,0.0
11,S_Glycolysis,1.0,0.0,0.0
8,S_Fatty_Acid_Metabolism,1.0,0.0,0.0
7,S_Alternate_Carbon_and_Nitrogen_source__Hydroxy_proline_metabolism,1.0,0.0,0.0
6,S_Cofactor_and_Prosthetic_Group_Biosynthesis___Pyrroloquinoline_quinone_biosynthesis,1.0,0.0,0.0
