,Subsystem,p-Value,recall,target_lenght
67,S_PHAs_Metabolism,2.4285443791725553e-57,0.9736842105263158,152.0
34,S_Fatty_Acid__Biosynthesis,6.296878139255485e-19,0.88,75.0
39,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,7.158055146194598e-09,0.9259259259259259,27.0
90,S_Purine_Metabolism,2.1040710716490357e-08,0.7012987012987013,77.0
56,S_Pyrimidine_Metabolism,9.126428727873817e-08,0.76,50.0
53,S_Glutamate_Metabolism,1.0456439147126981e-07,1.0,17.0
58,S_Histidine_Metabolism,1.0456439147126981e-07,1.0,17.0
17,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,6.984817830737755e-07,1.0,15.0
73,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Terpenoid_backbone_biosynthesis,1.8037920515016917e-06,1.0,14.0
86,S_TCA_Cycle,3.089075403048877e-06,0.9,20.0
11,S_Arginine_and_Proline_Metabolism,3.4113966145539895e-06,0.8214285714285714,28.0
28,S_Gluconeogenesis,1.2009977394821429e-05,1.0,12.0
64,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis,4.173006607012637e-05,0.9285714285714286,14.0
68,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis,7.979158773231728e-05,1.0,10.0
66,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Nicotinamide_Biosynthesis,0.00010026168092726563,0.9230769230769231,13.0
4,S_Glycolysis,0.0001479337433382202,0.8333333333333334,18.0
22,S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,0.0002006676127642463,0.8666666666666667,15.0
89,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Riboflavin_Metabolism,0.00020550031156478545,1.0,9.0
42,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Ubiquinone_biosynthesis,0.0013368788260569987,0.9,10.0
43,S_Inorganic_polyphosphates_metabolism,0.001360882141587781,1.0,7.0
