,Subsystem,p-Value,recall,target_lenght
55,S_Transport__ABC_system,1.854597882517309e-16,0.635036496350365,137.0
84,S_Alginate_biosynthesis,5.187214876857766e-14,0.875,40.0
8,S_Transport__solvent_extrusion,1.5509376505712624e-12,0.9615384615384616,26.0
62,S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway,4.669881593109141e-11,0.9230769230769231,26.0
57,S_Fatty_Acid_Metabolism,1.5907796951265645e-10,0.5047619047619047,210.0
80,S_tRNA_Charging,1.3854720007101883e-09,0.9130434782608695,23.0
74,S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism,7.937768925885379e-09,0.875,24.0
88,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Queuosine_biosynthesis,1.6839069690682958e-07,1.0,13.0
16,S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,2.073684610103021e-05,1.0,9.0
65,S_Aromatic_Compounds_Degradation__Phenylacetyl_CoA_Catabolom,7.679035131788642e-05,0.8461538461538461,13.0
82,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism,0.0003427715911741988,0.5789473684210527,38.0
50,S_Glycerophospholipid_Metabolism,0.0005690367564880385,0.4258064516129032,155.0
15,S_Aromatic_Compounds_Degradation__Nicotinic_acid_pathway,0.0007601952381048111,1.0,6.0
87,S_Alternate_Carbon__Levulinate_Metabolism,0.001349579793772674,0.875,8.0
31,Unassigned,0.0021150460631708663,0.5238095238095238,42.0
49,Aliphatic open-chain ketones metabolism,0.002521328587675662,1.0,5.0
41,S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,0.0038435663025393435,0.6666666666666666,15.0
37,S_Alternate_Carbon,0.004232748248921849,0.6923076923076923,13.0
46,S_Plant_growth_promoting,0.008355831589315143,1.0,4.0
77,S_Nitrogen_Metabolism,0.008355831589315143,1.0,4.0
59,S_Aromatic_Compounds_Degradation__Gallic_acid_Metabolism,0.008355831589315143,1.0,4.0
29,S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,0.015678267053982967,0.475,40.0
63,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,0.01713120976889112,0.45098039215686275,51.0
71,S_Alternate_Carbon__Fructose_Metabolism,0.027669820574357275,1.0,3.0
13,S_Alternate_Carbon_and_Nitrogen_source__Hydroxy_proline_metabolism,0.027669820574357275,1.0,3.0
20,S_Transport__Inner_Membrane,0.04976284050930797,0.3548387096774194,217.0
83,S_Sulfur_Metabolism,0.05722771704228745,0.4782608695652174,23.0
24,S_Pyruvate_Metabolism,0.0724275401165594,0.6666666666666666,6.0
6,S_Xenobiotic_tolerance,0.08092777573072735,0.5454545454545454,11.0
48,S_Phosphonate_and_phosphinate_metabolism,0.08561178752948369,0.75,4.0
75,Murein Recycling,0.09155455337103513,1.0,2.0
52,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Vitamin_B6_Metabolism,0.15455576449530412,0.5,10.0
60,S_Methionine_Metabolism,0.22587720563062014,0.42857142857142855,14.0
1,S_Nucleotide_Salvage_Pathway,0.2605498667432399,0.5,6.0
79,S_Alternate_Carbon_and_Nitrogen_source__Ectoine_Metabolism,0.3530362503992979,0.5,4.0
5,S_Heavy_Metal_Tolerance,0.3681692707712753,0.34375,32.0
21,S_Transport__Outer_Membrane,0.4927630913664713,0.304635761589404,302.0
54,S_Alternate_Carbon__Butanediol_Metabolism,0.5138434650778886,0.5,2.0
45,S_Formaldehyde_Metabolism,0.5858269891967252,0.3333333333333333,6.0
61,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,0.6535102011158804,0.2857142857142857,14.0
69,S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis,0.7115472675257434,0.26666666666666666,15.0
33,S_Starch_and_Sucrose_Metabolism,0.7115472675257434,0.26666666666666666,15.0
7,S_Alanine_and_Aspartate_Metabolism,0.750371513608708,0.25,8.0
76,S_Cysteine_Metabolism,0.750371513608708,0.25,8.0
44,S_Cofactor_and_Prosthetic_Group_Biosynthesis,0.7637921673797509,0.25,4.0
3,S_Cell_Envelope_Biosynthesis,0.803945544828163,0.23076923076923078,13.0
27,S_Lysine_Metabolism,0.9121844090637237,0.21212121212121213,33.0
32,S_Alternate_Carbon__Propanoate_Metabolism,0.9200926134331755,0.14285714285714285,7.0
12,S_Cofactor_and_Prosthetic_Group_Biosynthesis__FeS_clusters_metabolism,0.9443384848366709,0.125,8.0
25,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Thiamine_Metabolism,0.9443384848366709,0.125,8.0
2,S_Cell_Envelope_Biosynthesis__LPS_Biosynthesis,0.9548914157249897,0.14285714285714285,14.0
56,S_Pyrimidine_Metabolism,0.964307127009421,0.2,50.0
26,S_Glycine__Serine_and_threonine_metabolism,0.9666701119258622,0.13333333333333333,15.0
22,S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,0.9666701119258622,0.13333333333333333,15.0
42,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Ubiquinone_biosynthesis,0.97300416756368,0.1,10.0
18,S_Iron_uptake_and_metabolism,0.9744475676138211,0.21052631578947367,76.0
38,S_Glyoxylate_and_dicarboxylate_metabolism,0.9812037930482804,0.09090909090909091,11.0
66,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Nicotinamide_Biosynthesis,0.9908920167282858,0.07692307692307693,13.0
14,S_Valine__Leucine__and_Isoleucine_Metabolism,0.9919426438979831,0.14285714285714285,35.0
19,S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism,0.9955892352858734,0.06666666666666667,15.0
90,S_Purine_Metabolism,0.9978586377840691,0.16883116883116883,77.0
86,S_TCA_Cycle,0.9992820384047554,0.05,20.0
35,S_Aromatic_Compounds_Degradation__Toluene_Pathway,0.9997327144547822,0.06666666666666667,30.0
39,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,0.9999438212216508,0.037037037037037035,27.0
11,S_Arginine_and_Proline_Metabolism,0.9999609848070361,0.03571428571428571,28.0
34,S_Fatty_Acid__Biosynthesis,0.9999890600099409,0.10666666666666667,75.0
4,S_Glycolysis,1.0,0.0,18.0
9,S_Cell_Envelope_Biosynthesis__Biosynthesis_of_L_glycero_D_manno_heptose__Hep_,1.0,0.0,5.0
85,S_Urea_cycleamino_group_metabolism,1.0,0.0,7.0
10,Intracellular source/sink,1.0,0.0,2.0
17,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,1.0,0.0,15.0
81,S_Alternate_Carbon__Ribose_Metabolism,1.0,0.0,5.0
23,Extracellular exchange,1.0,0.0028735632183908046,348.0
28,S_Gluconeogenesis,1.0,0.0,12.0
78,S_Aromatic_Compounds_Degradation__Homogentisate_pathway,1.0,0.0,6.0
30,S_Cell_Envelope_Biosynthesis__Cellulose_Metabolism,1.0,0.0,3.0
53,S_Glutamate_Metabolism,1.0,0.0,17.0
36,Intracellular demand,1.0,0.0,31.0
