,Subsystem,p-Value,recall,target_lenght
28,S_Purine_Metabolism,8.104809797500232e-30,0.7962962962962963,0.7962962962962963
29,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,1.2272596136421331e-22,1.0,1.0
40,S_Pyrimidine_Metabolism,5.967309141451125e-22,0.9,0.9
35,S_Iron_uptake_and_metabolism,4.5644147351741e-18,0.6346153846153846,0.6346153846153846
51,S_Oxidative_Phosphorylation,2.2853072575670264e-17,0.6458333333333334,0.6458333333333334
59,S_Histidine_Metabolism,3.25978323531857e-16,1.0,1.0
5,S_Lysine_Metabolism,1.5700924264595737e-15,0.7272727272727273,0.7272727272727273
24,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,1.1302678375335128e-13,0.7241379310344828,0.7241379310344828
30,S_Glycine__Serine_and_threonine_metabolism,7.235294267619322e-13,0.782608695652174,0.782608695652174
8,S_Fatty_Acid_Metabolism,7.235294267619322e-13,0.782608695652174,0.782608695652174
77,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis,1.4849269029038188e-12,1.0,1.0
76,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,1.4849269029038188e-12,1.0,1.0
18,S_Cell_Envelope_Biosynthesis,8.000634494720012e-12,0.8,0.8
57,S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,1.8434654595534313e-11,0.9285714285714286,0.9285714285714286
10,S_Glycerophospholipid_Metabolism,2.8331426950812306e-11,0.6551724137931034,0.6551724137931034
46,S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,4.916509277928644e-11,0.5102040816326531,0.5102040816326531
61,S_Cofactor_and_Prosthetic_Group_Biosynthesis__One_Carbon_pool_by_folate,9.944495105549957e-11,1.0,1.0
19,S_Gluconeogenesis,1.2260981879793398e-10,0.8666666666666667,0.8666666666666667
27,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Thiamine_Metabolism,8.12231262003301e-10,1.0,1.0
55,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis,8.711959544824348e-10,0.8571428571428571,0.8571428571428571
25,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,1.0595821032056084e-09,0.9166666666666666,0.9166666666666666
58,S_Formaldehyde_Metabolism,1.0595821032056084e-09,0.9166666666666666,0.9166666666666666
17,S_TCA_Cycle,1.8385582978618396e-09,0.6071428571428571,0.6071428571428571
33,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Riboflavin_Metabolism,6.625469398573179e-09,1.0,1.0
53,S_Cysteine_Metabolism,6.625469398573179e-09,1.0,1.0
56,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Ubiquinone_biosynthesis,7.940094371481314e-09,0.9090909090909091,0.9090909090909091
38,S_Alanine_and_Aspartate_Metabolism,7.940094371481314e-09,0.9090909090909091,0.9090909090909091
49,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Terpenoid_backbone_biosynthesis,7.940094371481314e-09,0.9090909090909091,0.9090909090909091
54,S_Methionine_Metabolism,2.5346324396597172e-08,0.7857142857142857,0.7857142857142857
36,S_Arginine_and_Proline_Metabolism,3.7679491686236207e-08,0.5517241379310345,0.5517241379310345
9,S_Transport__Inner_Membrane,1.4475939548158226e-07,0.29457364341085274,0.29457364341085274
32,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism,1.662969698742879e-07,0.4857142857142857,0.4857142857142857
0,S_Fatty_Acid__Biosynthesis,2.1469062886912227e-07,0.56,0.56
47,S_Glutamate_Metabolism,2.656868868188066e-07,0.631578947368421,0.631578947368421
80,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Vitamin_B6_Metabolism,4.327733295713169e-07,0.8888888888888888,0.8888888888888888
71,S_Butanoate_Metabolism,4.327733295713169e-07,0.8888888888888888,0.8888888888888888
41,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Nicotinamide_Biosynthesis,4.327733295713169e-07,0.8888888888888888,0.8888888888888888
63,S_Pentose_Phosphate_Pathway,4.391513356126202e-07,1.0,1.0
70,S_Cell_Envelope_Biosynthesis__LPS_Biosynthesis,4.391513356126202e-07,1.0,1.0
62,S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis,5.074793600792992e-07,0.7142857142857143,0.7142857142857143
26,Unassigned,1.4652066301664262e-05,0.36,0.36
67,S_Glyoxylate_and_dicarboxylate_metabolism,1.6847586988589564e-05,0.6666666666666666,0.6666666666666666
