,Subsystem,p-Value,recall,target_lenght
11,S_Fatty_Acid__Biosynthesis,2.998851117902258e-22,0.8666666666666667,75.0
37,S_PHAs_Metabolism,4.634484501695023e-16,0.6447368421052632,152.0
45,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,5.9373561647036056e-08,1.0,15.0
41,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Terpenoid_backbone_biosynthesis,1.8091546556256905e-07,1.0,14.0
28,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis,1.8091546556256905e-07,1.0,14.0
79,S_TCA_Cycle,1.8910326572634312e-07,0.9,20.0
21,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Ubiquinone_biosynthesis,1.5486756229230075e-05,1.0,10.0
62,S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,2.7966385324321698e-05,0.8666666666666667,15.0
57,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Riboflavin_Metabolism,4.7024302473354186e-05,1.0,9.0
81,S_Pyrimidine_Metabolism,0.00023538572340345062,0.58,50.0
59,S_Oxidative_Phosphorylation,0.0003308622186704712,0.9,10.0
73,S_Purine_Metabolism,0.0004263599937637234,0.5194805194805194,77.0
16,S_Cofactor_and_Prosthetic_Group_Biosynthesis__One_Carbon_pool_by_folate,0.0004326512367639943,1.0,7.0
40,S_Gluconeogenesis,0.0005027042963949033,0.8333333333333334,12.0
58,S_Cell_Envelope_Biosynthesis__LPS_Biosynthesis,0.0006346140237701154,0.7857142857142857,14.0
48,S_Glyoxylate_and_dicarboxylate_metabolism,0.0012825025410591589,0.8181818181818182,11.0
18,S_Cofactor_and_Prosthetic_Group_Biosynthesis___Pyrroloquinoline_quinone_biosynthesis,0.0013109691520618541,1.0,6.0
63,S_Cell_Envelope_Biosynthesis,0.0015310214327549031,0.7692307692307693,13.0
12,S_Glutamate_Metabolism,0.0017198351802780584,0.7058823529411765,17.0
7,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Thiamine_Metabolism,0.002462407843760555,0.875,8.0
70,S_Cofactor_and_Prosthetic_Group_Biosynthesis__FeS_clusters_metabolism,0.002462407843760555,0.875,8.0
22,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,0.0037720399552168744,0.7142857142857143,14.0
14,S_Cell_Envelope_Biosynthesis__Biosynthesis_of_L_glycero_D_manno_heptose__Hep_,0.003969587422098174,1.0,5.0
64,S_Alternate_Carbon__Ribose_Metabolism,0.003969587422098174,1.0,5.0
44,S_Inorganic_polyphosphates_metabolism,0.006580876643849013,0.8571428571428571,7.0
8,S_Pentose_Phosphate_Pathway,0.006580876643849013,0.8571428571428571,7.0
4,S_Starch_and_Sucrose_Metabolism,0.007978969474005428,0.6666666666666666,15.0
5,S_Glycolysis,0.013525926869552717,0.6111111111111112,18.0
15,S_Butanoate_Metabolism,0.017262678772279775,0.8333333333333334,6.0
74,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis,0.0188379733151502,0.7,10.0
33,S_Alanine_and_Aspartate_Metabolism,0.01893628304411439,0.75,8.0
47,S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis,0.029341941432057567,0.6,15.0
75,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,0.033555563263207376,0.5185185185185185,27.0
72,S_Valine__Leucine__and_Isoleucine_Metabolism,0.040957661986739134,0.4857142857142857,35.0
86,S_Arginine_and_Proline_Metabolism,0.04718950589747141,0.5,28.0
9,S_Cofactor_and_Prosthetic_Group_Biosynthesis,0.10924622264115831,0.75,4.0
3,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,0.1404982030410813,0.4117647058823529,51.0
80,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Vitamin_B6_Metabolism,0.2088258659963829,0.5,10.0
34,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Nicotinamide_Biosynthesis,0.2360971357336863,0.46153846153846156,13.0
43,S_Lysine_Metabolism,0.27612132710653386,0.3939393939393939,33.0
10,S_Formaldehyde_Metabolism,0.3156817230796837,0.5,6.0
29,S_Heavy_Metal_Tolerance,0.3609667338170857,0.375,32.0
82,Biomass and maintenance functions,0.4039638789529543,0.5,4.0
