,Subsystem,p-Value,recall,target_lenght
25,S_Alginate_biosynthesis,4.793134421119107e-22,0.975,40.0
56,S_Fatty_Acid_Metabolism,1.1465922691768858e-14,0.5047619047619047,210.0
30,S_Transport__ABC_system,8.259827825189669e-12,0.5328467153284672,137.0
85,S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism,5.494122623608535e-10,0.875,24.0
77,S_Sulfur_Metabolism,2.6817229854689716e-08,0.8260869565217391,23.0
42,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Queuosine_biosynthesis,2.9676122856687968e-08,1.0,13.0
65,S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,6.252821463443221e-06,1.0,9.0
27,Unassigned,2.3295667668196626e-05,0.5714285714285714,42.0
0,S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway,3.430558342931562e-05,0.6538461538461539,26.0
61,S_tRNA_Charging,0.00010623063655816359,0.6521739130434783,23.0
83,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism,0.0005050152434378253,0.5263157894736842,38.0
39,S_Alternate_Carbon__Levulinate_Metabolism,0.0005555712736671721,0.875,8.0
90,Aliphatic open-chain ketones metabolism,0.0012973945833727716,1.0,5.0
6,S_Alternate_Carbon,0.0015269606430605785,0.6923076923076923,13.0
1,S_Aromatic_Compounds_Degradation__Gallic_acid_Metabolism,0.004912285449739133,1.0,4.0
2,S_Plant_growth_promoting,0.004912285449739133,1.0,4.0
32,S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,0.006283617412317882,0.6,15.0
89,S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,0.008532448747447272,0.45,40.0
3,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,0.01537122426245264,0.4117647058823529,51.0
54,S_Glycerophospholipid_Metabolism,0.018164568326780303,0.3419354838709677,155.0
49,S_Alternate_Carbon_and_Nitrogen_source__Hydroxy_proline_metabolism,0.018581529954770023,1.0,3.0
84,S_Alternate_Carbon__Fructose_Metabolism,0.018581529954770023,1.0,3.0
78,S_Xenobiotic_tolerance,0.044737476212566615,0.5454545454545454,11.0
31,S_Pyruvate_Metabolism,0.045970121888126145,0.6666666666666666,6.0
26,S_Nitrogen_Metabolism,0.0595892634698627,0.75,4.0
19,Murein Recycling,0.07022089808488671,1.0,2.0
60,S_Alternate_Carbon__Butanediol_Metabolism,0.07022089808488671,1.0,2.0
87,S_Methionine_Metabolism,0.13963264790536384,0.42857142857142855,14.0
36,S_Nucleotide_Salvage_Pathway,0.19386064871557357,0.5,6.0
29,S_Heavy_Metal_Tolerance,0.20539147461727061,0.34375,32.0
80,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Vitamin_B6_Metabolism,0.2601894880716147,0.4,10.0
52,S_Phosphonate_and_phosphinate_metabolism,0.2874100052203775,0.5,4.0
76,S_Alternate_Carbon_and_Nitrogen_source__Ectoine_Metabolism,0.2874100052203775,0.5,4.0
81,S_Pyrimidine_Metabolism,0.3364743819453615,0.3,50.0
38,S_Transport__solvent_extrusion,0.3812159921223994,0.3076923076923077,26.0
69,S_Aromatic_Compounds_Degradation__Phenylacetyl_CoA_Catabolom,0.4664553650622186,0.3076923076923077,13.0
10,S_Formaldehyde_Metabolism,0.5016793033913073,0.3333333333333333,6.0
22,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,0.5315222170140714,0.2857142857142857,14.0
4,S_Starch_and_Sucrose_Metabolism,0.5923877358607723,0.26666666666666666,15.0
75,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,0.6008333812585691,0.25925925925925924,27.0
55,S_Cell_Envelope_Biosynthesis__Cellulose_Metabolism,0.603272440073188,0.3333333333333333,3.0
20,S_Transport__Inner_Membrane,0.6235634127442207,0.25806451612903225,217.0
33,S_Alanine_and_Aspartate_Metabolism,0.6697784673418741,0.25,8.0
88,S_Cysteine_Metabolism,0.6697784673418741,0.25,8.0
9,S_Cofactor_and_Prosthetic_Group_Biosynthesis,0.7085599183574582,0.25,4.0
63,S_Cell_Envelope_Biosynthesis,0.7117397202856325,0.23076923076923078,13.0
46,S_Glycine__Serine_and_threonine_metabolism,0.8030155015980616,0.2,15.0
47,S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis,0.8030155015980616,0.2,15.0
68,S_Alternate_Carbon__Propanoate_Metabolism,0.8845489852296782,0.14285714285714285,7.0
73,S_Purine_Metabolism,0.9033800800112142,0.2077922077922078,77.0
66,S_Transport__Outer_Membrane,0.9071974382839895,0.23509933774834438,302.0
7,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Thiamine_Metabolism,0.9152304877850788,0.125,8.0
70,S_Cofactor_and_Prosthetic_Group_Biosynthesis__FeS_clusters_metabolism,0.9152304877850788,0.125,8.0
58,S_Cell_Envelope_Biosynthesis__LPS_Biosynthesis,0.9194322434358037,0.14285714285714285,14.0
62,S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,0.9373425114108409,0.13333333333333333,15.0
48,S_Glyoxylate_and_dicarboxylate_metabolism,0.9664693341823524,0.09090909090909091,11.0
72,S_Valine__Leucine__and_Isoleucine_Metabolism,0.9739573105044256,0.14285714285714285,35.0
23,S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism,0.9902809716836007,0.06666666666666667,15.0
12,S_Glutamate_Metabolism,0.9947713641165739,0.058823529411764705,17.0
5,S_Glycolysis,0.9961656670188208,0.05555555555555555,18.0
79,S_TCA_Cycle,0.9979387543242502,0.05,20.0
71,S_Aromatic_Compounds_Degradation__Toluene_Pathway,0.9989005333995985,0.06666666666666667,30.0
43,S_Lysine_Metabolism,0.9995285416848319,0.06060606060606061,33.0
11,S_Fatty_Acid__Biosynthesis,0.999828502532598,0.10666666666666667,75.0
35,S_Iron_uptake_and_metabolism,0.9999998061876946,0.05263157894736842,76.0
86,S_Arginine_and_Proline_Metabolism,1.0,0.0,28.0
74,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis,1.0,0.0,10.0
82,Biomass and maintenance functions,1.0,0.0,4.0
13,S_Aromatic_Compounds_Degradation__Nicotinic_acid_pathway,1.0,0.0,6.0
51,Intracellular source/sink,1.0,0.0,2.0
64,S_Alternate_Carbon__Ribose_Metabolism,1.0,0.0,5.0
14,S_Cell_Envelope_Biosynthesis__Biosynthesis_of_L_glycero_D_manno_heptose__Hep_,1.0,0.0,5.0
15,S_Butanoate_Metabolism,1.0,0.0,6.0
16,S_Cofactor_and_Prosthetic_Group_Biosynthesis__One_Carbon_pool_by_folate,1.0,0.0,7.0
17,Extracellular exchange,1.0,0.0,348.0
18,S_Cofactor_and_Prosthetic_Group_Biosynthesis___Pyrroloquinoline_quinone_biosynthesis,1.0,0.0,6.0
21,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Ubiquinone_biosynthesis,1.0,0.0,10.0
24,S_Aromatic_Compounds_Degradation__Homogentisate_pathway,1.0,0.0,6.0
28,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis,1.0,0.0,14.0
67,S_Histidine_Metabolism,1.0,0.0,17.0
34,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Nicotinamide_Biosynthesis,1.0,0.0,13.0
8,S_Pentose_Phosphate_Pathway,1.0,0.0,7.0
40,S_Gluconeogenesis,1.0,0.0,12.0
41,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Terpenoid_backbone_biosynthesis,1.0,0.0,14.0
44,S_Inorganic_polyphosphates_metabolism,1.0,0.0,7.0
50,Intracellular demand,1.0,0.0,31.0
53,S_Urea_cycleamino_group_metabolism,1.0,0.0,7.0
57,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Riboflavin_Metabolism,1.0,0.0,9.0
59,S_Oxidative_Phosphorylation,1.0,0.0,10.0
37,S_PHAs_Metabolism,1.0,0.02631578947368421,152.0
45,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,1.0,0.0,15.0
