,Subsystem,p-Value,recall,target_lenght
9,S_Transport__Inner_Membrane,2.932246214386242e-19,0.4186046511627907,0.4186046511627907
28,S_Purine_Metabolism,1.5872630100833745e-18,0.6111111111111112,0.6111111111111112
35,S_Iron_uptake_and_metabolism,3.955759161046205e-18,0.6153846153846154,0.6153846153846154
51,S_Oxidative_Phosphorylation,3.138649106683793e-16,0.6041666666666666,0.6041666666666666
1,S_Transport__ABC_system,1.767601923697991e-15,0.3503184713375796,0.3503184713375796
19,S_Gluconeogenesis,5.826940983966518e-15,1.0,1.0
24,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,1.9009352834938393e-14,0.7241379310344828,0.7241379310344828
17,S_TCA_Cycle,1.248039960291699e-13,0.7142857142857143,0.7142857142857143
76,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,4.692731495655108e-13,1.0,1.0
18,S_Cell_Envelope_Biosynthesis,2.019019346783185e-12,0.8,0.8
57,S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,5.889542877099701e-12,0.9285714285714286,0.9285714285714286
46,S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,6.88964161924269e-12,0.5102040816326531,0.5102040816326531
5,S_Lysine_Metabolism,1.3215533955904455e-11,0.6060606060606061,0.6060606060606061
8,S_Fatty_Acid_Metabolism,7.339654328307125e-11,0.6956521739130435,0.6956521739130435
29,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,1.97220380527819e-10,0.6666666666666666,0.6666666666666666
25,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,4.046964253821033e-10,0.9166666666666666,0.9166666666666666
2,S_Transport__Outer_Membrane,1.153746316306713e-09,0.5277777777777778,0.5277777777777778
33,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Riboflavin_Metabolism,2.9917896433473097e-09,1.0,1.0
49,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Terpenoid_backbone_biosynthesis,3.3150934957840365e-09,0.9090909090909091,0.9090909090909091
56,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Ubiquinone_biosynthesis,3.3150934957840365e-09,0.9090909090909091,0.9090909090909091
61,S_Cofactor_and_Prosthetic_Group_Biosynthesis__One_Carbon_pool_by_folate,3.3150934957840365e-09,0.9090909090909091,0.9090909090909091
55,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis,9.890122019681266e-09,0.7857142857142857,0.7857142857142857
10,S_Glycerophospholipid_Metabolism,1.0495734794713421e-08,0.5517241379310345,0.5517241379310345
58,S_Formaldehyde_Metabolism,1.7867078847793704e-08,0.8333333333333334,0.8333333333333334
27,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Thiamine_Metabolism,2.6898100838468887e-08,0.9,0.9
38,S_Alanine_and_Aspartate_Metabolism,1.3302163388055073e-07,0.8181818181818182,0.8181818181818182
40,S_Pyrimidine_Metabolism,1.7403388317808538e-07,0.5,0.5
30,S_Glycine__Serine_and_threonine_metabolism,1.8037147119164653e-07,0.5652173913043478,0.5652173913043478
71,S_Butanoate_Metabolism,2.1581159523453385e-07,0.8888888888888888,0.8888888888888888
62,S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis,2.1871329458444854e-07,0.7142857142857143,0.7142857142857143
70,S_Cell_Envelope_Biosynthesis__LPS_Biosynthesis,2.3684765068496932e-07,1.0,1.0
63,S_Pentose_Phosphate_Pathway,2.3684765068496932e-07,1.0,1.0
0,S_Fatty_Acid__Biosynthesis,5.339131214191246e-06,0.48,0.48
47,S_Glutamate_Metabolism,1.183222465549681e-05,0.5263157894736842,0.5263157894736842
4,S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,1.3299033421049e-05,0.8571428571428571,0.8571428571428571
68,S_Pyruvate_Metabolism,2.0840127490100932e-05,0.7,0.7
44,S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway,2.260064884450065e-05,0.42857142857142855,0.42857142857142855
67,S_Glyoxylate_and_dicarboxylate_metabolism,0.0001119431452279124,0.5833333333333334,0.5833333333333334
80,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Vitamin_B6_Metabolism,0.0001303494632939325,0.6666666666666666,0.6666666666666666
6,S_Cofactor_and_Prosthetic_Group_Biosynthesis___Pyrroloquinoline_quinone_biosynthesis,0.00016506597882473323,1.0,1.0
69,S_Cell_Envelope_Biosynthesis__Biosynthesis_of_L_glycero_D_manno_heptose__Hep_,0.00016506597882473323,1.0,1.0
32,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism,0.0002922328471777708,0.34285714285714286,0.34285714285714286
72,S_Cofactor_and_Prosthetic_Group_Biosynthesis__FeS_clusters_metabolism,0.0003214791197065276,0.7142857142857143,0.7142857142857143
54,S_Methionine_Metabolism,0.00039509109577776086,0.5,0.5
11,S_Glycolysis,0.0008029131841156676,0.375,0.375
36,S_Arginine_and_Proline_Metabolism,0.0008887511757271815,0.3448275862068966,0.3448275862068966
42,S_Alternate_Carbon_and_Nitrogen_source__Ectoine_Metabolism,0.002049558993896028,0.6666666666666666,0.6666666666666666
26,Unassigned,0.0030410224513849407,0.26,0.26
79,S_Nucleotide_Salvage_Pathway,0.005342206885429401,0.75,0.75
22,S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism,0.01098712716867747,0.38461538461538464,0.38461538461538464
41,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Nicotinamide_Biosynthesis,0.013005772871426456,0.4444444444444444,0.4444444444444444
77,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis,0.05108669182992165,0.3076923076923077,0.3076923076923077
73,S_Plant_growth_promoting,0.06612430643416183,0.5,0.5
53,S_Cysteine_Metabolism,0.07264206583912103,0.3333333333333333,0.3333333333333333
66,S_Cofactor_and_Prosthetic_Group_Biosynthesis,0.10205425257028303,0.4,0.4
45,Biomass and maintenance functions,0.11358734723220705,1.0,1.0
3,S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism,0.14187677112239264,0.3333333333333333,0.3333333333333333
12,S_Aromatic_Compounds_Degradation__Homogentisate_pathway,0.22807507068508046,0.25,0.25
39,S_Heavy_Metal_Tolerance,0.23496104923413538,0.18181818181818182,0.18181818181818182
14,S_PHAs_Metabolism,0.3604124595970436,0.18181818181818182,0.18181818181818182
34,S_Sulfur_Metabolism,0.40073849549399676,0.15,0.15
52,S_Aromatic_Compounds_Degradation__Phenylacetyl_CoA_Catabolom,0.40073849549399676,0.15,0.15
83,S_Alternate_Carbon__Ribose_Metabolism,0.45288369889544433,0.2,0.2
65,S_Starch_and_Sucrose_Metabolism,0.4836383480309606,0.14285714285714285,0.14285714285714285
13,S_Valine__Leucine__and_Isoleucine_Metabolism,0.494216049782998,0.13043478260869565,0.13043478260869565
16,S_Alternate_Carbon,0.6624306145077858,0.1111111111111111,0.1111111111111111
75,S_Xenobiotic_tolerance,0.7348787372525392,0.09090909090909091,0.09090909090909091
37,S_tRNA_Charging,0.8122277858408575,0.07692307692307693,0.07692307692307693
15,S_Urea_cycleamino_group_metabolism,0.8551319826493988,0.0625,0.0625
59,S_Histidine_Metabolism,0.8716346118789554,0.058823529411764705,0.058823529411764705
78,S_Nitrogen_Metabolism,1.0,0.0,0.0
81,S_Phosphonate_and_phosphinate_metabolism,1.0,0.0,0.0
82,S_Inorganic_polyphosphates_metabolism,1.0,0.0,0.0
84,Murein Recycling,1.0,0.0,0.0
85,S_Alternate_Carbon__Levulinate_Metabolism,1.0,0.0,0.0
43,S_Aromatic_Compounds_Degradation__Toluene_Pathway,1.0,0.0,0.0
64,S_Aromatic_Compounds_Degradation__Gallic_acid_Metabolism,1.0,0.0,0.0
60,S_Alternate_Carbon__Fructose_Metabolism,1.0,0.0,0.0
50,S_Cell_Envelope_Biosynthesis__Cellulose_Metabolism,1.0,0.0,0.0
48,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Queuosine_biosynthesis,1.0,0.0,0.0
86,Aliphatic open-chain ketones metabolism,1.0,0.0,0.0
31,S_Transport__solvent_extrusion,1.0,0.0,0.0
23,S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,1.0,0.0,0.0
21,S_Alginate_biosynthesis,1.0,0.0,0.0
20,S_Alternate_Carbon__Propanoate_Metabolism,1.0,0.0,0.0
7,S_Alternate_Carbon_and_Nitrogen_source__Hydroxy_proline_metabolism,1.0,0.0,0.0
74,S_Aromatic_Compounds_Degradation__Nicotinic_acid_pathway,1.0,0.0,0.0
87,S_Alternate_Carbon__Butanediol_Metabolism,1.0,0.0,0.0
