,Subsystem,p-Value,recall,target_lenght
9,S_Transport__Inner_Membrane,1.0736935134574878e-23,0.31007751937984496,0.31007751937984496
26,Unassigned,5.919110996122481e-16,0.42,0.42
10,S_Glycerophospholipid_Metabolism,4.772559386142284e-12,0.4827586206896552,0.4827586206896552
2,S_Transport__Outer_Membrane,1.1529543840261496e-11,0.4166666666666667,0.4166666666666667
34,S_Sulfur_Metabolism,1.620163557493753e-10,0.55,0.55
75,S_Xenobiotic_tolerance,2.403882284622956e-09,0.7272727272727273,0.7272727272727273
23,S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,1.2342693331398888e-08,0.7777777777777778,0.7777777777777778
8,S_Fatty_Acid_Metabolism,2.148740528028975e-08,0.43478260869565216,0.43478260869565216
1,S_Transport__ABC_system,2.7124461790544777e-08,0.1592356687898089,0.1592356687898089
44,S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway,2.329129333684989e-06,0.32142857142857145,0.32142857142857145
39,S_Heavy_Metal_Tolerance,3.004785909632508e-06,0.36363636363636365,0.36363636363636365
4,S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,3.6434051867570045e-06,0.7142857142857143,0.7142857142857143
84,Murein Recycling,4.178830263463639e-06,1.0,1.0
46,S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,8.652145801063418e-06,0.22448979591836735,0.22448979591836735
52,S_Aromatic_Compounds_Degradation__Phenylacetyl_CoA_Catabolom,1.7237270314736267e-05,0.35,0.35
54,S_Methionine_Metabolism,1.8390223528803294e-05,0.42857142857142855,0.42857142857142855
71,S_Butanoate_Metabolism,2.0268983511694398e-05,0.5555555555555556,0.5555555555555556
3,S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism,5.827445297470587e-05,0.6666666666666666,0.6666666666666666
24,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,0.0002439964075131408,0.2413793103448276,0.2413793103448276
73,S_Plant_growth_promoting,0.0003592791107315498,0.75,0.75
64,S_Aromatic_Compounds_Degradation__Gallic_acid_Metabolism,0.0003592791107315498,0.75,0.75
85,S_Alternate_Carbon__Levulinate_Metabolism,0.0008679794225891588,0.6,0.6
29,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,0.0038982650219052356,0.20833333333333334,0.20833333333333334
7,S_Alternate_Carbon_and_Nitrogen_source__Hydroxy_proline_metabolism,0.0059934897360867405,0.6666666666666666,0.6666666666666666
53,S_Cysteine_Metabolism,0.0063631958736827645,0.3333333333333333,0.3333333333333333
68,S_Pyruvate_Metabolism,0.008787888555590102,0.3,0.3
5,S_Lysine_Metabolism,0.01560980144652624,0.15151515151515152,0.15151515151515152
66,S_Cofactor_and_Prosthetic_Group_Biosynthesis,0.018800847654010452,0.4,0.4
22,S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism,0.01893221367057305,0.23076923076923078,0.23076923076923078
28,S_Purine_Metabolism,0.03461320419778756,0.1111111111111111,0.1111111111111111
86,Aliphatic open-chain ketones metabolism,0.04547088425593099,1.0,1.0
43,S_Aromatic_Compounds_Degradation__Toluene_Pathway,0.04547088425593099,1.0,1.0
18,S_Cell_Envelope_Biosynthesis,0.05979228798877601,0.15,0.15
16,S_Alternate_Carbon,0.06002521917246866,0.2222222222222222,0.2222222222222222
14,S_PHAs_Metabolism,0.08642393506706095,0.18181818181818182,0.18181818181818182
38,S_Alanine_and_Aspartate_Metabolism,0.08642393506706095,0.18181818181818182,0.18181818181818182
58,S_Formaldehyde_Metabolism,0.10069658065224035,0.16666666666666666,0.16666666666666666
81,S_Phosphonate_and_phosphinate_metabolism,0.13032620913132567,0.3333333333333333,0.3333333333333333
40,S_Pyrimidine_Metabolism,0.15384245342419978,0.1,0.1
78,S_Nitrogen_Metabolism,0.16989237872128696,0.25,0.25
87,S_Alternate_Carbon__Butanediol_Metabolism,0.2076652614881061,0.2,0.2
42,S_Alternate_Carbon_and_Nitrogen_source__Ectoine_Metabolism,0.24372582792874456,0.16666666666666666,0.16666666666666666
72,S_Cofactor_and_Prosthetic_Group_Biosynthesis__FeS_clusters_metabolism,0.27815140647031117,0.14285714285714285,0.14285714285714285
74,S_Aromatic_Compounds_Degradation__Nicotinic_acid_pathway,0.27815140647031117,0.14285714285714285,0.14285714285714285
13,S_Valine__Leucine__and_Isoleucine_Metabolism,0.2814282846227148,0.08695652173913043,0.08695652173913043
21,S_Alginate_biosynthesis,0.2814282846227148,0.08695652173913043,0.08695652173913043
0,S_Fatty_Acid__Biosynthesis,0.31560256522193086,0.08,0.08
