,Subsystem,p-Value,recall,target_lenght
43,S_PHAs_Metabolism,5.718939708801468e-64,0.9736842105263158,152.0
34,S_Fatty_Acid__Biosynthesis,2.0605905911309928e-19,0.8533333333333334,75.0
31,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,1.604861495197564e-07,1.0,15.0
52,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Terpenoid_backbone_biosynthesis,4.574326355685424e-07,1.0,14.0
37,S_Gluconeogenesis,3.7091949713582014e-06,1.0,12.0
44,S_Purine_Metabolism,8.861578865032994e-06,0.5974025974025974,77.0
26,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis,1.229523478028173e-05,0.9285714285714286,14.0
76,S_Fatty_Acid_Metabolism,3.1966764391160705e-05,0.4857142857142857,210.0
82,S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,6.221881849047794e-05,0.8666666666666667,15.0
63,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Riboflavin_Metabolism,8.524074345274928e-05,1.0,9.0
84,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Ubiquinone_biosynthesis,0.0005824005148106452,0.9,10.0
73,S_Inorganic_polyphosphates_metabolism,0.000686840168200625,1.0,7.0
56,S_Pyrimidine_Metabolism,0.0008322420991491102,0.58,50.0
49,S_Cell_Envelope_Biosynthesis__LPS_Biosynthesis,0.0012012362730839075,0.7857142857142857,14.0
47,S_Cofactor_and_Prosthetic_Group_Biosynthesis___Pyrroloquinoline_quinone_biosynthesis,0.0019478253702077913,1.0,6.0
72,S_Cell_Envelope_Biosynthesis,0.0027149147777112454,0.7692307692307693,13.0
66,S_Glutamate_Metabolism,0.0032762353522348404,0.7058823529411765,17.0
65,S_Cofactor_and_Prosthetic_Group_Biosynthesis__FeS_clusters_metabolism,0.003800437190964896,0.875,8.0
1,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Thiamine_Metabolism,0.003800437190964896,0.875,8.0
30,S_Alternate_Carbon__Ribose_Metabolism,0.00552041293088959,1.0,5.0
11,S_Cell_Envelope_Biosynthesis__Biosynthesis_of_L_glycero_D_manno_heptose__Hep_,0.00552041293088959,1.0,5.0
41,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,0.006499111039279592,0.7142857142857143,14.0
86,S_TCA_Cycle,0.006541281095362778,0.65,20.0
39,S_Pentose_Phosphate_Pathway,0.009513736582250793,0.8571428571428571,7.0
