,Subsystem,pvalue,recall,precision,target_lenght,qvalue
69,S_Alginate_biosynthesis,2.3092762178273633e-15,0.875,0.043316831683168314,40.0,2.1014413582229005e-13
35,S_Fatty_Acid_Metabolism,2.3670658493881947e-13,0.5047619047619047,0.1311881188118812,210.0,1.0770149614716286e-11
41,S_Transport__solvent_extrusion,5.3238844149898914e-12,0.9230769230769231,0.0297029702970297,26.0,1.614911605880267e-10
60,S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism,1.2441273049290083e-09,0.875,0.02599009900990099,24.0,2.8303896187134936e-08
84,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Queuosine_biosynthesis,5.0384822640690534e-08,1.0,0.01608910891089109,13.0,9.170037720605677e-07
58,S_Transport__ABC_system,3.155283439554913e-07,0.4744525547445255,0.08044554455445545,137.0,4.785513216658285e-06
54,S_tRNA_Charging,4.744921332153264e-06,0.7391304347826086,0.02103960396039604,23.0,6.168397731799243e-05
44,S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,9.012109704693458e-06,1.0,0.011138613861386138,9.0,0.00010251274789088807
68,S_Alternate_Carbon__Levulinate_Metabolism,3.2882935285000246e-05,1.0,0.009900990099009901,8.0,0.0003324830123261136
32,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism,7.670189256375532e-05,0.5789473684210527,0.027227722772277228,38.0,0.0006979872223301734
10,S_Glycerophospholipid_Metabolism,0.0007496134980501969,0.3935483870967742,0.07549504950495049,155.0,0.006201348029324356
