,Subsystem,p-Value,recall,target_lenght
28,S_Purine_Metabolism,1.3261033269749221e-24,0.6666666666666666,0.6666666666666666
9,S_Transport__Inner_Membrane,1.3634069721113487e-24,0.43410852713178294,0.43410852713178294
35,S_Iron_uptake_and_metabolism,3.274490400288607e-19,0.5961538461538461,0.5961538461538461
24,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,5.797333518356823e-16,0.7241379310344828,0.7241379310344828
8,S_Fatty_Acid_Metabolism,7.534893989884239e-15,0.782608695652174,0.782608695652174
1,S_Transport__ABC_system,1.2653079323023574e-14,0.31210191082802546,0.31210191082802546
76,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,5.005597431346585e-14,1.0,1.0
18,S_Cell_Envelope_Biosynthesis,1.3738961235666257e-13,0.8,0.8
57,S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,6.398255452058467e-13,0.9285714285714286,0.9285714285714286
40,S_Pyrimidine_Metabolism,1.0171728865320695e-11,0.6,0.6
55,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis,4.049738138228979e-11,0.8571428571428571,0.8571428571428571
25,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,6.222596683042091e-11,0.9166666666666666,0.9166666666666666
10,S_Glycerophospholipid_Metabolism,6.572216921065359e-11,0.5862068965517241,0.5862068965517241
5,S_Lysine_Metabolism,9.256933975696929e-11,0.5454545454545454,0.5454545454545454
29,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,2.51628247818586e-10,0.625,0.625
49,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Terpenoid_backbone_biosynthesis,6.061151841187803e-10,0.9090909090909091,0.9090909090909091
56,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Ubiquinone_biosynthesis,6.061151841187803e-10,0.9090909090909091,0.9090909090909091
33,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Riboflavin_Metabolism,6.388248278045873e-10,1.0,1.0
58,S_Formaldehyde_Metabolism,3.3255612705605765e-09,0.8333333333333334,0.8333333333333334
2,S_Transport__Outer_Membrane,5.728724432262911e-09,0.4722222222222222,0.4722222222222222
27,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Thiamine_Metabolism,5.845908424233734e-09,0.9,0.9
62,S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis,4.2184133098873833e-08,0.7142857142857143,0.7142857142857143
17,S_TCA_Cycle,5.250460826968151e-08,0.5,0.5
63,S_Pentose_Phosphate_Pathway,7.142321129972718e-08,1.0,1.0
70,S_Cell_Envelope_Biosynthesis__LPS_Biosynthesis,7.142321129972718e-08,1.0,1.0
0,S_Fatty_Acid__Biosynthesis,8.568825336342462e-07,0.48,0.48
38,S_Alanine_and_Aspartate_Metabolism,8.575967558616626e-07,0.7272727272727273,0.7272727272727273
61,S_Cofactor_and_Prosthetic_Group_Biosynthesis__One_Carbon_pool_by_folate,8.575967558616626e-07,0.7272727272727273,0.7272727272727273
68,S_Pyruvate_Metabolism,6.615008023147597e-06,0.7,0.7
