,Subsystem,p-Value,recall,target_lenght
9,S_Transport__Inner_Membrane,1.6430559834737496e-33,0.3953488372093023,0.3953488372093023
2,S_Transport__Outer_Membrane,2.802325875479442e-17,0.5555555555555556,0.5555555555555556
26,Unassigned,6.739954985590406e-15,0.42,0.42
10,S_Glycerophospholipid_Metabolism,1.2390153812731785e-12,0.5172413793103449,0.5172413793103449
31,S_Transport__solvent_extrusion,3.667420806261299e-12,0.6666666666666666,0.6666666666666666
8,S_Fatty_Acid_Metabolism,2.1179942966521537e-10,0.5217391304347826,0.5217391304347826
23,S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,3.709866199517729e-10,0.8888888888888888,0.8888888888888888
32,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism,7.49516781410274e-08,0.34285714285714286,0.34285714285714286
75,S_Xenobiotic_tolerance,2.3791524235479796e-07,0.6363636363636364,0.6363636363636364
46,S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,6.322232563337754e-07,0.2653061224489796,0.2653061224489796
44,S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway,6.24406866289113e-06,0.32142857142857145,0.32142857142857145
78,S_Nitrogen_Metabolism,6.7471238641153925e-06,1.0,1.0
28,S_Purine_Metabolism,6.979577515966805e-05,0.2037037037037037,0.2037037037037037
7,S_Alternate_Carbon_and_Nitrogen_source__Hydroxy_proline_metabolism,0.00013305232556150957,1.0,1.0
4,S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,0.00020869065758333483,0.5714285714285714,0.5714285714285714
22,S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism,0.00031184970831758644,0.38461538461538464,0.38461538461538464
34,S_Sulfur_Metabolism,0.0003608614472816611,0.3,0.3
1,S_Transport__ABC_system,0.00037287838577507876,0.12101910828025478,0.12101910828025478
73,S_Plant_growth_promoting,0.000511967930653692,0.75,0.75
21,S_Alginate_biosynthesis,0.0008250671905458501,0.2608695652173913,0.2608695652173913
13,S_Valine__Leucine__and_Isoleucine_Metabolism,0.0008250671905458501,0.2608695652173913,0.2608695652173913
60,S_Alternate_Carbon__Fructose_Metabolism,0.0012313623780193543,0.6,0.6
37,S_tRNA_Charging,0.001652568425977548,0.23076923076923078,0.23076923076923078
24,S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,0.002995564224180723,0.20689655172413793,0.20689655172413793
40,S_Pyrimidine_Metabolism,0.00358660199656599,0.2,0.2
