,Subsystem,p-Value,recall,target_lenght
26,Fructose and mannose metabolism,5.093235688929673e-07,1.0,8.0
20,Vitamin B6 metabolism,0.00012198914690515093,1.0,5.0
25,Arginine and proline metabolism,0.0001438584229215057,0.45161290322580644,31.0
46,Thiamine metabolism,0.0006331208288678755,0.8333333333333334,6.0
6,Nucleotide sugars metabolism,0.0007484905513680331,1.0,4.0
17,PHB byosynthesis,0.00456526151898233,1.0,3.0
4,Steroid biosynthesis,0.00456526151898233,1.0,3.0
40,Biotin metabolism,0.00456526151898233,1.0,3.0
54,Inositol phosphate metabolism,0.027680916674956244,1.0,2.0
13,Starch and sucrose metabolism,0.03543952110255241,0.4166666666666667,12.0
45,Phenylalanine tyrosine and tryptophan biosynthesis,0.06501533782358913,0.2962962962962963,27.0
50,Glutathione metabolism,0.07391222698690407,0.6666666666666666,3.0
32,Transport,0.11944357947296011,0.21100917431192662,109.0
24,Hydrogen production,0.16685979142526072,1.0,1.0
36,Sulfur Cysteine and methionine metabolism,0.1975172471094002,0.2631578947368421,19.0
23,Glycerolipid metabolism,0.2634564387034513,0.3333333333333333,6.0
15,Valine leucine and isoleucine biosynthesis,0.2705162955481413,0.25,16.0
22,"Alanine, aspartate and glutamate metabolism",0.3229146310492279,0.25,12.0
0,Others,0.33074796770957193,0.2857142857142857,7.0
19,Purine metabolism,0.4536752820524405,0.18421052631578946,38.0
34,Glycolysis/Gluconeogenesis,0.513329328386938,0.17857142857142858,28.0
5,Oxidative phosphorylation,0.5590610280718432,0.17647058823529413,17.0
43,Lysine metabolism,0.5713887413970112,0.18181818181818182,11.0
30,Histidine metabolism,0.5713887413970112,0.18181818181818182,11.0
38,Aminosugars metabolism,0.666735042607265,0.16666666666666666,6.0
16,Porphyrin and chlorophyll metabolism,0.7171404591218504,0.14583333333333334,48.0
41,Folate biosynthesis,0.7435563301619306,0.13333333333333333,15.0
33,Pyruvate metabolism,0.7435563301619306,0.13333333333333333,15.0
44,Nicotinate and nicotinamide metabolism,0.7693759539223898,0.125,8.0
7,Urea cycle and metabolism of amino groups,0.7693759539223898,0.125,8.0
27,Glutamate metabolism,0.7693759539223898,0.125,8.0
42,Glyoxylate and dicarboxylate metabolism,0.7761596101265256,0.125,16.0
28,Peptidoglycan biosynthesis,0.840555864113236,0.1,10.0
21,Pyrimidine metabolism,0.8559783815006963,0.1111111111111111,27.0
53,Nitrogen metabolism,0.8898715775592487,0.08333333333333333,12.0
37,Pentose phosphate pathway,0.9085067042707272,0.07692307692307693,13.0
52,Fatty acid biosynthesis,1.0,0.0,102.0
51,Ubiquinone and other pterpenoids biosynthesis,1.0,0.0,14.0
1,Sulfolipid Biosynthesis,1.0,0.0,10.0
49,Photosynthesis,1.0,0.0,13.0
48,Citrate cycle (TCA cycle),1.0,0.0,6.0
47,Extracellular exchange,1.0,0.0,49.0
2,Cyanophycin metabolism,1.0,0.0,2.0
3,Sterol biosynthesis,1.0,0.0,6.0
8,Pantothenate and CoA biosynthesis,1.0,0.0,9.0
29,C5-Branched dibasic acid metabolism,1.0,0.0,3.0
12,Carotenoid Biosynthesis,1.0,0.0,13.0
11,Lipopolysaccharide biosynthesis,1.0,0.0,5.0
39,Intracellular demand,1.0,0.0,4.0
10,Terpenoid backbone biosynthesis,1.0,0.0,9.0
18,Riboflavin metabolism,1.0,0.0,10.0
35,Biomass and maintenance functions,1.0,0.0,3.0
9,Galactolipids metabolism,1.0,0.0,27.0
31,Carbon fixation,1.0,0.0,6.0
14,Intracellular source/sink,1.0,0.0,4.0
