,Subsystem,p-Value,recall,target_lenght
10,Photosynthesis,3.1435300864484896e-62,0.9213483146067416,0.9213483146067416
37,Oxidative phosphorylation,2.1610946080718437e-44,0.8857142857142857,0.8857142857142857
49,Transport,6.525630884252669e-43,0.6692913385826772,0.6692913385826772
8,Porphyrin and chlorophyll metabolism,1.5822820394959313e-30,0.8627450980392157,0.8627450980392157
7,Purine metabolism,9.58670517257734e-22,0.8421052631578947,0.8421052631578947
0,Phenylalanine tyrosine and tryptophan biosynthesis,2.9951387384713476e-14,0.7666666666666667,0.7666666666666667
1,Fatty acid biosynthesis,7.862370791457131e-14,0.9444444444444444,0.9444444444444444
17,Glycolysis/Gluconeogenesis,1.3931446101224744e-12,0.7692307692307693,0.7692307692307693
28,Folate biosynthesis,8.49109185298415e-11,1.0,1.0
34,Ubiquinone and other pterpenoids biosynthesis,5.916425554380434e-10,1.0,1.0
15,Histidine metabolism,9.578450271351616e-10,0.9230769230769231,0.9230769230769231
24,Sulfur Cysteine and methionine metabolism,3.006314408413759e-09,0.7777777777777778,0.7777777777777778
2,Arginine and proline metabolism,1.0088602737218678e-08,0.6296296296296297,0.6296296296296297
46,Peptidoglycan biosynthesis,2.8585217346250215e-08,1.0,1.0
30,Pantothenate and CoA biosynthesis,2.8585217346250215e-08,1.0,1.0
11,Pyrimidine metabolism,3.873157930970449e-08,0.6521739130434783,0.6521739130434783
29,Glyoxylate and dicarboxylate metabolism,1.4054416207345308e-07,0.6842105263157895,0.6842105263157895
12,"Alanine, aspartate and glutamate metabolism",7.736649528497328e-07,0.7692307692307693,0.7692307692307693
43,Carbon fixation,1.3722108480959952e-06,1.0,1.0
6,Riboflavin metabolism,1.3722108480959952e-06,1.0,1.0
21,Urea cycle and metabolism of amino groups,1.3722108480959952e-06,1.0,1.0
9,Terpenoid backbone biosynthesis,1.3722108480959952e-06,1.0,1.0
16,Carotenoid Biosynthesis,1.3722108480959952e-06,1.0,1.0
3,Nitrogen metabolism,2.3550621789191056e-06,0.7142857142857143,0.7142857142857143
36,Lysine metabolism,6.780907289501745e-06,0.8,0.8
13,Nicotinate and nicotinamide metabolism,9.590200171053737e-06,0.875,0.875
42,Valine leucine and isoleucine biosynthesis,1.1744981179749887e-05,0.6923076923076923,0.6923076923076923
5,Citrate cycle (TCA cycle),5.815805451874024e-05,0.8571428571428571,0.8571428571428571
26,Sterol biosynthesis,6.544997665943288e-05,1.0,1.0
45,Lipopolysaccharide biosynthesis,6.544997665943288e-05,1.0,1.0
23,C5-Branched dibasic acid metabolism,6.544997665943288e-05,1.0,1.0
38,Glutamate metabolism,0.00010988653997023867,0.7,0.7
20,Pyruvate metabolism,0.0001485297927088974,0.4782608695652174,0.4782608695652174
39,Aminosugars metabolism,0.001992860036976003,0.8,0.8
33,Pentose phosphate pathway,0.002269168388468915,0.5454545454545454,0.5454545454545454
4,Others,0.0031018400045163584,1.0,1.0
32,Starch and sucrose metabolism,0.0039836328624980885,0.5,0.5
48,Sulfolipid Biosynthesis,0.02130276710736747,1.0,1.0
25,Galactolipids metabolism,0.02130276710736747,1.0,1.0
41,Hydrogen production,0.02464712007427897,0.6,0.6
14,Glycerolipid metabolism,0.21423646885370293,0.3333333333333333,0.3333333333333333
35,Fructose and mannose metabolism,0.5413978998840335,0.16666666666666666,0.16666666666666666
44,Inositol phosphate metabolism,0.5461538225275697,0.2,0.2
31,Glutathione metabolism,1.0,0.0,0.0
40,Nucleotide sugars metabolism,1.0,0.0,0.0
27,Thiamine metabolism,1.0,0.0,0.0
22,Biotin metabolism,1.0,0.0,0.0
19,Cyanophycin metabolism,1.0,0.0,0.0
18,PHB byosynthesis,1.0,0.0,0.0
47,Vitamin B6 metabolism,1.0,0.0,0.0
50,Steroid biosynthesis,1.0,0.0,0.0
