,Subsystem,p-Value,recall,target_lenght
7,Purine metabolism,1.0396087147706994e-10,0.2894736842105263,0.2894736842105263
37,Oxidative phosphorylation,1.1050770770076311e-06,0.14285714285714285,0.14285714285714285
35,Fructose and mannose metabolism,2.298055390780706e-06,0.4166666666666667,0.4166666666666667
8,Porphyrin and chlorophyll metabolism,6.962356186018603e-06,0.1568627450980392,0.1568627450980392
0,Phenylalanine tyrosine and tryptophan biosynthesis,2.5080188840404563e-05,0.2,0.2
44,Inositol phosphate metabolism,8.154380935876915e-05,0.6,0.6
40,Nucleotide sugars metabolism,0.00016066968559089555,0.5,0.5
49,Transport,0.00022652947473674557,0.07874015748031496,0.07874015748031496
47,Vitamin B6 metabolism,0.00041873555086865575,1.0,1.0
17,Glycolysis/Gluconeogenesis,0.0017616262711750794,0.15384615384615385,0.15384615384615385
2,Arginine and proline metabolism,0.00203601242083467,0.14814814814814814,0.14814814814814814
24,Sulfur Cysteine and methionine metabolism,0.005484852549019338,0.16666666666666666,0.16666666666666666
14,Glycerolipid metabolism,0.0059523630452032305,0.3333333333333333,0.3333333333333333
43,Carbon fixation,0.008222505610697317,0.2857142857142857,0.2857142857142857
10,Photosynthesis,0.009388858298054826,0.06741573033707865,0.06741573033707865
32,Starch and sucrose metabolism,0.024176707203476328,0.16666666666666666,0.16666666666666666
15,Histidine metabolism,0.028196075500156546,0.15384615384615385,0.15384615384615385
4,Others,0.060540813194192265,0.3333333333333333,0.3333333333333333
31,Glutathione metabolism,0.07990585203260869,0.25,0.25
27,Thiamine metabolism,0.07990585203260869,0.25,0.25
11,Pyrimidine metabolism,0.08019207826059636,0.08695652173913043,0.08695652173913043
39,Aminosugars metabolism,0.09887686539276111,0.2,0.2
21,Urea cycle and metabolism of amino groups,0.1356683092375352,0.14285714285714285,0.14285714285714285
6,Riboflavin metabolism,0.1356683092375352,0.14285714285714285,0.14285714285714285
33,Pentose phosphate pathway,0.20486071003357456,0.09090909090909091,0.09090909090909091
12,"Alanine, aspartate and glutamate metabolism",0.2373773995537176,0.07692307692307693,0.07692307692307693
42,Valine leucine and isoleucine biosynthesis,0.2373773995537176,0.07692307692307693,0.07692307692307693
3,Nitrogen metabolism,0.2531400641264447,0.07142857142857142,0.07142857142857142
45,Lipopolysaccharide biosynthesis,1.0,0.0,0.0
38,Glutamate metabolism,1.0,0.0,0.0
46,Peptidoglycan biosynthesis,1.0,0.0,0.0
36,Lysine metabolism,1.0,0.0,0.0
48,Sulfolipid Biosynthesis,1.0,0.0,0.0
41,Hydrogen production,1.0,0.0,0.0
25,Galactolipids metabolism,1.0,0.0,0.0
30,Pantothenate and CoA biosynthesis,1.0,0.0,0.0
29,Glyoxylate and dicarboxylate metabolism,1.0,0.0,0.0
28,Folate biosynthesis,1.0,0.0,0.0
26,Sterol biosynthesis,1.0,0.0,0.0
23,C5-Branched dibasic acid metabolism,1.0,0.0,0.0
22,Biotin metabolism,1.0,0.0,0.0
20,Pyruvate metabolism,1.0,0.0,0.0
19,Cyanophycin metabolism,1.0,0.0,0.0
18,PHB byosynthesis,1.0,0.0,0.0
16,Carotenoid Biosynthesis,1.0,0.0,0.0
13,Nicotinate and nicotinamide metabolism,1.0,0.0,0.0
9,Terpenoid backbone biosynthesis,1.0,0.0,0.0
5,Citrate cycle (TCA cycle),1.0,0.0,0.0
1,Fatty acid biosynthesis,1.0,0.0,0.0
34,Ubiquinone and other pterpenoids biosynthesis,1.0,0.0,0.0
50,Steroid biosynthesis,1.0,0.0,0.0
