,Subsystem,p-Value,recall,target_lenght
49,Transport,2.5646468032093587e-44,0.6692913385826772,0.6692913385826772
10,Photosynthesis,3.263234173878229e-44,0.7865168539325843,0.7865168539325843
37,Oxidative phosphorylation,4.098366595526376e-36,0.8,0.8
8,Porphyrin and chlorophyll metabolism,2.9134174853770702e-31,0.8627450980392157,0.8627450980392157
7,Purine metabolism,2.150655890184153e-19,0.7894736842105263,0.7894736842105263
0,Phenylalanine tyrosine and tryptophan biosynthesis,1.2850849695243549e-14,0.7666666666666667,0.7666666666666667
1,Fatty acid biosynthesis,4.1176451703576625e-14,0.9444444444444444,0.9444444444444444
28,Folate biosynthesis,5.368181169866448e-11,1.0,1.0
17,Glycolysis/Gluconeogenesis,1.854648915122728e-10,0.6923076923076923,0.6923076923076923
34,Ubiquinone and other pterpenoids biosynthesis,3.8877044338461936e-10,1.0,1.0
15,Histidine metabolism,6.090652534489585e-10,0.9230769230769231,0.9230769230769231
24,Sulfur Cysteine and methionine metabolism,1.8004826932886387e-09,0.7777777777777778,0.7777777777777778
2,Arginine and proline metabolism,5.5715428991758014e-09,0.6296296296296297,0.6296296296296297
30,Pantothenate and CoA biosynthesis,2.0287050840646896e-08,1.0,1.0
46,Peptidoglycan biosynthesis,2.0287050840646896e-08,1.0,1.0
11,Pyrimidine metabolism,2.2842459870237082e-08,0.6521739130434783,0.6521739130434783
12,"Alanine, aspartate and glutamate metabolism",5.373900370098613e-07,0.7692307692307693,0.7692307692307693
42,Valine leucine and isoleucine biosynthesis,5.373900370098613e-07,0.7692307692307693,0.7692307692307693
29,Glyoxylate and dicarboxylate metabolism,1.045362185469373e-06,0.631578947368421,0.631578947368421
16,Carotenoid Biosynthesis,1.05151036861756e-06,1.0,1.0
21,Urea cycle and metabolism of amino groups,1.05151036861756e-06,1.0,1.0
43,Carbon fixation,1.05151036861756e-06,1.0,1.0
9,Terpenoid backbone biosynthesis,1.05151036861756e-06,1.0,1.0
5,Citrate cycle (TCA cycle),1.05151036861756e-06,1.0,1.0
36,Lysine metabolism,5.0562299378732415e-06,0.8,0.8
20,Pyruvate metabolism,1.633006496537668e-05,0.5217391304347826,0.5217391304347826
3,Nitrogen metabolism,2.090456532136592e-05,0.6428571428571429,0.6428571428571429
6,Riboflavin metabolism,4.6549318657514185e-05,0.8571428571428571,0.8571428571428571
23,C5-Branched dibasic acid metabolism,5.413650180741357e-05,1.0,1.0
45,Lipopolysaccharide biosynthesis,5.413650180741357e-05,1.0,1.0
26,Sterol biosynthesis,5.413650180741357e-05,1.0,1.0
38,Glutamate metabolism,8.557946758276483e-05,0.7,0.7
39,Aminosugars metabolism,0.0017208049215288548,0.8,0.8
33,Pentose phosphate pathway,0.001854482750178921,0.5454545454545454,0.5454545454545454
13,Nicotinate and nicotinamide metabolism,0.002095541500585748,0.625,0.625
4,Others,0.002768609641214195,1.0,1.0
48,Sulfolipid Biosynthesis,0.019749772450286175,1.0,1.0
25,Galactolipids metabolism,0.019749772450286175,1.0,1.0
41,Hydrogen production,0.022198862636710896,0.6,0.6
32,Starch and sucrose metabolism,0.07570807072946767,0.3333333333333333,0.3333333333333333
14,Glycerolipid metabolism,0.2016768394075086,0.3333333333333333,0.3333333333333333
35,Fructose and mannose metabolism,0.5195477066406111,0.16666666666666666,0.16666666666666666
44,Inositol phosphate metabolism,0.5315571900026542,0.2,0.2
31,Glutathione metabolism,1.0,0.0,0.0
40,Nucleotide sugars metabolism,1.0,0.0,0.0
27,Thiamine metabolism,1.0,0.0,0.0
22,Biotin metabolism,1.0,0.0,0.0
19,Cyanophycin metabolism,1.0,0.0,0.0
18,PHB byosynthesis,1.0,0.0,0.0
47,Vitamin B6 metabolism,1.0,0.0,0.0
50,Steroid biosynthesis,1.0,0.0,0.0
