,Subsystem,p-Value,recall,target_lenght
44,Inositol phosphate metabolism,2.1488811224955035e-10,1.0,1.0
7,Purine metabolism,4.809367415525251e-06,0.15789473684210525,0.15789473684210525
35,Fructose and mannose metabolism,8.903288534654039e-06,0.3333333333333333,0.3333333333333333
0,Phenylalanine tyrosine and tryptophan biosynthesis,2.440207400104492e-05,0.16666666666666666,0.16666666666666666
2,Arginine and proline metabolism,0.0002761413911656631,0.14814814814814814,0.14814814814814814
22,Biotin metabolism,0.00043297466307624,0.6666666666666666,0.6666666666666666
31,Glutathione metabolism,0.0008592235663380925,0.5,0.5
18,PHB byosynthesis,0.0008592235663380925,0.5,0.5
14,Glycerolipid metabolism,0.002114859647843148,0.3333333333333333,0.3333333333333333
13,Nicotinate and nicotinamide metabolism,0.003886819305305709,0.25,0.25
32,Starch and sucrose metabolism,0.00888187319143271,0.16666666666666666,0.16666666666666666
37,Oxidative phosphorylation,0.009852259840565166,0.05714285714285714,0.05714285714285714
42,Valine leucine and isoleucine biosynthesis,0.01041581076590012,0.15384615384615385,0.15384615384615385
29,Glyoxylate and dicarboxylate metabolism,0.021801136133231116,0.10526315789473684,0.10526315789473684
8,Porphyrin and chlorophyll metabolism,0.023482606996097968,0.058823529411764705,0.058823529411764705
4,Others,0.03615069526140464,0.3333333333333333,0.3333333333333333
23,C5-Branched dibasic acid metabolism,0.05953791759649668,0.2,0.2
49,Transport,0.06737259103527893,0.031496062992125984,0.031496062992125984
33,Pentose phosphate pathway,0.12641983983499783,0.09090909090909091,0.09090909090909091
28,Folate biosynthesis,0.13710510952986735,0.08333333333333333,0.08333333333333333
15,Histidine metabolism,0.14766255109353127,0.07692307692307693,0.07692307692307693
3,Nitrogen metabolism,0.15809365938855213,0.07142857142857142,0.07142857142857142
24,Sulfur Cysteine and methionine metabolism,0.19858406333806888,0.05555555555555555,0.05555555555555555
20,Pyruvate metabolism,0.2465269839405091,0.043478260869565216,0.043478260869565216
17,Glycolysis/Gluconeogenesis,0.27393434240429293,0.038461538461538464,0.038461538461538464
41,Hydrogen production,1.0,0.0,0.0
38,Glutamate metabolism,1.0,0.0,0.0
43,Carbon fixation,1.0,0.0,0.0
48,Sulfolipid Biosynthesis,1.0,0.0,0.0
45,Lipopolysaccharide biosynthesis,1.0,0.0,0.0
36,Lysine metabolism,1.0,0.0,0.0
46,Peptidoglycan biosynthesis,1.0,0.0,0.0
47,Vitamin B6 metabolism,1.0,0.0,0.0
39,Aminosugars metabolism,1.0,0.0,0.0
40,Nucleotide sugars metabolism,1.0,0.0,0.0
25,Galactolipids metabolism,1.0,0.0,0.0
30,Pantothenate and CoA biosynthesis,1.0,0.0,0.0
27,Thiamine metabolism,1.0,0.0,0.0
26,Sterol biosynthesis,1.0,0.0,0.0
21,Urea cycle and metabolism of amino groups,1.0,0.0,0.0
19,Cyanophycin metabolism,1.0,0.0,0.0
16,Carotenoid Biosynthesis,1.0,0.0,0.0
12,"Alanine, aspartate and glutamate metabolism",1.0,0.0,0.0
11,Pyrimidine metabolism,1.0,0.0,0.0
10,Photosynthesis,1.0,0.0,0.0
9,Terpenoid backbone biosynthesis,1.0,0.0,0.0
6,Riboflavin metabolism,1.0,0.0,0.0
5,Citrate cycle (TCA cycle),1.0,0.0,0.0
1,Fatty acid biosynthesis,1.0,0.0,0.0
34,Ubiquinone and other pterpenoids biosynthesis,1.0,0.0,0.0
50,Steroid biosynthesis,1.0,0.0,0.0
