,Subsystem,p-Value,recall,target_lenght
21,Fructose and mannose metabolism,2.0635542167357753e-07,1.0,8.0
11,Arginine and proline metabolism,3.9346057979913757e-05,0.45161290322580644,31.0
2,Vitamin B6 metabolism,6.980252469650824e-05,1.0,5.0
19,Nucleotide sugars metabolism,0.00047968294971440466,1.0,4.0
26,PHB byosynthesis,0.003274026482177682,1.0,3.0
12,Biotin metabolism,0.003274026482177682,1.0,3.0
10,Steroid biosynthesis,0.003274026482177682,1.0,3.0
20,Thiamine metabolism,0.005620863758621865,0.6666666666666666,6.0
13,Inositol phosphate metabolism,0.02219635276499988,1.0,2.0
18,Starch and sucrose metabolism,0.022719614101666705,0.4166666666666667,12.0
29,Glutathione metabolism,0.06004100533064426,0.6666666666666666,3.0
40,Phenylalanine tyrosine and tryptophan biosynthesis,0.09376088071846857,0.25925925925925924,27.0
3,Sulfur Cysteine and methionine metabolism,0.14055008512652828,0.2631578947368421,19.0
30,Hydrogen production,0.14947856315179606,1.0,1.0
34,Purine metabolism,0.19424054868535764,0.21052631578947367,38.0
1,Valine leucine and isoleucine biosynthesis,0.2067349404616241,0.25,16.0
17,Glycerolipid metabolism,0.22194514438513385,0.3333333333333333,6.0
51,Glycolysis/Gluconeogenesis,0.23015850916207176,0.21428571428571427,28.0
25,"Alanine, aspartate and glutamate metabolism",0.2616711147640379,0.25,12.0
42,Others,0.28178924510277753,0.2857142857142857,7.0
4,Nicotinate and nicotinamide metabolism,0.3412488334910438,0.25,8.0
14,Histidine metabolism,0.5069241291853798,0.18181818181818182,11.0
39,Lysine metabolism,0.5069241291853798,0.18181818181818182,11.0
47,Porphyrin and chlorophyll metabolism,0.5946092593388148,0.14583333333333334,48.0
28,Aminosugars metabolism,0.6226200999712326,0.16666666666666666,6.0
33,Folate biosynthesis,0.6818663122696547,0.13333333333333333,15.0
38,Urea cycle and metabolism of amino groups,0.7277361580147749,0.125,8.0
22,Glutamate metabolism,0.7277361580147749,0.125,8.0
52,Oxidative phosphorylation,0.7485975741531361,0.11764705882352941,17.0
45,Pyrimidine metabolism,0.7949181629034618,0.1111111111111111,27.0
44,Peptidoglycan biosynthesis,0.8037360159566632,0.1,10.0
54,Nitrogen metabolism,0.8586392475941682,0.08333333333333333,12.0
43,Pentose phosphate pathway,0.8800676107673201,0.07692307692307693,13.0
31,Pyruvate metabolism,0.9137264575646521,0.06666666666666667,15.0
37,Glyoxylate and dicarboxylate metabolism,0.9268506167322935,0.0625,16.0
35,Transport,0.9794936294150178,0.09174311926605505,109.0
48,Biomass and maintenance functions,1.0,0.0,3.0
46,Lipopolysaccharide biosynthesis,1.0,0.0,5.0
41,Riboflavin metabolism,1.0,0.0,10.0
50,Carbon fixation,1.0,0.0,6.0
49,Carotenoid Biosynthesis,1.0,0.0,13.0
0,Terpenoid backbone biosynthesis,1.0,0.0,9.0
32,C5-Branched dibasic acid metabolism,1.0,0.0,3.0
53,Cyanophycin metabolism,1.0,0.0,2.0
24,Pantothenate and CoA biosynthesis,1.0,0.0,9.0
23,Extracellular exchange,1.0,0.0,49.0
16,Photosynthesis,1.0,0.0,13.0
15,Intracellular source/sink,1.0,0.0,4.0
9,Sterol biosynthesis,1.0,0.0,6.0
8,Citrate cycle (TCA cycle),1.0,0.0,6.0
7,Intracellular demand,1.0,0.0,4.0
6,Sulfolipid Biosynthesis,1.0,0.0,10.0
5,Ubiquinone and other pterpenoids biosynthesis,1.0,0.0,14.0
36,Fatty acid biosynthesis,1.0,0.0,102.0
27,Galactolipids metabolism,1.0,0.0,27.0
