,Subsystem,p-Value,recall,target_lenght
10,Photosynthesis,7.330797367384448e-54,0.8764044943820225,0.8764044943820225
49,Transport,7.749164187256297e-44,0.6850393700787402,0.6850393700787402
37,Oxidative phosphorylation,2.764775794835049e-34,0.8,0.8
8,Porphyrin and chlorophyll metabolism,8.043306230710409e-30,0.8627450980392157,0.8627450980392157
7,Purine metabolism,3.06809962404701e-21,0.8421052631578947,0.8421052631578947
20,Pyruvate metabolism,8.314326123811042e-16,0.9130434782608695,0.9130434782608695
1,Fatty acid biosynthesis,1.3958729930025835e-15,1.0,1.0
0,Phenylalanine tyrosine and tryptophan biosynthesis,3.346773456924034e-15,0.8,0.8
11,Pyrimidine metabolism,3.4094193902740297e-14,0.8695652173913043,0.8695652173913043
29,Glyoxylate and dicarboxylate metabolism,1.1981704617819371e-12,0.8947368421052632,0.8947368421052632
17,Glycolysis/Gluconeogenesis,2.8210685372954026e-12,0.7692307692307693,0.7692307692307693
2,Arginine and proline metabolism,9.360415994713264e-12,0.7407407407407407,0.7407407407407407
28,Folate biosynthesis,1.3205951525503348e-10,1.0,1.0
34,Ubiquinone and other pterpenoids biosynthesis,8.86582037633701e-10,1.0,1.0
15,Histidine metabolism,1.4810916270446248e-09,0.9230769230769231,0.9230769230769231
24,Sulfur Cysteine and methionine metabolism,4.920815294098196e-09,0.7777777777777778,0.7777777777777778
30,Pantothenate and CoA biosynthesis,3.977384072975368e-08,1.0,1.0
46,Peptidoglycan biosynthesis,3.977384072975368e-08,1.0,1.0
3,Nitrogen metabolism,2.0783772134866314e-07,0.7857142857142857,0.7857142857142857
12,"Alanine, aspartate and glutamate metabolism",1.0982213926894497e-06,0.7692307692307693,0.7692307692307693
42,Valine leucine and isoleucine biosynthesis,1.0982213926894497e-06,0.7692307692307693,0.7692307692307693
6,Riboflavin metabolism,1.7733414148553615e-06,1.0,1.0
21,Urea cycle and metabolism of amino groups,1.7733414148553615e-06,1.0,1.0
9,Terpenoid backbone biosynthesis,1.7733414148553615e-06,1.0,1.0
43,Carbon fixation,1.7733414148553615e-06,1.0,1.0
16,Carotenoid Biosynthesis,1.7733414148553615e-06,1.0,1.0
36,Lysine metabolism,8.992339463394197e-06,0.8,0.8
5,Citrate cycle (TCA cycle),7.205602457830013e-05,0.8571428571428571,0.8571428571428571
45,Lipopolysaccharide biosynthesis,7.858046138563382e-05,1.0,1.0
23,C5-Branched dibasic acid metabolism,7.858046138563382e-05,1.0,1.0
26,Sterol biosynthesis,7.858046138563382e-05,1.0,1.0
38,Glutamate metabolism,0.00013971631609256146,0.7,0.7
33,Pentose phosphate pathway,0.00033416823132844775,0.6363636363636364,0.6363636363636364
32,Starch and sucrose metabolism,0.0006977758708157421,0.5833333333333334,0.5833333333333334
39,Aminosugars metabolism,0.002295115818128152,0.8,0.8
13,Nicotinate and nicotinamide metabolism,0.002950082887127781,0.625,0.625
4,Others,0.00346079016760929,1.0,1.0
14,Glycerolipid metabolism,0.0060605191649960415,0.6666666666666666,0.6666666666666666
48,Sulfolipid Biosynthesis,0.022914531666325066,1.0,1.0
25,Galactolipids metabolism,0.022914531666325066,1.0,1.0
19,Cyanophycin metabolism,0.022914531666325066,1.0,1.0
41,Hydrogen production,0.027251071453394636,0.6,0.6
44,Inositol phosphate metabolism,0.5603843023363024,0.2,0.2
35,Fructose and mannose metabolism,0.5626783570753038,0.16666666666666666,0.16666666666666666
40,Nucleotide sugars metabolism,1.0,0.0,0.0
31,Glutathione metabolism,1.0,0.0,0.0
27,Thiamine metabolism,1.0,0.0,0.0
22,Biotin metabolism,1.0,0.0,0.0
47,Vitamin B6 metabolism,1.0,0.0,0.0
18,PHB byosynthesis,1.0,0.0,0.0
50,Steroid biosynthesis,1.0,0.0,0.0
